geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
AU,Australia,181,Google AdExchange,"all",any_status,external,appnexus,false,391657200,13093100,28233867400,959451500,--,Unknown,--
AU,Australia,459,Rubicon,"all",any_status,external,appnexus,false,114533600,4542900,5398288100,219468400,--,Unknown,--
AU,Australia,357,OpenX,"all",any_status,external,appnexus,false,101924200,1887300,5480947400,127566900,--,Unknown,--
AU,Australia,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,26672400,1290000,2174215700,44278600,--,Unknown,--
AU,Australia,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,25204300,2056700,1866171500,134504500,--,Unknown,--
AU,Australia,74,PubMatic,"all",any_status,external,appnexus,false,22684900,1289000,1408932400,73943500,--,Unknown,--
AU,Australia,2025,Fairfax Digital,"all",any_status,platform,appnexus,false,21878300,1372600,23964200,1700200,--,Unknown,--
AU,Australia,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,18047700,458200,1206552000,52265100,--,Unknown,--
AU,Australia,1705,Ninemsn Pty Limited,"all",any_status,platform,appnexus,false,15612200,1156600,16758500,1276400,--,Unknown,--
AU,Australia,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,9332900,324200,271311100,17933900,--,Unknown,--
AU,Australia,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,7328200,296000,190575900,16112500,--,Unknown,--
AU,Australia,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,6093300,2134400,2121409200,520131400,--,Unknown,--
AU,Australia,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,5661400,416600,430811700,17143500,--,Unknown,--
AU,Australia,1356,bRealTime (select),"all",any_status,platform,appnexus,false,5586200,432000,327708200,26451300,--,Unknown,--
AU,Australia,1360,Sovrn,"all",any_status,platform,appnexus,false,5152800,378100,400642400,23323000,--,Unknown,--
AU,Australia,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,4917600,35800,286290200,3534600,--,Unknown,--
AU,Australia,2850,MobFox,"all",any_status,platform,appnexus,false,4743600,317300,617754000,33916100,--,Unknown,--
AU,Australia,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,3812700,75500,75439200,1675200,--,Unknown,--
AU,Australia,1908,District M,"all",any_status,platform,appnexus,false,2775100,316900,85430500,9861500,--,Unknown,--
AU,Australia,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,2341200,82000,166429900,7648600,--,Unknown,--
AU,Australia,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,2186500,246900,341724700,17293700,--,Unknown,--
AU,Australia,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,2103800,104400,67112200,3425500,--,Unknown,--
AU,Australia,1475,Lifestreet,"all",any_status,platform,appnexus,false,1855600,30500,242585900,5057200,--,Unknown,--
AU,Australia,2721,Kiosked,"all",any_status,platform,appnexus,false,1780200,288500,84569700,10245200,--,Unknown,--
AU,Australia,818,MediaShakers,"all",any_status,platform,appnexus,false,1778300,137000,9935200,1579700,--,Unknown,--
AU,Australia,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,1690100,26400,76563700,1162600,--,Unknown,--
AU,Australia,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,1639000,217700,60998700,8550900,--,Unknown,--
AU,Australia,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,1564100,168400,103106400,11015600,--,Unknown,--
AU,Australia,1081,Sonobi,"all",any_status,platform,appnexus,false,1559000,50000,41318500,4009000,--,Unknown,--
AU,Australia,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,1318000,205400,50860000,7782600,--,Unknown,--
