geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
AT,Austria,181,Google AdExchange,"all",any_status,external,appnexus,false,73812900,3273000,28233867400,959451500,--,Unknown,--
AT,Austria,459,Rubicon,"all",any_status,external,appnexus,false,16277400,515700,5398288100,219468400,--,Unknown,--
AT,Austria,357,OpenX,"all",any_status,external,appnexus,false,11402100,360200,5480947400,127566900,--,Unknown,--
AT,Austria,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,11191500,180700,2174215700,44278600,--,Unknown,--
AT,Austria,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,9799900,720200,1866171500,134504500,--,Unknown,--
AT,Austria,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,8916700,169100,46631800,2549100,--,Unknown,--
AT,Austria,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,6094100,149400,1206552000,52265100,--,Unknown,--
AT,Austria,1354,Improve Digital,"all",any_status,platform,appnexus,false,3091300,154100,617249300,18935700,--,Unknown,--
AT,Austria,2850,MobFox,"all",any_status,platform,appnexus,false,2422800,123900,617754000,33916100,--,Unknown,--
AT,Austria,74,PubMatic,"all",any_status,external,appnexus,false,2413300,113700,1408932400,73943500,--,Unknown,--
AT,Austria,1548,Criteo,"all",any_status,external,appnexus,false,2105400,229400,342165000,40879100,--,Unknown,--
AT,Austria,1405,Adscale GmbH,"all",any_status,external,appnexus,false,1424100,120600,24769000,2453000,--,Unknown,--
AT,Austria,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,1093800,53900,271311100,17933900,--,Unknown,--
AT,Austria,2967,orbyd GmbH,"all",any_status,platform,appnexus,false,786000,147800,1517000,208900,--,Unknown,--
AT,Austria,1356,bRealTime (select),"all",any_status,platform,appnexus,false,624000,44400,327708200,26451300,--,Unknown,--
AT,Austria,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,596800,127500,68302300,5161300,--,Unknown,--
AT,Austria,1475,Lifestreet,"all",any_status,platform,appnexus,false,566100,8700,242585900,5057200,--,Unknown,--
AT,Austria,2252,One Advertising AG,"all",any_status,platform,appnexus,false,528800,50100,7386500,732100,--,Unknown,--
AT,Austria,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,514100,50100,190575900,16112500,--,Unknown,--
AT,Austria,1360,Sovrn,"all",any_status,platform,appnexus,false,435000,31400,400642400,23323000,--,Unknown,--
AT,Austria,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,406800,66500,50860000,7782600,--,Unknown,--
