geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
AZ,Azerbaijan,181,Google AdExchange,"all",any_status,external,appnexus,false,32584000,1036700,28233867400,959451500,--,Unknown,--
AZ,Azerbaijan,459,Rubicon,"all",any_status,external,appnexus,false,3032500,68300,5398288100,219468400,--,Unknown,--
AZ,Azerbaijan,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,2612600,100500,1206552000,52265100,--,Unknown,--
AZ,Azerbaijan,357,OpenX,"all",any_status,external,appnexus,false,1598500,30700,5480947400,127566900,--,Unknown,--
AZ,Azerbaijan,2850,MobFox,"all",any_status,platform,appnexus,false,995000,49000,617754000,33916100,--,Unknown,--
AZ,Azerbaijan,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,975100,29000,2174215700,44278600,--,Unknown,--
AZ,Azerbaijan,74,PubMatic,"all",any_status,external,appnexus,false,935000,18300,1408932400,73943500,--,Unknown,--
AZ,Azerbaijan,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,596900,88000,1866171500,134504500,--,Unknown,--
AZ,Azerbaijan,1548,Criteo,"all",any_status,external,appnexus,false,560000,56000,342165000,40879100,--,Unknown,--
AZ,Azerbaijan,1475,Lifestreet,"all",any_status,platform,appnexus,false,326100,6700,242585900,5057200,--,Unknown,--
AZ,Azerbaijan,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,257800,2800,76563700,1162600,--,Unknown,--
AZ,Azerbaijan,3020,Mojiva II,"all",any_status,platform,appnexus,false,181100,11000,130720700,11697300,--,Unknown,--
AZ,Azerbaijan,1619,ReklamStore,"all",any_status,platform,appnexus,false,168300,23100,32005800,4616300,--,Unknown,--
AZ,Azerbaijan,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,163900,19300,50860000,7782600,--,Unknown,--
AZ,Azerbaijan,1360,Sovrn,"all",any_status,platform,appnexus,false,145100,3200,400642400,23323000,--,Unknown,--
AZ,Azerbaijan,1354,Improve Digital,"all",any_status,platform,appnexus,false,121400,4300,617249300,18935700,--,Unknown,--
AZ,Azerbaijan,1356,bRealTime (select),"all",any_status,platform,appnexus,false,109700,9800,327708200,26451300,--,Unknown,--
AZ,Azerbaijan,956,Zodiak Active,"all",any_status,platform,appnexus,false,86000,7600,42149500,4493100,--,Unknown,--
AZ,Azerbaijan,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,58400,6400,190575900,16112500,--,Unknown,--
AZ,Azerbaijan,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,47100,2700,166429900,7648600,--,Unknown,--
AZ,Azerbaijan,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,36400,2600,19222500,1853100,--,Unknown,--
AZ,Azerbaijan,2945,Adhood,"all",any_status,platform,appnexus,false,36100,4100,1202300,111400,--,Unknown,--
AZ,Azerbaijan,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,27900,1400,37441400,3708500,--,Unknown,--
