geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
BY,Belarus,181,Google AdExchange,"all",any_status,external,appnexus,false,70902000,2510400,28233867400,959451500,--,Unknown,--
BY,Belarus,357,OpenX,"all",any_status,external,appnexus,false,3588700,82300,5480947400,127566900,--,Unknown,--
BY,Belarus,459,Rubicon,"all",any_status,external,appnexus,false,3455200,186500,5398288100,219468400,--,Unknown,--
BY,Belarus,2850,MobFox,"all",any_status,platform,appnexus,false,3274800,130400,617754000,33916100,--,Unknown,--
BY,Belarus,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,2386100,181100,1866171500,134504500,--,Unknown,--
BY,Belarus,1548,Criteo,"all",any_status,external,appnexus,false,2136400,217500,342165000,40879100,--,Unknown,--
BY,Belarus,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,1915100,43800,2174215700,44278600,--,Unknown,--
BY,Belarus,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1284600,56000,1206552000,52265100,--,Unknown,--
BY,Belarus,74,PubMatic,"all",any_status,external,appnexus,false,889500,29500,1408932400,73943500,--,Unknown,--
BY,Belarus,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,581000,53300,166429900,7648600,--,Unknown,--
BY,Belarus,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,217000,3100,76563700,1162600,--,Unknown,--
BY,Belarus,1356,bRealTime (select),"all",any_status,platform,appnexus,false,199600,23400,327708200,26451300,--,Unknown,--
BY,Belarus,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,131000,18500,50860000,7782600,--,Unknown,--
BY,Belarus,1882,TapTica LTD,"all",any_status,platform,appnexus,false,127200,69500,87218100,23348500,--,Unknown,--
BY,Belarus,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,124900,4900,190575900,16112500,--,Unknown,--
BY,Belarus,1475,Lifestreet,"all",any_status,platform,appnexus,false,98700,3600,242585900,5057200,--,Unknown,--
BY,Belarus,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,96300,25600,7319800,1991600,--,Unknown,--
BY,Belarus,1360,Sovrn,"all",any_status,platform,appnexus,false,95700,8700,400642400,23323000,--,Unknown,--
BY,Belarus,1354,Improve Digital,"all",any_status,platform,appnexus,false,60800,1800,617249300,18935700,--,Unknown,--
BY,Belarus,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,49600,4000,37441400,3708500,--,Unknown,--
BY,Belarus,3020,Mojiva II,"all",any_status,platform,appnexus,false,48600,4300,130720700,11697300,--,Unknown,--
BY,Belarus,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,41700,21700,93859100,18219400,--,Unknown,--
BY,Belarus,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,27000,4300,19222500,1853100,--,Unknown,--
BY,Belarus,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,22300,2900,27850600,5122800,--,Unknown,--
BY,Belarus,1081,Sonobi,"all",any_status,platform,appnexus,false,21400,3500,41318500,4009000,--,Unknown,--
BY,Belarus,1643,Fidelity Media,"all",any_status,platform,appnexus,false,21400,400,2190000,227800,--,Unknown,--
BY,Belarus,310,Technorati Media,"all",any_status,platform,appnexus,false,20200,3100,64536800,6342900,--,Unknown,--
BY,Belarus,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,19600,5300,16374000,2597100,--,Unknown,--
BY,Belarus,3265,BRATECH SA,"all",any_status,platform,appnexus,false,19200,8200,8702600,2447900,--,Unknown,--
BY,Belarus,3153,152 Media Select,"all",any_status,platform,appnexus,false,18900,300,2747300,124000,--,Unknown,--
BY,Belarus,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,18600,12500,2121409200,520131400,--,Unknown,--
BY,Belarus,3204,Purch,"all",any_status,platform,appnexus,false,16100,2200,33563400,4355800,--,Unknown,--
BY,Belarus,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,14400,7800,15959100,5178000,--,Unknown,--
BY,Belarus,1939,152 Media LLC,"all",any_status,platform,appnexus,false,14300,5700,10516600,1985700,--,Unknown,--
BY,Belarus,3192,RTB Media,"all",any_status,platform,appnexus,false,13800,6300,9047300,2346100,--,Unknown,--
BY,Belarus,541,CPXInteractive,"all",any_status,platform,appnexus,false,13500,3000,38468600,5292100,--,Unknown,--
BY,Belarus,740,NetSeer Inc,"all",any_status,platform,appnexus,false,12000,3800,7306400,1136500,--,Unknown,--
BY,Belarus,806,Venatus Media,"all",any_status,platform,appnexus,false,11700,800,5557600,602200,--,Unknown,--
BY,Belarus,928,Suite66,"all",any_status,platform,appnexus,false,10100,1500,4874500,704400,--,Unknown,--
BY,Belarus,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,10100,1000,19737800,1365600,--,Unknown,--
BY,Belarus,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,9200,1300,60998700,8550900,--,Unknown,--
BY,Belarus,956,Zodiak Active,"all",any_status,platform,appnexus,false,9100,600,42149500,4493100,--,Unknown,--
BY,Belarus,1908,District M,"all",any_status,platform,appnexus,false,9100,1400,85430500,9861500,--,Unknown,--
BY,Belarus,2945,Adhood,"all",any_status,platform,appnexus,false,8400,300,1202300,111400,--,Unknown,--
BY,Belarus,2721,Kiosked,"all",any_status,platform,appnexus,false,8000,1000,84569700,10245200,--,Unknown,--
BY,Belarus,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,7500,800,103106400,11015600,--,Unknown,--
BY,Belarus,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,6800,1600,51953900,4345700,--,Unknown,--
BY,Belarus,620,Mediafem LLC,"all",any_status,platform,appnexus,false,6300,900,4461200,553100,--,Unknown,--
BY,Belarus,1906,Velis Media,"all",any_status,platform,appnexus,false,5700,1200,1743200,404400,--,Unknown,--
BY,Belarus,2804,Adshoard,"all",any_status,platform,appnexus,false,5600,200,15208300,1517700,--,Unknown,--
BY,Belarus,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,5200,2300,5027900,2395500,--,Unknown,--
BY,Belarus,3105,Adshoard Premium,"all",any_status,platform,appnexus,false,5100,1000,1000700,224100,--,Unknown,--
BY,Belarus,86,Photobucket,"all",any_status,external,appnexus,false,4800,600,10687900,596400,--,Unknown,--
BY,Belarus,1357,bRealTime,"all",any_status,platform,appnexus,false,4700,1000,12048300,1469800,--,Unknown,--
BY,Belarus,882,AN Talent,"all",any_status,platform,appnexus,false,4400,800,50438600,13544900,--,Unknown,--
BY,Belarus,1756,Adversal.com,"all",any_status,platform,appnexus,false,4300,600,14173900,1426500,--,Unknown,--
BY,Belarus,1613,Defy Media,"all",any_status,platform,appnexus,false,4200,700,73239200,4465300,--,Unknown,--
BY,Belarus,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,3900,400,68302300,5161300,--,Unknown,--
BY,Belarus,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,3400,1900,18452300,6512900,--,Unknown,--
BY,Belarus,1942,Floor6,"all",any_status,platform,appnexus,false,3300,700,41027600,5864100,--,Unknown,--
BY,Belarus,1583,Admeta AB,"all",any_status,platform,appnexus,false,3000,200,14256000,1033900,--,Unknown,--
BY,Belarus,1619,ReklamStore,"all",any_status,platform,appnexus,false,2900,500,32005800,4616300,--,Unknown,--
BY,Belarus,1413,DTCN,"all",any_status,platform,appnexus,false,2800,300,3607300,146200,--,Unknown,--
BY,Belarus,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,2800,1200,11679100,3946900,--,Unknown,--
BY,Belarus,1405,Adscale GmbH,"all",any_status,external,appnexus,false,2600,300,24769000,2453000,--,Unknown,--
BY,Belarus,2825,"Merriam-Webster, Incorporated, a Delaware Corporation","all",any_status,platform,appnexus,false,2400,100,172400,72600,--,Unknown,--
BY,Belarus,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,2400,300,46631800,2549100,--,Unknown,--
BY,Belarus,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,2300,400,35500900,5026100,--,Unknown,--
BY,Belarus,406,CPM Only,"all",any_status,platform,appnexus,false,2200,300,22587800,1241100,--,Unknown,--
BY,Belarus,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,2200,600,67112200,3425500,--,Unknown,--
BY,Belarus,1608,Audience Square,"all",any_status,platform,appnexus,false,2100,400,105327200,8530300,--,Unknown,--
BY,Belarus,3356,Livingly Media Inc,"all",any_status,platform,appnexus,false,2100,200,24284900,766700,--,Unknown,--
BY,Belarus,884,Hi-Media,"all",any_status,platform,appnexus,false,1900,400,78818800,7489400,--,Unknown,--
BY,Belarus,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,1900,200,341724700,17293700,--,Unknown,--
BY,Belarus,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,1800,400,21596300,4597200,--,Unknown,--
BY,Belarus,2662,Aim4Media BV,"all",any_status,platform,appnexus,false,1700,200,3003300,282300,--,Unknown,--
BY,Belarus,2670,AD2ONE LTD,"all",any_status,platform,appnexus,false,1700,200,4430900,730200,--,Unknown,--
BY,Belarus,1530,AdPrudence,"all",any_status,platform,appnexus,false,1500,800,7290300,3996400,--,Unknown,--
BY,Belarus,2854,The Blogger Network,"all",any_status,platform,appnexus,false,1500,300,8885000,1294800,--,Unknown,--
BY,Belarus,1888,"Chitika, Inc.","all",any_status,platform,appnexus,false,1400,400,3909100,819600,--,Unknown,--
