geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
BE,Belgium,181,Google AdExchange,"all",any_status,external,appnexus,false,96570900,4115400,28233867400,959451500,--,Unknown,--
BE,Belgium,459,Rubicon,"all",any_status,external,appnexus,false,56820100,2263400,5398288100,219468400,--,Unknown,--
BE,Belgium,1354,Improve Digital,"all",any_status,platform,appnexus,false,40611200,743600,617249300,18935700,--,Unknown,--
BE,Belgium,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,27046200,1668100,1866171500,134504500,--,Unknown,--
BE,Belgium,884,Hi-Media,"all",any_status,platform,appnexus,false,21128200,669300,78818800,7489400,--,Unknown,--
BE,Belgium,357,OpenX,"all",any_status,external,appnexus,false,18262200,431700,5480947400,127566900,--,Unknown,--
BE,Belgium,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,10624100,185200,2174215700,44278600,--,Unknown,--
BE,Belgium,74,PubMatic,"all",any_status,external,appnexus,false,10167500,345100,1408932400,73943500,--,Unknown,--
BE,Belgium,3101,De Persgroep Publishing NV,"all",any_status,platform,appnexus,false,5185800,663300,5798700,760300,--,Unknown,--
BE,Belgium,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,4316500,177000,1206552000,52265100,--,Unknown,--
BE,Belgium,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,4189600,914600,93859100,18219400,--,Unknown,--
BE,Belgium,1548,Criteo,"all",any_status,external,appnexus,false,3483100,434700,342165000,40879100,--,Unknown,--
BE,Belgium,1882,TapTica LTD,"all",any_status,platform,appnexus,false,2258900,256000,87218100,23348500,--,Unknown,--
BE,Belgium,1475,Lifestreet,"all",any_status,platform,appnexus,false,1930500,39700,242585900,5057200,--,Unknown,--
BE,Belgium,2850,MobFox,"all",any_status,platform,appnexus,false,1901400,144500,617754000,33916100,--,Unknown,--
BE,Belgium,2704,IP Adex,"all",any_status,platform,appnexus,false,1800500,240200,1817500,242600,--,Unknown,--
BE,Belgium,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,1687900,21100,286290200,3534600,--,Unknown,--
BE,Belgium,1847,Xaxis - Belgium,"all",any_status,platform,appnexus,false,1678100,126900,1829200,145700,--,Unknown,--
BE,Belgium,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,1525100,77700,271311100,17933900,--,Unknown,--
BE,Belgium,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,1353900,101000,190575900,16112500,--,Unknown,--
BE,Belgium,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1155000,80300,327708200,26451300,--,Unknown,--
BE,Belgium,1608,Audience Square,"all",any_status,platform,appnexus,false,1058100,178900,105327200,8530300,--,Unknown,--
BE,Belgium,2564,24/7 Media France,"all",any_status,platform,appnexus,false,1053300,140200,10662500,1376600,--,Unknown,--
BE,Belgium,1360,Sovrn,"all",any_status,platform,appnexus,false,984300,54300,400642400,23323000,--,Unknown,--
BE,Belgium,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,954400,37600,430811700,17143500,--,Unknown,--
BE,Belgium,2668,MonPar B.V.,"all",any_status,platform,appnexus,false,869500,109000,4293200,550100,--,Unknown,--
BE,Belgium,3500,ASQ Brand,"all",any_status,platform,appnexus,false,650000,44800,30855200,1884800,--,Unknown,--
BE,Belgium,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,585300,84400,50860000,7782600,--,Unknown,--
BE,Belgium,2579,Quantum,"all",any_status,platform,appnexus,false,572400,173500,13214100,4152100,--,Unknown,--
BE,Belgium,882,AN Talent,"all",any_status,platform,appnexus,false,495200,91100,50438600,13544900,--,Unknown,--
BE,Belgium,1908,District M,"all",any_status,platform,appnexus,false,427100,55200,85430500,9861500,--,Unknown,--
BE,Belgium,1081,Sonobi,"all",any_status,platform,appnexus,false,413700,37200,41318500,4009000,--,Unknown,--
BE,Belgium,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,406800,25000,166429900,7648600,--,Unknown,--
BE,Belgium,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,353800,10200,75439200,1675200,--,Unknown,--
BE,Belgium,3277,AdsWizz Inc.,"all",any_status,platform,appnexus,false,332700,5600,1088400,90900,--,Unknown,--
BE,Belgium,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,322200,4100,76563700,1162600,--,Unknown,--
BE,Belgium,541,CPXInteractive,"all",any_status,platform,appnexus,false,284100,29700,38468600,5292100,--,Unknown,--
BE,Belgium,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,282900,160700,2121409200,520131400,--,Unknown,--
BE,Belgium,2737,Semilo B.V.,"all",any_status,platform,appnexus,false,281500,42700,4756100,537900,--,Unknown,--
BE,Belgium,3273,Figaromedias,"all",any_status,platform,appnexus,false,268800,17700,8751600,818700,--,Unknown,--
BE,Belgium,994,WebAds NL,"all",any_status,platform,appnexus,false,262600,33900,4383900,537800,--,Unknown,--
BE,Belgium,1226,AOL Marketplace,"all",any_status,external,appnexus,false,259100,12700,239525900,16680800,--,Unknown,--
BE,Belgium,3204,Purch,"all",any_status,platform,appnexus,false,211300,28900,33563400,4355800,--,Unknown,--
BE,Belgium,3329,AdRaiden,"all",any_status,platform,appnexus,false,186500,28800,59013500,8240600,--,Unknown,--
BE,Belgium,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,170600,28600,103106400,11015600,--,Unknown,--
BE,Belgium,2721,Kiosked,"all",any_status,platform,appnexus,false,154300,22600,84569700,10245200,--,Unknown,--
