geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
BA,Bosnia and Herzegovina,181,Google AdExchange,"all",any_status,external,appnexus,false,32905800,984800,28233867400,959451500,--,Unknown,--
BA,Bosnia and Herzegovina,459,Rubicon,"all",any_status,external,appnexus,false,10078100,440500,5398288100,219468400,--,Unknown,--
BA,Bosnia and Herzegovina,357,OpenX,"all",any_status,external,appnexus,false,9820600,308200,5480947400,127566900,--,Unknown,--
BA,Bosnia and Herzegovina,1548,Criteo,"all",any_status,external,appnexus,false,2457900,245500,342165000,40879100,--,Unknown,--
BA,Bosnia and Herzegovina,74,PubMatic,"all",any_status,external,appnexus,false,785400,31500,1408932400,73943500,--,Unknown,--
BA,Bosnia and Herzegovina,1475,Lifestreet,"all",any_status,platform,appnexus,false,577300,16800,242585900,5057200,--,Unknown,--
BA,Bosnia and Herzegovina,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,564800,17800,1206552000,52265100,--,Unknown,--
BA,Bosnia and Herzegovina,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,557100,83400,1866171500,134504500,--,Unknown,--
BA,Bosnia and Herzegovina,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,521700,8100,2174215700,44278600,--,Unknown,--
BA,Bosnia and Herzegovina,2850,MobFox,"all",any_status,platform,appnexus,false,348400,18400,617754000,33916100,--,Unknown,--
BA,Bosnia and Herzegovina,1356,bRealTime (select),"all",any_status,platform,appnexus,false,228400,22900,327708200,26451300,--,Unknown,--
BA,Bosnia and Herzegovina,1360,Sovrn,"all",any_status,platform,appnexus,false,182200,10300,400642400,23323000,--,Unknown,--
BA,Bosnia and Herzegovina,1354,Improve Digital,"all",any_status,platform,appnexus,false,181500,4700,617249300,18935700,--,Unknown,--
BA,Bosnia and Herzegovina,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,173500,10500,166429900,7648600,--,Unknown,--
BA,Bosnia and Herzegovina,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,103200,2000,76563700,1162600,--,Unknown,--
BA,Bosnia and Herzegovina,1908,District M,"all",any_status,platform,appnexus,false,99600,3400,85430500,9861500,--,Unknown,--
BA,Bosnia and Herzegovina,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,98800,10200,190575900,16112500,--,Unknown,--
BA,Bosnia and Herzegovina,3380,Redview Media (TailWind EMEA Ltd.),"all",any_status,platform,appnexus,false,94900,30100,3313700,736000,--,Unknown,--
BA,Bosnia and Herzegovina,882,AN Talent,"all",any_status,platform,appnexus,false,81400,29800,50438600,13544900,--,Unknown,--
BA,Bosnia and Herzegovina,541,CPXInteractive,"all",any_status,platform,appnexus,false,75700,11900,38468600,5292100,--,Unknown,--
BA,Bosnia and Herzegovina,1081,Sonobi,"all",any_status,platform,appnexus,false,70700,14900,41318500,4009000,--,Unknown,--
BA,Bosnia and Herzegovina,310,Technorati Media,"all",any_status,platform,appnexus,false,43000,4800,64536800,6342900,--,Unknown,--
BA,Bosnia and Herzegovina,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,34500,3000,51953900,4345700,--,Unknown,--
BA,Bosnia and Herzegovina,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,29700,2700,27850600,5122800,--,Unknown,--
BA,Bosnia and Herzegovina,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,29400,2400,37441400,3708500,--,Unknown,--
BA,Bosnia and Herzegovina,928,Suite66,"all",any_status,platform,appnexus,false,28300,2200,4874500,704400,--,Unknown,--
BA,Bosnia and Herzegovina,1613,Defy Media,"all",any_status,platform,appnexus,false,27600,2500,73239200,4465300,--,Unknown,--
BA,Bosnia and Herzegovina,3204,Purch,"all",any_status,platform,appnexus,false,26200,3500,33563400,4355800,--,Unknown,--
BA,Bosnia and Herzegovina,2721,Kiosked,"all",any_status,platform,appnexus,false,25900,3600,84569700,10245200,--,Unknown,--
BA,Bosnia and Herzegovina,1942,Floor6,"all",any_status,platform,appnexus,false,23700,2900,41027600,5864100,--,Unknown,--
BA,Bosnia and Herzegovina,3020,Mojiva II,"all",any_status,platform,appnexus,false,23200,1400,130720700,11697300,--,Unknown,--
BA,Bosnia and Herzegovina,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,23000,700,6341900,228700,--,Unknown,--
BA,Bosnia and Herzegovina,3074,VICE Media,"all",any_status,platform,appnexus,false,23000,200,976900,165800,--,Unknown,--
BA,Bosnia and Herzegovina,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,22800,6200,60998700,8550900,--,Unknown,--
