geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
BN,Brunei Darussalam,181,Google AdExchange,"all",any_status,external,appnexus,false,5548700,170900,28233867400,959451500,--,Unknown,--
BN,Brunei Darussalam,357,OpenX,"all",any_status,external,appnexus,false,1494900,26300,5480947400,127566900,--,Unknown,--
BN,Brunei Darussalam,459,Rubicon,"all",any_status,external,appnexus,false,782800,32400,5398288100,219468400,--,Unknown,--
BN,Brunei Darussalam,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,774200,9700,2174215700,44278600,--,Unknown,--
BN,Brunei Darussalam,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,446800,10000,341724700,17293700,--,Unknown,--
BN,Brunei Darussalam,2850,MobFox,"all",any_status,platform,appnexus,false,299000,14400,617754000,33916100,--,Unknown,--
BN,Brunei Darussalam,74,PubMatic,"all",any_status,external,appnexus,false,197800,12800,1408932400,73943500,--,Unknown,--
BN,Brunei Darussalam,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,95800,4100,1206552000,52265100,--,Unknown,--
BN,Brunei Darussalam,1356,bRealTime (select),"all",any_status,platform,appnexus,false,81700,7800,327708200,26451300,--,Unknown,--
BN,Brunei Darussalam,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,71900,7500,35500900,5026100,--,Unknown,--
BN,Brunei Darussalam,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,67300,8500,1866171500,134504500,--,Unknown,--
BN,Brunei Darussalam,1360,Sovrn,"all",any_status,platform,appnexus,false,53900,5900,400642400,23323000,--,Unknown,--
BN,Brunei Darussalam,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,38100,4900,8000000,1228100,--,Unknown,--
BN,Brunei Darussalam,1475,Lifestreet,"all",any_status,platform,appnexus,false,37100,700,242585900,5057200,--,Unknown,--
BN,Brunei Darussalam,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,37000,400,76563700,1162600,--,Unknown,--
BN,Brunei Darussalam,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,33500,400,67112200,3425500,--,Unknown,--
BN,Brunei Darussalam,2721,Kiosked,"all",any_status,platform,appnexus,false,31500,5400,84569700,10245200,--,Unknown,--
BN,Brunei Darussalam,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,25600,400,37441400,3708500,--,Unknown,--
BN,Brunei Darussalam,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,24500,900,93859100,18219400,--,Unknown,--
BN,Brunei Darussalam,1942,Floor6,"all",any_status,platform,appnexus,false,21400,1600,41027600,5864100,--,Unknown,--
BN,Brunei Darussalam,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,20200,3800,60998700,8550900,--,Unknown,--
BN,Brunei Darussalam,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,19800,1400,190575900,16112500,--,Unknown,--
BN,Brunei Darussalam,541,CPXInteractive,"all",any_status,platform,appnexus,false,15600,3000,38468600,5292100,--,Unknown,--
BN,Brunei Darussalam,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,14800,3000,50860000,7782600,--,Unknown,--
BN,Brunei Darussalam,310,Technorati Media,"all",any_status,platform,appnexus,false,14100,1900,64536800,6342900,--,Unknown,--
BN,Brunei Darussalam,86,Photobucket,"all",any_status,external,appnexus,false,13400,300,10687900,596400,--,Unknown,--
BN,Brunei Darussalam,3192,RTB Media,"all",any_status,platform,appnexus,false,13200,1900,9047300,2346100,--,Unknown,--
BN,Brunei Darussalam,3204,Purch,"all",any_status,platform,appnexus,false,12700,1800,33563400,4355800,--,Unknown,--
BN,Brunei Darussalam,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,12000,1600,166429900,7648600,--,Unknown,--
BN,Brunei Darussalam,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,11900,8600,2121409200,520131400,--,Unknown,--
BN,Brunei Darussalam,882,AN Talent,"all",any_status,platform,appnexus,false,11800,2600,50438600,13544900,--,Unknown,--
BN,Brunei Darussalam,1836,Xaxis - Philippines,"all",any_status,platform,appnexus,false,11700,2700,8096600,1668000,--,Unknown,--
BN,Brunei Darussalam,3492,StudyBreak Media,"all",any_status,platform,appnexus,false,11200,200,22300800,414400,--,Unknown,--
BN,Brunei Darussalam,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,10700,700,27850600,5122800,--,Unknown,--
BN,Brunei Darussalam,928,Suite66,"all",any_status,platform,appnexus,false,10200,1600,4874500,704400,--,Unknown,--
BN,Brunei Darussalam,1619,ReklamStore,"all",any_status,platform,appnexus,false,10100,200,32005800,4616300,--,Unknown,--
BN,Brunei Darussalam,1756,Adversal.com,"all",any_status,platform,appnexus,false,8200,900,14173900,1426500,--,Unknown,--
BN,Brunei Darussalam,1357,bRealTime,"all",any_status,platform,appnexus,false,7300,700,12048300,1469800,--,Unknown,--
BN,Brunei Darussalam,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,7000,100,286290200,3534600,--,Unknown,--
BN,Brunei Darussalam,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,6700,1000,103106400,11015600,--,Unknown,--
BN,Brunei Darussalam,1081,Sonobi,"all",any_status,platform,appnexus,false,5700,1200,41318500,4009000,--,Unknown,--
BN,Brunei Darussalam,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,5600,700,19737800,1365600,--,Unknown,--
BN,Brunei Darussalam,2804,Adshoard,"all",any_status,platform,appnexus,false,5300,200,15208300,1517700,--,Unknown,--
BN,Brunei Darussalam,1908,District M,"all",any_status,platform,appnexus,false,5300,1700,85430500,9861500,--,Unknown,--
BN,Brunei Darussalam,1705,Ninemsn Pty Limited,"all",any_status,platform,appnexus,false,5000,200,16758500,1276400,--,Unknown,--
BN,Brunei Darussalam,2723,Riot New Media Group,"all",any_status,platform,appnexus,false,4700,300,3984400,147800,--,Unknown,--
BN,Brunei Darussalam,1882,TapTica LTD,"all",any_status,platform,appnexus,false,4500,600,87218100,23348500,--,Unknown,--
BN,Brunei Darussalam,1792,Gourmet Ads Pty Limited,"all",any_status,platform,appnexus,false,4200,600,8224700,1803300,--,Unknown,--
BN,Brunei Darussalam,3508,Proper Media LLC,"all",any_status,platform,appnexus,false,3900,200,6143900,144300,--,Unknown,--
BN,Brunei Darussalam,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,3800,1000,7319800,1991600,--,Unknown,--
BN,Brunei Darussalam,2637,Matomy Content Network,"all",any_status,platform,appnexus,false,3500,200,18055600,4241400,--,Unknown,--
BN,Brunei Darussalam,2688,Metric Science,"all",any_status,platform,appnexus,false,3500,500,9565700,2018900,--,Unknown,--
BN,Brunei Darussalam,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,3300,300,6341900,228700,--,Unknown,--
BN,Brunei Darussalam,1601,Orange Ad Market (France),"all",any_status,platform,appnexus,false,3100,100,120590500,5347900,--,Unknown,--
BN,Brunei Darussalam,2249,Komli Media Inc.,"all",any_status,platform,appnexus,false,3100,200,2805200,221700,--,Unknown,--
BN,Brunei Darussalam,2660,DMG Mobile,"all",any_status,platform,appnexus,false,3000,100,2127700,100,--,Unknown,--
BN,Brunei Darussalam,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,3000,100,430811700,17143500,--,Unknown,--
BN,Brunei Darussalam,2251,Waypoint Media,"all",any_status,platform,appnexus,false,2900,300,3297000,184900,--,Unknown,--
BN,Brunei Darussalam,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,2800,1500,11679100,3946900,--,Unknown,--
BN,Brunei Darussalam,3208,Lyfe Media,"all",any_status,platform,appnexus,false,2700,400,3124700,202300,--,Unknown,--
BN,Brunei Darussalam,3450,Northern & Shell,"all",any_status,platform,appnexus,false,2600,400,2119900,290900,--,Unknown,--
BN,Brunei Darussalam,3356,Livingly Media Inc,"all",any_status,platform,appnexus,false,2400,100,24284900,766700,--,Unknown,--
BN,Brunei Darussalam,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,2300,1000,18452300,6512900,--,Unknown,--
BN,Brunei Darussalam,2854,The Blogger Network,"all",any_status,platform,appnexus,false,2200,300,8885000,1294800,--,Unknown,--
BN,Brunei Darussalam,3083,Orbits Digital LLP,"all",any_status,platform,appnexus,false,2200,300,1875200,314600,--,Unknown,--
BN,Brunei Darussalam,2654,Profound,"all",any_status,platform,appnexus,false,1700,100,278400,54700,--,Unknown,--
BN,Brunei Darussalam,1888,"Chitika, Inc.","all",any_status,platform,appnexus,false,1700,500,3909100,819600,--,Unknown,--
BN,Brunei Darussalam,1611,Headway Digital,"all",any_status,platform,appnexus,false,1600,300,14236300,1268000,--,Unknown,--
BN,Brunei Darussalam,2670,AD2ONE LTD,"all",any_status,platform,appnexus,false,1600,200,4430900,730200,--,Unknown,--
BN,Brunei Darussalam,2465,AdMetrics Media Ltd Premium Exchange,"all",any_status,platform,appnexus,false,1600,200,1057900,230700,--,Unknown,--
BN,Brunei Darussalam,1939,152 Media LLC,"all",any_status,platform,appnexus,false,1500,500,10516600,1985700,--,Unknown,--
BN,Brunei Darussalam,1613,Defy Media,"all",any_status,platform,appnexus,false,1500,500,73239200,4465300,--,Unknown,--
BN,Brunei Darussalam,2741,DataWrkz Direct,"all",any_status,platform,appnexus,false,1400,400,2787500,599200,--,Unknown,--
BN,Brunei Darussalam,406,CPM Only,"all",any_status,platform,appnexus,false,1300,200,22587800,1241100,--,Unknown,--
BN,Brunei Darussalam,2025,Fairfax Digital,"all",any_status,platform,appnexus,false,1300,400,23964200,1700200,--,Unknown,--
BN,Brunei Darussalam,927,Adgorithms,"all",any_status,platform,appnexus,false,1300,200,6947600,360600,--,Unknown,--
BN,Brunei Darussalam,3006,CodeFuel,"all",any_status,platform,appnexus,false,1300,600,754300,274900,--,Unknown,--
BN,Brunei Darussalam,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,1300,500,21596300,4597200,--,Unknown,--
BN,Brunei Darussalam,3416,Core2Digital Premium,"all",any_status,platform,appnexus,false,1300,100,1194100,449100,--,Unknown,--
BN,Brunei Darussalam,1922,Pub Ventures Media Corp,"all",any_status,platform,appnexus,false,1200,300,5545300,875700,--,Unknown,--
