geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
BG,Bulgaria,181,Google AdExchange,"all",any_status,external,appnexus,false,83735600,2411600,28233867400,959451500,--,Unknown,--
BG,Bulgaria,357,OpenX,"all",any_status,external,appnexus,false,10023000,312100,5480947400,127566900,--,Unknown,--
BG,Bulgaria,459,Rubicon,"all",any_status,external,appnexus,false,9971000,443300,5398288100,219468400,--,Unknown,--
BG,Bulgaria,1548,Criteo,"all",any_status,external,appnexus,false,3335000,194200,342165000,40879100,--,Unknown,--
BG,Bulgaria,74,PubMatic,"all",any_status,external,appnexus,false,2309400,117400,1408932400,73943500,--,Unknown,--
BG,Bulgaria,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,1495600,183800,1866171500,134504500,--,Unknown,--
BG,Bulgaria,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1495400,62000,1206552000,52265100,--,Unknown,--
BG,Bulgaria,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,1376200,22400,2174215700,44278600,--,Unknown,--
BG,Bulgaria,2850,MobFox,"all",any_status,platform,appnexus,false,1286700,63200,617754000,33916100,--,Unknown,--
BG,Bulgaria,1475,Lifestreet,"all",any_status,platform,appnexus,false,980400,23600,242585900,5057200,--,Unknown,--
BG,Bulgaria,1356,bRealTime (select),"all",any_status,platform,appnexus,false,669700,59900,327708200,26451300,--,Unknown,--
BG,Bulgaria,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,531900,27400,166429900,7648600,--,Unknown,--
BG,Bulgaria,1360,Sovrn,"all",any_status,platform,appnexus,false,486400,29700,400642400,23323000,--,Unknown,--
BG,Bulgaria,1354,Improve Digital,"all",any_status,platform,appnexus,false,250000,9000,617249300,18935700,--,Unknown,--
BG,Bulgaria,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,214800,4100,76563700,1162600,--,Unknown,--
BG,Bulgaria,1882,TapTica LTD,"all",any_status,platform,appnexus,false,182400,79600,87218100,23348500,--,Unknown,--
BG,Bulgaria,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,165900,22300,271311100,17933900,--,Unknown,--
BG,Bulgaria,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,164600,26600,50860000,7782600,--,Unknown,--
BG,Bulgaria,1939,152 Media LLC,"all",any_status,platform,appnexus,false,133600,12800,10516600,1985700,--,Unknown,--
BG,Bulgaria,1908,District M,"all",any_status,platform,appnexus,false,125900,8000,85430500,9861500,--,Unknown,--
BG,Bulgaria,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,124400,9900,190575900,16112500,--,Unknown,--
BG,Bulgaria,1906,Velis Media,"all",any_status,platform,appnexus,false,116500,25100,1743200,404400,--,Unknown,--
BG,Bulgaria,541,CPXInteractive,"all",any_status,platform,appnexus,false,107200,24400,38468600,5292100,--,Unknown,--
BG,Bulgaria,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,98800,16300,93859100,18219400,--,Unknown,--
BG,Bulgaria,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,77100,37000,2121409200,520131400,--,Unknown,--
BG,Bulgaria,3204,Purch,"all",any_status,platform,appnexus,false,75800,9800,33563400,4355800,--,Unknown,--
