geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
CA,Canada,181,Google AdExchange,"all",any_status,external,appnexus,false,695461200,19832500,28233867400,959451500,--,Unknown,--
CA,Canada,357,OpenX,"all",any_status,external,appnexus,false,245594000,4044200,5480947400,127566900,--,Unknown,--
CA,Canada,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,93934000,1706400,2174215700,44278600,--,Unknown,--
CA,Canada,459,Rubicon,"all",any_status,external,appnexus,false,93245300,4543700,5398288100,219468400,--,Unknown,--
CA,Canada,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,80436900,4875500,1866171500,134504500,--,Unknown,--
CA,Canada,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,36451100,1086400,1206552000,52265100,--,Unknown,--
CA,Canada,1410,Index Exchange Inc,"all",any_status,platform,appnexus,false,31305200,1603600,117625700,8331200,--,Unknown,--
CA,Canada,74,PubMatic,"all",any_status,external,appnexus,false,30691900,1537200,1408932400,73943500,--,Unknown,--
CA,Canada,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,30154800,927600,271311100,17933900,--,Unknown,--
CA,Canada,1908,District M,"all",any_status,platform,appnexus,false,25949200,2511500,85430500,9861500,--,Unknown,--
CA,Canada,3282,EST Digital Ltd.,"all",any_status,platform,appnexus,false,17737200,46600,51037100,391400,--,Unknown,--
CA,Canada,2850,MobFox,"all",any_status,platform,appnexus,false,17242400,883600,617754000,33916100,--,Unknown,--
CA,Canada,1356,bRealTime (select),"all",any_status,platform,appnexus,false,15802900,919500,327708200,26451300,--,Unknown,--
CA,Canada,1360,Sovrn,"all",any_status,platform,appnexus,false,15571900,1049400,400642400,23323000,--,Unknown,--
CA,Canada,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,15273700,141400,286290200,3534600,--,Unknown,--
CA,Canada,1226,AOL Marketplace,"all",any_status,external,appnexus,false,14000400,916700,239525900,16680800,--,Unknown,--
CA,Canada,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,12523100,756300,430811700,17143500,--,Unknown,--
CA,Canada,2014,"Conversant, Inc","all",any_status,platform,appnexus,false,9004800,387200,240771800,9943500,--,Unknown,--
