geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
CN,China,181,Google AdExchange,"all",any_status,external,appnexus,false,553728600,22338000,28233867400,959451500,--,Unknown,--
CN,China,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,79858900,2387100,2174215700,44278600,--,Unknown,--
CN,China,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,19836600,1402600,1206552000,52265100,--,Unknown,--
CN,China,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,15133700,1619800,1866171500,134504500,--,Unknown,--
CN,China,459,Rubicon,"all",any_status,external,appnexus,false,10032700,1547300,5398288100,219468400,--,Unknown,--
CN,China,2850,MobFox,"all",any_status,platform,appnexus,false,5815400,246700,617754000,33916100,--,Unknown,--
CN,China,357,OpenX,"all",any_status,external,appnexus,false,5145300,137200,5480947400,127566900,--,Unknown,--
CN,China,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,1442400,390700,93859100,18219400,--,Unknown,--
CN,China,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,1242600,996300,103106400,11015600,--,Unknown,--
CN,China,542,Up-value GmbH,"all",any_status,platform,appnexus,false,939000,333600,1613200,434700,--,Unknown,--
CN,China,74,PubMatic,"all",any_status,external,appnexus,false,930000,62500,1408932400,73943500,--,Unknown,--
CN,China,1882,TapTica LTD,"all",any_status,platform,appnexus,false,810100,145700,87218100,23348500,--,Unknown,--
CN,China,1356,bRealTime (select),"all",any_status,platform,appnexus,false,464600,38100,327708200,26451300,--,Unknown,--
CN,China,1360,Sovrn,"all",any_status,platform,appnexus,false,435100,23900,400642400,23323000,--,Unknown,--
CN,China,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,363900,6700,76563700,1162600,--,Unknown,--
CN,China,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,269600,65600,16374000,2597100,--,Unknown,--
CN,China,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,253900,88800,15959100,5178000,--,Unknown,--
CN,China,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,251700,5800,37441400,3708500,--,Unknown,--
CN,China,2660,DMG Mobile,"all",any_status,platform,appnexus,false,236900,100,2127700,100,--,Unknown,--
CN,China,568,Httpool,"all",any_status,platform,appnexus,false,230000,38500,4528700,487200,--,Unknown,--
CN,China,620,Mediafem LLC,"all",any_status,platform,appnexus,false,217800,81100,4461200,553100,--,Unknown,--
CN,China,3329,AdRaiden,"all",any_status,platform,appnexus,false,207400,30300,59013500,8240600,--,Unknown,--
CN,China,86,Photobucket,"all",any_status,external,appnexus,false,204300,8000,10687900,596400,--,Unknown,--
CN,China,1908,District M,"all",any_status,platform,appnexus,false,201000,30600,85430500,9861500,--,Unknown,--
CN,China,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,190600,125600,2121409200,520131400,--,Unknown,--
CN,China,1939,152 Media LLC,"all",any_status,platform,appnexus,false,159300,40900,10516600,1985700,--,Unknown,--
CN,China,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,131100,8100,166429900,7648600,--,Unknown,--
CN,China,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,112400,15600,50860000,7782600,--,Unknown,--
