geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
CR,Costa Rica,181,Google AdExchange,"all",any_status,external,appnexus,false,31695900,1365100,28233867400,959451500,--,Unknown,--
CR,Costa Rica,357,OpenX,"all",any_status,external,appnexus,false,4580700,92500,5480947400,127566900,--,Unknown,--
CR,Costa Rica,459,Rubicon,"all",any_status,external,appnexus,false,4043600,189400,5398288100,219468400,--,Unknown,--
CR,Costa Rica,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,2943800,117600,1206552000,52265100,--,Unknown,--
CR,Costa Rica,2850,MobFox,"all",any_status,platform,appnexus,false,2556500,151500,617754000,33916100,--,Unknown,--
CR,Costa Rica,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,2551500,229600,1866171500,134504500,--,Unknown,--
CR,Costa Rica,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,2235800,36100,2174215700,44278600,--,Unknown,--
CR,Costa Rica,74,PubMatic,"all",any_status,external,appnexus,false,1436500,45400,1408932400,73943500,--,Unknown,--
CR,Costa Rica,882,AN Talent,"all",any_status,platform,appnexus,false,694100,82000,50438600,13544900,--,Unknown,--
CR,Costa Rica,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,398900,31300,66270000,5213700,--,Unknown,--
CR,Costa Rica,3020,Mojiva II,"all",any_status,platform,appnexus,false,307200,20800,130720700,11697300,--,Unknown,--
CR,Costa Rica,1360,Sovrn,"all",any_status,platform,appnexus,false,259700,13100,400642400,23323000,--,Unknown,--
CR,Costa Rica,1130,Orange Advertising Americas,"all",any_status,platform,appnexus,false,255500,26200,9909700,1441700,--,Unknown,--
CR,Costa Rica,1475,Lifestreet,"all",any_status,platform,appnexus,false,250700,5200,242585900,5057200,--,Unknown,--
CR,Costa Rica,1356,bRealTime (select),"all",any_status,platform,appnexus,false,237000,24600,327708200,26451300,--,Unknown,--
CR,Costa Rica,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,231300,37000,50860000,7782600,--,Unknown,--
CR,Costa Rica,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,228700,8800,166429900,7648600,--,Unknown,--
CR,Costa Rica,884,Hi-Media,"all",any_status,platform,appnexus,false,146900,44100,78818800,7489400,--,Unknown,--
CR,Costa Rica,1908,District M,"all",any_status,platform,appnexus,false,132800,5700,85430500,9861500,--,Unknown,--
CR,Costa Rica,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,111000,2200,76563700,1162600,--,Unknown,--
CR,Costa Rica,1548,Criteo,"all",any_status,external,appnexus,false,102400,14300,342165000,40879100,--,Unknown,--
CR,Costa Rica,3153,152 Media Select,"all",any_status,platform,appnexus,false,99400,400,2747300,124000,--,Unknown,--
CR,Costa Rica,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,90500,1800,93859100,18219400,--,Unknown,--
CR,Costa Rica,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,84800,4700,190575900,16112500,--,Unknown,--
CR,Costa Rica,3449,"Curiosity Media, Inc.","all",any_status,platform,appnexus,false,66300,1100,8293600,244900,--,Unknown,--
