geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
HR,Croatia,181,Google AdExchange,"all",any_status,external,appnexus,false,46435900,1685400,28233867400,959451500,--,Unknown,--
HR,Croatia,459,Rubicon,"all",any_status,external,appnexus,false,8308800,323000,5398288100,219468400,--,Unknown,--
HR,Croatia,357,OpenX,"all",any_status,external,appnexus,false,7767200,196000,5480947400,127566900,--,Unknown,--
HR,Croatia,3380,Redview Media (TailWind EMEA Ltd.),"all",any_status,platform,appnexus,false,3027600,648200,3313700,736000,--,Unknown,--
HR,Croatia,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,1786400,28500,2174215700,44278600,--,Unknown,--
HR,Croatia,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,1206900,133800,1866171500,134504500,--,Unknown,--
HR,Croatia,1548,Criteo,"all",any_status,external,appnexus,false,1184000,208400,342165000,40879100,--,Unknown,--
HR,Croatia,74,PubMatic,"all",any_status,external,appnexus,false,1049300,52900,1408932400,73943500,--,Unknown,--
HR,Croatia,568,Httpool,"all",any_status,platform,appnexus,false,850400,89300,4528700,487200,--,Unknown,--
HR,Croatia,2850,MobFox,"all",any_status,platform,appnexus,false,650700,38600,617754000,33916100,--,Unknown,--
HR,Croatia,1356,bRealTime (select),"all",any_status,platform,appnexus,false,632700,49800,327708200,26451300,--,Unknown,--
HR,Croatia,1475,Lifestreet,"all",any_status,platform,appnexus,false,468400,15000,242585900,5057200,--,Unknown,--
HR,Croatia,1360,Sovrn,"all",any_status,platform,appnexus,false,349400,27100,400642400,23323000,--,Unknown,--
HR,Croatia,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,341400,26100,341724700,17293700,--,Unknown,--
HR,Croatia,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,199400,14100,166429900,7648600,--,Unknown,--
HR,Croatia,1354,Improve Digital,"all",any_status,platform,appnexus,false,199300,4600,617249300,18935700,--,Unknown,--
