geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
CU,Cuba,181,Google AdExchange,"all",any_status,external,appnexus,false,831500,21600,28233867400,959451500,--,Unknown,--
CU,Cuba,357,OpenX,"all",any_status,external,appnexus,false,152500,3900,5480947400,127566900,--,Unknown,--
CU,Cuba,459,Rubicon,"all",any_status,external,appnexus,false,104900,6700,5398288100,219468400,--,Unknown,--
CU,Cuba,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,46700,10900,103106400,11015600,--,Unknown,--
CU,Cuba,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,32700,1300,66270000,5213700,--,Unknown,--
CU,Cuba,74,PubMatic,"all",any_status,external,appnexus,false,27100,1700,1408932400,73943500,--,Unknown,--
CU,Cuba,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,15200,2200,1866171500,134504500,--,Unknown,--
CU,Cuba,1356,bRealTime (select),"all",any_status,platform,appnexus,false,10100,1500,327708200,26451300,--,Unknown,--
CU,Cuba,884,Hi-Media,"all",any_status,platform,appnexus,false,9100,1200,78818800,7489400,--,Unknown,--
CU,Cuba,1354,Improve Digital,"all",any_status,platform,appnexus,false,7900,500,617249300,18935700,--,Unknown,--
CU,Cuba,3204,Purch,"all",any_status,platform,appnexus,false,5400,600,33563400,4355800,--,Unknown,--
CU,Cuba,1360,Sovrn,"all",any_status,platform,appnexus,false,4700,300,400642400,23323000,--,Unknown,--
CU,Cuba,1449,Adtegrity,"all",any_status,platform,appnexus,false,4400,200,30828900,3626800,--,Unknown,--
CU,Cuba,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,4000,700,16374000,2597100,--,Unknown,--
CU,Cuba,541,CPXInteractive,"all",any_status,platform,appnexus,false,3800,500,38468600,5292100,--,Unknown,--
CU,Cuba,956,Zodiak Active,"all",any_status,platform,appnexus,false,3600,600,42149500,4493100,--,Unknown,--
CU,Cuba,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,3200,200,21596300,4597200,--,Unknown,--
CU,Cuba,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,3100,200,93859100,18219400,--,Unknown,--
CU,Cuba,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,2800,200,68302300,5161300,--,Unknown,--
CU,Cuba,2023,RedMas Argentina S.A.,"all",any_status,platform,appnexus,false,2600,400,6463900,834200,--,Unknown,--
CU,Cuba,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,2600,200,51953900,4345700,--,Unknown,--
CU,Cuba,2850,MobFox,"all",any_status,platform,appnexus,false,2600,500,617754000,33916100,--,Unknown,--
CU,Cuba,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,2300,200,8000000,1228100,--,Unknown,--
CU,Cuba,1882,TapTica LTD,"all",any_status,platform,appnexus,false,2200,800,87218100,23348500,--,Unknown,--
CU,Cuba,1413,DTCN,"all",any_status,platform,appnexus,false,2100,200,3607300,146200,--,Unknown,--
CU,Cuba,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,2100,300,190575900,16112500,--,Unknown,--
CU,Cuba,3159,Kickads SRL,"all",any_status,platform,appnexus,false,2100,200,107300,24500,--,Unknown,--
CU,Cuba,406,CPM Only,"all",any_status,platform,appnexus,false,2000,100,22587800,1241100,--,Unknown,--
CU,Cuba,3208,Lyfe Media,"all",any_status,platform,appnexus,false,1900,200,3124700,202300,--,Unknown,--
CU,Cuba,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,1900,200,430811700,17143500,--,Unknown,--
CU,Cuba,1226,AOL Marketplace,"all",any_status,external,appnexus,false,1900,200,239525900,16680800,--,Unknown,--
CU,Cuba,3192,RTB Media,"all",any_status,platform,appnexus,false,1800,400,9047300,2346100,--,Unknown,--
CU,Cuba,928,Suite66,"all",any_status,platform,appnexus,false,1600,100,4874500,704400,--,Unknown,--
CU,Cuba,882,AN Talent,"all",any_status,platform,appnexus,false,1600,600,50438600,13544900,--,Unknown,--
CU,Cuba,1942,Floor6,"all",any_status,platform,appnexus,false,1500,500,41027600,5864100,--,Unknown,--
CU,Cuba,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,1500,300,27850600,5122800,--,Unknown,--
CU,Cuba,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,1300,900,2121409200,520131400,--,Unknown,--
CU,Cuba,2252,One Advertising AG,"all",any_status,platform,appnexus,false,1200,100,7386500,732100,--,Unknown,--
CU,Cuba,2797,Disqus Inc.,"all",any_status,platform,appnexus,false,1200,100,969700,491000,--,Unknown,--
CU,Cuba,1608,Audience Square,"all",any_status,platform,appnexus,false,1200,100,105327200,8530300,--,Unknown,--
CU,Cuba,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1200,300,1206552000,52265100,--,Unknown,--
CU,Cuba,1888,"Chitika, Inc.","all",any_status,platform,appnexus,false,1200,200,3909100,819600,--,Unknown,--
CU,Cuba,1908,District M,"all",any_status,platform,appnexus,false,1200,400,85430500,9861500,--,Unknown,--
CU,Cuba,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,1200,300,11679100,3946900,--,Unknown,--
CU,Cuba,310,Technorati Media,"all",any_status,platform,appnexus,false,1000,300,64536800,6342900,--,Unknown,--
CU,Cuba,2465,AdMetrics Media Ltd Premium Exchange,"all",any_status,platform,appnexus,false,1000,100,1057900,230700,--,Unknown,--
CU,Cuba,3442,Ampliffy,"all",any_status,platform,appnexus,false,900,100,4220500,316000,--,Unknown,--
CU,Cuba,3500,ASQ Brand,"all",any_status,platform,appnexus,false,900,100,30855200,1884800,--,Unknown,--
CU,Cuba,1357,bRealTime,"all",any_status,platform,appnexus,false,900,300,12048300,1469800,--,Unknown,--
CU,Cuba,740,NetSeer Inc,"all",any_status,platform,appnexus,false,900,300,7306400,1136500,--,Unknown,--
CU,Cuba,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,800,200,50498400,3809900,--,Unknown,--
CU,Cuba,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,800,200,60998700,8550900,--,Unknown,--
CU,Cuba,1963,Crucial Interactive Inc.,"all",any_status,platform,appnexus,false,800,100,1711700,257200,--,Unknown,--
CU,Cuba,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,800,200,166429900,7648600,--,Unknown,--
CU,Cuba,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,800,300,341724700,17293700,--,Unknown,--
CU,Cuba,3329,AdRaiden,"all",any_status,platform,appnexus,false,800,100,59013500,8240600,--,Unknown,--
CU,Cuba,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,700,200,15959100,5178000,--,Unknown,--
CU,Cuba,2721,Kiosked,"all",any_status,platform,appnexus,false,700,200,84569700,10245200,--,Unknown,--
CU,Cuba,1613,Defy Media,"all",any_status,platform,appnexus,false,700,100,73239200,4465300,--,Unknown,--
CU,Cuba,1130,Orange Advertising Americas,"all",any_status,platform,appnexus,false,700,200,9909700,1441700,--,Unknown,--
CU,Cuba,2767,Premio,"all",any_status,platform,appnexus,false,700,100,13425800,1568700,--,Unknown,--
CU,Cuba,2564,24/7 Media France,"all",any_status,platform,appnexus,false,600,200,10662500,1376600,--,Unknown,--
CU,Cuba,1783,Bandsintown Amplified,"all",any_status,platform,appnexus,false,600,200,1178600,523000,--,Unknown,--
CU,Cuba,1548,Criteo,"all",any_status,external,appnexus,false,600,300,342165000,40879100,--,Unknown,--
CU,Cuba,1583,Admeta AB,"all",any_status,platform,appnexus,false,500,100,14256000,1033900,--,Unknown,--
