geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
CZ,Czech Republic,181,Google AdExchange,"all",any_status,external,appnexus,false,72307300,3660600,28233867400,959451500,--,Unknown,--
CZ,Czech Republic,459,Rubicon,"all",any_status,external,appnexus,false,64569200,2176400,5398288100,219468400,--,Unknown,--
CZ,Czech Republic,74,PubMatic,"all",any_status,external,appnexus,false,11951800,1645900,1408932400,73943500,--,Unknown,--
CZ,Czech Republic,357,OpenX,"all",any_status,external,appnexus,false,7848100,180200,5480947400,127566900,--,Unknown,--
CZ,Czech Republic,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,3630500,398100,1866171500,134504500,--,Unknown,--
CZ,Czech Republic,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,3411700,41200,2174215700,44278600,--,Unknown,--
CZ,Czech Republic,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1814600,100300,1206552000,52265100,--,Unknown,--
CZ,Czech Republic,2850,MobFox,"all",any_status,platform,appnexus,false,1472300,61300,617754000,33916100,--,Unknown,--
CZ,Czech Republic,1475,Lifestreet,"all",any_status,platform,appnexus,false,1235000,29200,242585900,5057200,--,Unknown,--
CZ,Czech Republic,1356,bRealTime (select),"all",any_status,platform,appnexus,false,838600,60500,327708200,26451300,--,Unknown,--
CZ,Czech Republic,1548,Criteo,"all",any_status,external,appnexus,false,828200,75400,342165000,40879100,--,Unknown,--
CZ,Czech Republic,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,823600,38000,166429900,7648600,--,Unknown,--
CZ,Czech Republic,1360,Sovrn,"all",any_status,platform,appnexus,false,710900,42600,400642400,23323000,--,Unknown,--
CZ,Czech Republic,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,474400,16300,190575900,16112500,--,Unknown,--
CZ,Czech Republic,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,289500,19800,271311100,17933900,--,Unknown,--
CZ,Czech Republic,1354,Improve Digital,"all",any_status,platform,appnexus,false,258400,10600,617249300,18935700,--,Unknown,--
CZ,Czech Republic,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,226000,4800,76563700,1162600,--,Unknown,--
CZ,Czech Republic,1882,TapTica LTD,"all",any_status,platform,appnexus,false,225900,107400,87218100,23348500,--,Unknown,--
CZ,Czech Republic,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,160900,26500,50860000,7782600,--,Unknown,--
CZ,Czech Republic,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,149800,36300,93859100,18219400,--,Unknown,--
CZ,Czech Republic,310,Technorati Media,"all",any_status,platform,appnexus,false,146800,11300,64536800,6342900,--,Unknown,--
CZ,Czech Republic,541,CPXInteractive,"all",any_status,platform,appnexus,false,136400,18100,38468600,5292100,--,Unknown,--
CZ,Czech Republic,3020,Mojiva II,"all",any_status,platform,appnexus,false,134300,7200,130720700,11697300,--,Unknown,--
CZ,Czech Republic,1908,District M,"all",any_status,platform,appnexus,false,120900,10000,85430500,9861500,--,Unknown,--
CZ,Czech Republic,3204,Purch,"all",any_status,platform,appnexus,false,112500,11300,33563400,4355800,--,Unknown,--
CZ,Czech Republic,3339,Petilmat S.A.,"all",any_status,platform,appnexus,false,105500,200,41510700,443300,--,Unknown,--
CZ,Czech Republic,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,93100,6200,35500900,5026100,--,Unknown,--
CZ,Czech Republic,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,88700,59800,2121409200,520131400,--,Unknown,--
CZ,Czech Republic,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,80800,43200,15959100,5178000,--,Unknown,--
CZ,Czech Republic,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,68700,5600,27850600,5122800,--,Unknown,--
CZ,Czech Republic,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,66100,12100,60998700,8550900,--,Unknown,--
CZ,Czech Republic,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,66100,4500,19737800,1365600,--,Unknown,--
CZ,Czech Republic,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,65800,8200,37441400,3708500,--,Unknown,--
CZ,Czech Republic,1608,Audience Square,"all",any_status,platform,appnexus,false,58900,3100,105327200,8530300,--,Unknown,--
CZ,Czech Republic,2721,Kiosked,"all",any_status,platform,appnexus,false,55700,9600,84569700,10245200,--,Unknown,--
CZ,Czech Republic,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,52400,6100,51953900,4345700,--,Unknown,--
CZ,Czech Republic,1405,Adscale GmbH,"all",any_status,external,appnexus,false,49900,3000,24769000,2453000,--,Unknown,--
CZ,Czech Republic,1942,Floor6,"all",any_status,platform,appnexus,false,48200,5200,41027600,5864100,--,Unknown,--
CZ,Czech Republic,3366,AerServ LLC,"all",any_status,platform,appnexus,false,47700,200,96664800,5504300,--,Unknown,--
CZ,Czech Republic,3282,EST Digital Ltd.,"all",any_status,platform,appnexus,false,44900,900,51037100,391400,--,Unknown,--
CZ,Czech Republic,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,43600,4200,16374000,2597100,--,Unknown,--
CZ,Czech Republic,1613,Defy Media,"all",any_status,platform,appnexus,false,42100,5000,73239200,4465300,--,Unknown,--
CZ,Czech Republic,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,38700,21500,5027900,2395500,--,Unknown,--
CZ,Czech Republic,2251,Waypoint Media,"all",any_status,platform,appnexus,false,38500,1400,3297000,184900,--,Unknown,--
CZ,Czech Republic,86,Photobucket,"all",any_status,external,appnexus,false,35500,2600,10687900,596400,--,Unknown,--
CZ,Czech Republic,1756,Adversal.com,"all",any_status,platform,appnexus,false,33600,16800,14173900,1426500,--,Unknown,--
CZ,Czech Republic,884,Hi-Media,"all",any_status,platform,appnexus,false,33600,2500,78818800,7489400,--,Unknown,--
CZ,Czech Republic,1081,Sonobi,"all",any_status,platform,appnexus,false,32700,3800,41318500,4009000,--,Unknown,--
CZ,Czech Republic,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,31500,5100,68302300,5161300,--,Unknown,--
CZ,Czech Republic,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,29900,3800,19222500,1853100,--,Unknown,--
CZ,Czech Republic,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,28300,1400,6341900,228700,--,Unknown,--
CZ,Czech Republic,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,27600,5800,103106400,11015600,--,Unknown,--
CZ,Czech Republic,882,AN Talent,"all",any_status,platform,appnexus,false,26900,6000,50438600,13544900,--,Unknown,--
CZ,Czech Republic,1226,AOL Marketplace,"all",any_status,external,appnexus,false,26600,2300,239525900,16680800,--,Unknown,--
