geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
DK,Denmark,181,Google AdExchange,"all",any_status,external,appnexus,false,119510000,3537800,28233867400,959451500,--,Unknown,--
DK,Denmark,459,Rubicon,"all",any_status,external,appnexus,false,84162700,1624400,5398288100,219468400,--,Unknown,--
DK,Denmark,1354,Improve Digital,"all",any_status,platform,appnexus,false,22652800,554000,617249300,18935700,--,Unknown,--
DK,Denmark,357,OpenX,"all",any_status,external,appnexus,false,17113600,238300,5480947400,127566900,--,Unknown,--
DK,Denmark,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,12656300,855100,1866171500,134504500,--,Unknown,--
DK,Denmark,74,PubMatic,"all",any_status,external,appnexus,false,9997500,582800,1408932400,73943500,--,Unknown,--
DK,Denmark,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,6117400,213200,2174215700,44278600,--,Unknown,--
DK,Denmark,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,2710000,95600,271311100,17933900,--,Unknown,--
DK,Denmark,2850,MobFox,"all",any_status,platform,appnexus,false,1941300,116600,617754000,33916100,--,Unknown,--
DK,Denmark,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1801300,136300,1206552000,52265100,--,Unknown,--
DK,Denmark,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,1510300,16700,286290200,3534600,--,Unknown,--
DK,Denmark,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1383700,89700,327708200,26451300,--,Unknown,--
DK,Denmark,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,1338200,92500,190575900,16112500,--,Unknown,--
DK,Denmark,1548,Criteo,"all",any_status,external,appnexus,false,1197700,133700,342165000,40879100,--,Unknown,--
DK,Denmark,1360,Sovrn,"all",any_status,platform,appnexus,false,1002300,52300,400642400,23323000,--,Unknown,--
DK,Denmark,1475,Lifestreet,"all",any_status,platform,appnexus,false,836900,25100,242585900,5057200,--,Unknown,--
DK,Denmark,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,451500,23100,166429900,7648600,--,Unknown,--
DK,Denmark,2721,Kiosked,"all",any_status,platform,appnexus,false,339600,23900,84569700,10245200,--,Unknown,--
DK,Denmark,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,289600,22000,50498400,3809900,--,Unknown,--
DK,Denmark,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,258600,122500,2121409200,520131400,--,Unknown,--
