geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
DO,Dominican Republic,181,Google AdExchange,"all",any_status,external,appnexus,false,42513500,1562400,28233867400,959451500,--,Unknown,--
DO,Dominican Republic,357,OpenX,"all",any_status,external,appnexus,false,5898200,130300,5480947400,127566900,--,Unknown,--
DO,Dominican Republic,459,Rubicon,"all",any_status,external,appnexus,false,4179600,189800,5398288100,219468400,--,Unknown,--
DO,Dominican Republic,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,3741000,37100,2174215700,44278600,--,Unknown,--
DO,Dominican Republic,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,2901100,121100,1206552000,52265100,--,Unknown,--
DO,Dominican Republic,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,1461500,135200,1866171500,134504500,--,Unknown,--
DO,Dominican Republic,74,PubMatic,"all",any_status,external,appnexus,false,1054400,50100,1408932400,73943500,--,Unknown,--
DO,Dominican Republic,2850,MobFox,"all",any_status,platform,appnexus,false,842700,60100,617754000,33916100,--,Unknown,--
DO,Dominican Republic,1475,Lifestreet,"all",any_status,platform,appnexus,false,605500,13600,242585900,5057200,--,Unknown,--
DO,Dominican Republic,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,525500,29300,66270000,5213700,--,Unknown,--
DO,Dominican Republic,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,380100,11700,93859100,18219400,--,Unknown,--
DO,Dominican Republic,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,286100,7800,190575900,16112500,--,Unknown,--
DO,Dominican Republic,1356,bRealTime (select),"all",any_status,platform,appnexus,false,257800,32100,327708200,26451300,--,Unknown,--
DO,Dominican Republic,3020,Mojiva II,"all",any_status,platform,appnexus,false,202000,15300,130720700,11697300,--,Unknown,--
DO,Dominican Republic,1130,Orange Advertising Americas,"all",any_status,platform,appnexus,false,191400,22600,9909700,1441700,--,Unknown,--
DO,Dominican Republic,882,AN Talent,"all",any_status,platform,appnexus,false,186600,36600,50438600,13544900,--,Unknown,--
DO,Dominican Republic,1360,Sovrn,"all",any_status,platform,appnexus,false,172400,13500,400642400,23323000,--,Unknown,--
DO,Dominican Republic,1548,Criteo,"all",any_status,external,appnexus,false,124100,23900,342165000,40879100,--,Unknown,--
DO,Dominican Republic,541,CPXInteractive,"all",any_status,platform,appnexus,false,121100,14200,38468600,5292100,--,Unknown,--
DO,Dominican Republic,884,Hi-Media,"all",any_status,platform,appnexus,false,105300,27100,78818800,7489400,--,Unknown,--
DO,Dominican Republic,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,105100,13000,27850600,5122800,--,Unknown,--
DO,Dominican Republic,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,86700,10400,21596300,4597200,--,Unknown,--
DO,Dominican Republic,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,83200,2000,76563700,1162600,--,Unknown,--
DO,Dominican Republic,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,79100,7200,16374000,2597100,--,Unknown,--
DO,Dominican Republic,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,77000,12300,50860000,7782600,--,Unknown,--
DO,Dominican Republic,1939,152 Media LLC,"all",any_status,platform,appnexus,false,76000,10400,10516600,1985700,--,Unknown,--
DO,Dominican Republic,956,Zodiak Active,"all",any_status,platform,appnexus,false,73400,10600,42149500,4493100,--,Unknown,--
DO,Dominican Republic,1354,Improve Digital,"all",any_status,platform,appnexus,false,64500,6200,617249300,18935700,--,Unknown,--
DO,Dominican Republic,1081,Sonobi,"all",any_status,platform,appnexus,false,63900,7200,41318500,4009000,--,Unknown,--
DO,Dominican Republic,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,63300,11900,15959100,5178000,--,Unknown,--
DO,Dominican Republic,1613,Defy Media,"all",any_status,platform,appnexus,false,58600,7300,73239200,4465300,--,Unknown,--
DO,Dominican Republic,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,49300,700,75439200,1675200,--,Unknown,--
DO,Dominican Republic,2023,RedMas Argentina S.A.,"all",any_status,platform,appnexus,false,48600,6600,6463900,834200,--,Unknown,--
DO,Dominican Republic,1908,District M,"all",any_status,platform,appnexus,false,46200,6500,85430500,9861500,--,Unknown,--
DO,Dominican Republic,1530,AdPrudence,"all",any_status,platform,appnexus,false,40700,3400,7290300,3996400,--,Unknown,--
DO,Dominican Republic,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,40300,300,286290200,3534600,--,Unknown,--
DO,Dominican Republic,3192,RTB Media,"all",any_status,platform,appnexus,false,39200,11000,9047300,2346100,--,Unknown,--
DO,Dominican Republic,1226,AOL Marketplace,"all",any_status,external,appnexus,false,35400,2600,239525900,16680800,--,Unknown,--
DO,Dominican Republic,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,34900,2200,341724700,17293700,--,Unknown,--
DO,Dominican Republic,3204,Purch,"all",any_status,platform,appnexus,false,33600,4300,33563400,4355800,--,Unknown,--
DO,Dominican Republic,1643,Fidelity Media,"all",any_status,platform,appnexus,false,32700,5200,2190000,227800,--,Unknown,--
DO,Dominican Republic,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,29700,22300,2121409200,520131400,--,Unknown,--
DO,Dominican Republic,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,29200,3900,60998700,8550900,--,Unknown,--
DO,Dominican Republic,1357,bRealTime,"all",any_status,platform,appnexus,false,28200,4100,12048300,1469800,--,Unknown,--
DO,Dominican Republic,310,Technorati Media,"all",any_status,platform,appnexus,false,27200,3600,64536800,6342900,--,Unknown,--
DO,Dominican Republic,2721,Kiosked,"all",any_status,platform,appnexus,false,26300,3900,84569700,10245200,--,Unknown,--
DO,Dominican Republic,1888,"Chitika, Inc.","all",any_status,platform,appnexus,false,26000,4700,3909100,819600,--,Unknown,--
DO,Dominican Republic,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,25000,3300,166429900,7648600,--,Unknown,--
DO,Dominican Republic,1882,TapTica LTD,"all",any_status,platform,appnexus,false,22900,4000,87218100,23348500,--,Unknown,--
DO,Dominican Republic,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,22400,500,6341900,228700,--,Unknown,--
DO,Dominican Republic,2804,Adshoard,"all",any_status,platform,appnexus,false,21200,2500,15208300,1517700,--,Unknown,--
DO,Dominican Republic,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,21000,1700,67112200,3425500,--,Unknown,--
DO,Dominican Republic,1942,Floor6,"all",any_status,platform,appnexus,false,20100,2500,41027600,5864100,--,Unknown,--
DO,Dominican Republic,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,18900,2700,103106400,11015600,--,Unknown,--
DO,Dominican Republic,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,18000,2200,35500900,5026100,--,Unknown,--
DO,Dominican Republic,1560,OxaMedia Corporation,"all",any_status,platform,appnexus,false,17700,1800,647800,93700,--,Unknown,--
DO,Dominican Republic,2556,CoAdvertise GmbH,"all",any_status,platform,appnexus,false,17600,1600,3860700,298100,--,Unknown,--
DO,Dominican Republic,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,17200,6700,11679100,3946900,--,Unknown,--
DO,Dominican Republic,620,Mediafem LLC,"all",any_status,platform,appnexus,false,16700,3500,4461200,553100,--,Unknown,--
DO,Dominican Republic,3356,Livingly Media Inc,"all",any_status,platform,appnexus,false,15400,200,24284900,766700,--,Unknown,--
DO,Dominican Republic,3442,Ampliffy,"all",any_status,platform,appnexus,false,13900,1200,4220500,316000,--,Unknown,--
DO,Dominican Republic,3105,Adshoard Premium,"all",any_status,platform,appnexus,false,13700,1500,1000700,224100,--,Unknown,--
DO,Dominican Republic,1608,Audience Square,"all",any_status,platform,appnexus,false,12300,1300,105327200,8530300,--,Unknown,--
DO,Dominican Republic,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,11900,800,37441400,3708500,--,Unknown,--
DO,Dominican Republic,1773,Gay Ad Network,"all",any_status,platform,appnexus,false,11500,300,1264700,197500,--,Unknown,--
DO,Dominican Republic,1619,ReklamStore,"all",any_status,platform,appnexus,false,11200,3900,32005800,4616300,--,Unknown,--
DO,Dominican Republic,740,NetSeer Inc,"all",any_status,platform,appnexus,false,11200,3400,7306400,1136500,--,Unknown,--
DO,Dominican Republic,3449,"Curiosity Media, Inc.","all",any_status,platform,appnexus,false,10200,700,8293600,244900,--,Unknown,--
DO,Dominican Republic,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,9300,2000,7319800,1991600,--,Unknown,--
DO,Dominican Republic,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,9200,3500,18452300,6512900,--,Unknown,--
DO,Dominican Republic,2465,AdMetrics Media Ltd Premium Exchange,"all",any_status,platform,appnexus,false,8500,1600,1057900,230700,--,Unknown,--
DO,Dominican Republic,1836,Xaxis - Philippines,"all",any_status,platform,appnexus,false,8100,500,8096600,1668000,--,Unknown,--
DO,Dominican Republic,3299,"Delivery Media, S.L.","all",any_status,platform,appnexus,false,7900,1400,3827100,444800,--,Unknown,--
DO,Dominican Republic,2767,Premio,"all",any_status,platform,appnexus,false,7300,400,13425800,1568700,--,Unknown,--
DO,Dominican Republic,1449,Adtegrity,"all",any_status,platform,appnexus,false,7000,2300,30828900,3626800,--,Unknown,--
DO,Dominican Republic,2564,24/7 Media France,"all",any_status,platform,appnexus,false,7000,1200,10662500,1376600,--,Unknown,--
DO,Dominican Republic,3265,BRATECH SA,"all",any_status,platform,appnexus,false,6800,3400,8702600,2447900,--,Unknown,--
DO,Dominican Republic,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,6600,800,19737800,1365600,--,Unknown,--
DO,Dominican Republic,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,6600,800,46631800,2549100,--,Unknown,--
DO,Dominican Republic,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,6200,1300,19222500,1853100,--,Unknown,--
DO,Dominican Republic,86,Photobucket,"all",any_status,external,appnexus,false,6200,700,10687900,596400,--,Unknown,--
DO,Dominican Republic,3208,Lyfe Media,"all",any_status,platform,appnexus,false,6200,700,3124700,202300,--,Unknown,--
DO,Dominican Republic,3264,Accvee Premium,"all",any_status,platform,appnexus,false,5900,1100,2386500,486600,--,Unknown,--
DO,Dominican Republic,2732,Matchflow Media,"all",any_status,platform,appnexus,false,5600,800,7335600,1014400,--,Unknown,--
DO,Dominican Republic,2854,The Blogger Network,"all",any_status,platform,appnexus,false,5600,800,8885000,1294800,--,Unknown,--
DO,Dominican Republic,3344,Programmatic Mechanics (Select),"all",any_status,platform,appnexus,false,5400,600,165800,23500,--,Unknown,--
DO,Dominican Republic,3492,StudyBreak Media,"all",any_status,platform,appnexus,false,5100,200,22300800,414400,--,Unknown,--
DO,Dominican Republic,2661,Meridian Tech Pte Ltd,"all",any_status,platform,appnexus,false,4800,800,578500,93600,--,Unknown,--
DO,Dominican Republic,1906,Velis Media,"all",any_status,platform,appnexus,false,4800,900,1743200,404400,--,Unknown,--
DO,Dominican Republic,1756,Adversal.com,"all",any_status,platform,appnexus,false,4700,2100,14173900,1426500,--,Unknown,--
DO,Dominican Republic,3458,SpinMedia Group,"all",any_status,platform,appnexus,false,4700,400,3647300,408900,--,Unknown,--
DO,Dominican Republic,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,4700,400,50498400,3809900,--,Unknown,--
DO,Dominican Republic,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,4500,3800,5027900,2395500,--,Unknown,--
DO,Dominican Republic,2688,Metric Science,"all",any_status,platform,appnexus,false,4100,400,9565700,2018900,--,Unknown,--
