geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
SV,El Salvador,181,Google AdExchange,"all",any_status,external,appnexus,false,19534200,782900,28233867400,959451500,--,Unknown,--
SV,El Salvador,357,OpenX,"all",any_status,external,appnexus,false,3059000,69900,5480947400,127566900,--,Unknown,--
SV,El Salvador,459,Rubicon,"all",any_status,external,appnexus,false,2454300,133500,5398288100,219468400,--,Unknown,--
SV,El Salvador,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1227200,65500,1206552000,52265100,--,Unknown,--
SV,El Salvador,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,823400,20100,2174215700,44278600,--,Unknown,--
SV,El Salvador,1130,Orange Advertising Americas,"all",any_status,platform,appnexus,false,567400,32200,9909700,1441700,--,Unknown,--
SV,El Salvador,2850,MobFox,"all",any_status,platform,appnexus,false,558100,40600,617754000,33916100,--,Unknown,--
SV,El Salvador,74,PubMatic,"all",any_status,external,appnexus,false,487900,29200,1408932400,73943500,--,Unknown,--
SV,El Salvador,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,420100,48500,1866171500,134504500,--,Unknown,--
SV,El Salvador,1475,Lifestreet,"all",any_status,platform,appnexus,false,232700,5600,242585900,5057200,--,Unknown,--
SV,El Salvador,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,197000,15200,66270000,5213700,--,Unknown,--
SV,El Salvador,3020,Mojiva II,"all",any_status,platform,appnexus,false,187600,13600,130720700,11697300,--,Unknown,--
SV,El Salvador,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,146000,6200,190575900,16112500,--,Unknown,--
SV,El Salvador,1356,bRealTime (select),"all",any_status,platform,appnexus,false,145500,16700,327708200,26451300,--,Unknown,--
SV,El Salvador,1360,Sovrn,"all",any_status,platform,appnexus,false,106400,8300,400642400,23323000,--,Unknown,--
SV,El Salvador,884,Hi-Media,"all",any_status,platform,appnexus,false,82300,15900,78818800,7489400,--,Unknown,--
SV,El Salvador,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,52900,9100,50860000,7782600,--,Unknown,--
SV,El Salvador,882,AN Talent,"all",any_status,platform,appnexus,false,50700,16500,50438600,13544900,--,Unknown,--
SV,El Salvador,3442,Ampliffy,"all",any_status,platform,appnexus,false,43200,2500,4220500,316000,--,Unknown,--
SV,El Salvador,2023,RedMas Argentina S.A.,"all",any_status,platform,appnexus,false,38500,4600,6463900,834200,--,Unknown,--
