geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
FJ,Fiji,181,Google AdExchange,"all",any_status,external,appnexus,false,2040000,69900,28233867400,959451500,--,Unknown,--
FJ,Fiji,357,OpenX,"all",any_status,external,appnexus,false,741100,11100,5480947400,127566900,--,Unknown,--
FJ,Fiji,459,Rubicon,"all",any_status,external,appnexus,false,283600,14900,5398288100,219468400,--,Unknown,--
FJ,Fiji,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,124600,5600,2174215700,44278600,--,Unknown,--
FJ,Fiji,74,PubMatic,"all",any_status,external,appnexus,false,82600,4800,1408932400,73943500,--,Unknown,--
FJ,Fiji,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,73400,12000,1866171500,134504500,--,Unknown,--
FJ,Fiji,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,37200,3500,341724700,17293700,--,Unknown,--
FJ,Fiji,1356,bRealTime (select),"all",any_status,platform,appnexus,false,32300,3600,327708200,26451300,--,Unknown,--
FJ,Fiji,2850,MobFox,"all",any_status,platform,appnexus,false,30700,4300,617754000,33916100,--,Unknown,--
FJ,Fiji,1360,Sovrn,"all",any_status,platform,appnexus,false,24600,2400,400642400,23323000,--,Unknown,--
FJ,Fiji,1475,Lifestreet,"all",any_status,platform,appnexus,false,24300,400,242585900,5057200,--,Unknown,--
FJ,Fiji,3287,"RTK.io (Phaedrus Media, LLC)","all",any_status,platform,appnexus,false,22100,100,4137900,236900,--,Unknown,--
FJ,Fiji,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,16300,800,190575900,16112500,--,Unknown,--
FJ,Fiji,541,CPXInteractive,"all",any_status,platform,appnexus,false,15600,1900,38468600,5292100,--,Unknown,--
FJ,Fiji,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,14900,1200,1206552000,52265100,--,Unknown,--
FJ,Fiji,1705,Ninemsn Pty Limited,"all",any_status,platform,appnexus,false,12000,700,16758500,1276400,--,Unknown,--
FJ,Fiji,2025,Fairfax Digital,"all",any_status,platform,appnexus,false,11900,1400,23964200,1700200,--,Unknown,--
FJ,Fiji,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,11800,900,166429900,7648600,--,Unknown,--
FJ,Fiji,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,11500,300,286290200,3534600,--,Unknown,--
FJ,Fiji,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,11400,900,35500900,5026100,--,Unknown,--
FJ,Fiji,1619,ReklamStore,"all",any_status,platform,appnexus,false,10600,2800,32005800,4616300,--,Unknown,--
FJ,Fiji,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,8700,700,103106400,11015600,--,Unknown,--
FJ,Fiji,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,8100,2500,60998700,8550900,--,Unknown,--
FJ,Fiji,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,6500,1600,27850600,5122800,--,Unknown,--
FJ,Fiji,86,Photobucket,"all",any_status,external,appnexus,false,6300,200,10687900,596400,--,Unknown,--
