geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
FI,Finland,181,Google AdExchange,"all",any_status,external,appnexus,false,66884200,2269600,28233867400,959451500,--,Unknown,--
FI,Finland,459,Rubicon,"all",any_status,external,appnexus,false,37853100,1884900,5398288100,219468400,--,Unknown,--
FI,Finland,1354,Improve Digital,"all",any_status,platform,appnexus,false,17667200,921700,617249300,18935700,--,Unknown,--
FI,Finland,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,11537100,869100,1866171500,134504500,--,Unknown,--
FI,Finland,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,7160600,73000,2174215700,44278600,--,Unknown,--
FI,Finland,74,PubMatic,"all",any_status,external,appnexus,false,5563400,168900,1408932400,73943500,--,Unknown,--
FI,Finland,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,4015900,185000,46631800,2549100,--,Unknown,--
FI,Finland,357,OpenX,"all",any_status,external,appnexus,false,3044300,77200,5480947400,127566900,--,Unknown,--
FI,Finland,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1392400,68600,1206552000,52265100,--,Unknown,--
FI,Finland,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,1250500,36700,271311100,17933900,--,Unknown,--
FI,Finland,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,1207100,42400,166429900,7648600,--,Unknown,--
FI,Finland,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1196700,78400,327708200,26451300,--,Unknown,--
FI,Finland,1360,Sovrn,"all",any_status,platform,appnexus,false,1093600,56500,400642400,23323000,--,Unknown,--
FI,Finland,2850,MobFox,"all",any_status,platform,appnexus,false,956000,59800,617754000,33916100,--,Unknown,--
FI,Finland,1548,Criteo,"all",any_status,external,appnexus,false,868200,77300,342165000,40879100,--,Unknown,--
FI,Finland,882,AN Talent,"all",any_status,platform,appnexus,false,612200,100600,50438600,13544900,--,Unknown,--
FI,Finland,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,434700,41000,50498400,3809900,--,Unknown,--
FI,Finland,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,428400,19000,190575900,16112500,--,Unknown,--
FI,Finland,1475,Lifestreet,"all",any_status,platform,appnexus,false,365900,10000,242585900,5057200,--,Unknown,--
FI,Finland,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,330700,6200,76563700,1162600,--,Unknown,--
FI,Finland,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,215300,11200,19737800,1365600,--,Unknown,--
FI,Finland,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,176100,18300,103106400,11015600,--,Unknown,--
FI,Finland,3428,DeviantArt Inc,"all",any_status,platform,appnexus,false,167700,4900,10120900,466800,--,Unknown,--
FI,Finland,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,150300,81600,2121409200,520131400,--,Unknown,--
FI,Finland,310,Technorati Media,"all",any_status,platform,appnexus,false,143800,21800,64536800,6342900,--,Unknown,--
FI,Finland,1908,District M,"all",any_status,platform,appnexus,false,143800,15400,85430500,9861500,--,Unknown,--
FI,Finland,3020,Mojiva II,"all",any_status,platform,appnexus,false,127100,6800,130720700,11697300,--,Unknown,--
FI,Finland,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,115200,21600,50860000,7782600,--,Unknown,--
FI,Finland,1613,Defy Media,"all",any_status,platform,appnexus,false,111700,8500,73239200,4465300,--,Unknown,--
FI,Finland,2721,Kiosked,"all",any_status,platform,appnexus,false,108000,15200,84569700,10245200,--,Unknown,--
FI,Finland,541,CPXInteractive,"all",any_status,platform,appnexus,false,98300,15900,38468600,5292100,--,Unknown,--
