geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
FR,France,181,Google AdExchange,"all",any_status,external,appnexus,false,596102400,26764200,28233867400,959451500,--,Unknown,--
FR,France,459,Rubicon,"all",any_status,external,appnexus,false,401480800,12686500,5398288100,219468400,--,Unknown,--
FR,France,1601,Orange Ad Market (France),"all",any_status,platform,appnexus,false,117286000,5125100,120590500,5347900,--,Unknown,--
FR,France,1608,Audience Square,"all",any_status,platform,appnexus,false,84120800,6871900,105327200,8530300,--,Unknown,--
FR,France,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,75512100,5368100,1866171500,134504500,--,Unknown,--
FR,France,357,OpenX,"all",any_status,external,appnexus,false,62316700,1927500,5480947400,127566900,--,Unknown,--
FR,France,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,48404900,906700,2174215700,44278600,--,Unknown,--
FR,France,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,39149500,1429000,1206552000,52265100,--,Unknown,--
FR,France,1548,Criteo,"all",any_status,external,appnexus,false,29579700,3488300,342165000,40879100,--,Unknown,--
FR,France,3500,ASQ Brand,"all",any_status,platform,appnexus,false,25026700,1498500,30855200,1884800,--,Unknown,--
FR,France,884,Hi-Media,"all",any_status,platform,appnexus,false,22032300,2113900,78818800,7489400,--,Unknown,--
FR,France,2850,MobFox,"all",any_status,platform,appnexus,false,21346400,689100,617754000,33916100,--,Unknown,--
FR,France,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,19462600,2171300,190575900,16112500,--,Unknown,--
FR,France,3098,WEBEDIA,"all",any_status,platform,appnexus,false,19064400,2099700,23991600,2742200,--,Unknown,--
FR,France,1354,Improve Digital,"all",any_status,platform,appnexus,false,18930500,1590300,617249300,18935700,--,Unknown,--
FR,France,3296,Leboncoin Schibsted France,"all",any_status,platform,appnexus,false,18267300,1382300,22350500,1529000,--,Unknown,--
FR,France,74,PubMatic,"all",any_status,external,appnexus,false,17554900,1242400,1408932400,73943500,--,Unknown,--
FR,France,1475,Lifestreet,"all",any_status,platform,appnexus,false,13641500,202300,242585900,5057200,--,Unknown,--
FR,France,2014,"Conversant, Inc","all",any_status,platform,appnexus,false,10618000,220200,240771800,9943500,--,Unknown,--
FR,France,2579,Quantum,"all",any_status,platform,appnexus,false,9789700,3043900,13214100,4152100,--,Unknown,--
FR,France,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,8274500,386100,271311100,17933900,--,Unknown,--
FR,France,3273,Figaromedias,"all",any_status,platform,appnexus,false,6683400,660400,8751600,818700,--,Unknown,--
FR,France,3282,EST Digital Ltd.,"all",any_status,platform,appnexus,false,5924900,14900,51037100,391400,--,Unknown,--
FR,France,882,AN Talent,"all",any_status,platform,appnexus,false,5865600,1389600,50438600,13544900,--,Unknown,--
FR,France,1356,bRealTime (select),"all",any_status,platform,appnexus,false,5576800,322700,327708200,26451300,--,Unknown,--
FR,France,2564,24/7 Media France,"all",any_status,platform,appnexus,false,5472300,538500,10662500,1376600,--,Unknown,--
FR,France,3057,Adverline SAS,"all",any_status,platform,appnexus,false,4034600,479100,5049300,558800,--,Unknown,--
FR,France,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,3500800,552600,50860000,7782600,--,Unknown,--
FR,France,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,3108800,33400,286290200,3534600,--,Unknown,--
FR,France,1882,TapTica LTD,"all",any_status,platform,appnexus,false,2711200,1112200,87218100,23348500,--,Unknown,--
FR,France,2775,Numbate (Mozoo),"all",any_status,platform,appnexus,false,2499900,1261900,3496400,1744800,--,Unknown,--
FR,France,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,2372500,111000,430811700,17143500,--,Unknown,--
FR,France,3051,Mobile Network Group - MNG (M-Brand3),"all",any_status,platform,appnexus,false,2338600,288900,2636000,329400,--,Unknown,--
FR,France,3204,Purch,"all",any_status,platform,appnexus,false,2337200,307100,33563400,4355800,--,Unknown,--
FR,France,1360,Sovrn,"all",any_status,platform,appnexus,false,2304600,137700,400642400,23323000,--,Unknown,--
FR,France,2914,Solocal Xchange,"all",any_status,platform,appnexus,false,2024000,454300,2109100,469100,--,Unknown,--
FR,France,1611,Headway Digital,"all",any_status,platform,appnexus,false,1905500,66500,14236300,1268000,--,Unknown,--
FR,France,1908,District M,"all",any_status,platform,appnexus,false,1885300,366200,85430500,9861500,--,Unknown,--
FR,France,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,1712500,457400,93859100,18219400,--,Unknown,--
FR,France,2437,Canadian Programmatic Marketplace,"all",any_status,platform,appnexus,false,1512200,214900,5539200,537800,--,Unknown,--
FR,France,1226,AOL Marketplace,"all",any_status,external,appnexus,false,1504500,106800,239525900,16680800,--,Unknown,--
FR,France,740,NetSeer Inc,"all",any_status,platform,appnexus,false,1448400,122100,7306400,1136500,--,Unknown,--
FR,France,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,1328900,69600,166429900,7648600,--,Unknown,--
FR,France,806,Venatus Media,"all",any_status,platform,appnexus,false,1253800,143500,5557600,602200,--,Unknown,--
FR,France,1585,Horyzon Media,"all",any_status,platform,appnexus,false,1244000,278100,1529400,354500,--,Unknown,--
FR,France,1583,Admeta AB,"all",any_status,platform,appnexus,false,1016800,44900,14256000,1033900,--,Unknown,--
FR,France,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,1010300,15500,75439200,1675200,--,Unknown,--
FR,France,1081,Sonobi,"all",any_status,platform,appnexus,false,994800,192900,41318500,4009000,--,Unknown,--
FR,France,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,938800,519300,2121409200,520131400,--,Unknown,--
FR,France,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,870100,26800,37441400,3708500,--,Unknown,--
FR,France,1449,Adtegrity,"all",any_status,platform,appnexus,false,834000,80000,30828900,3626800,--,Unknown,--
FR,France,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,793000,17800,76563700,1162600,--,Unknown,--
FR,France,956,Zodiak Active,"all",any_status,platform,appnexus,false,747300,70000,42149500,4493100,--,Unknown,--
FR,France,3020,Mojiva II,"all",any_status,platform,appnexus,false,738500,38400,130720700,11697300,--,Unknown,--
FR,France,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,735000,343600,15959100,5178000,--,Unknown,--
FR,France,1530,AdPrudence,"all",any_status,platform,appnexus,false,733500,389700,7290300,3996400,--,Unknown,--
FR,France,541,CPXInteractive,"all",any_status,platform,appnexus,false,692700,67300,38468600,5292100,--,Unknown,--
FR,France,718,TLV Media Online Ltd,"all",any_status,platform,appnexus,false,680400,44700,30389900,1033700,--,Unknown,--
FR,France,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,661800,107100,103106400,11015600,--,Unknown,--
FR,France,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,646500,68200,27850600,5122800,--,Unknown,--
FR,France,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,601200,67800,51953900,4345700,--,Unknown,--
FR,France,1507,Zynga,"all",any_status,platform,appnexus,false,590900,43600,5930500,1179400,--,Unknown,--
FR,France,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,574600,32700,67112200,3425500,--,Unknown,--
FR,France,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,526000,115500,21596300,4597200,--,Unknown,--
FR,France,3428,DeviantArt Inc,"all",any_status,platform,appnexus,false,499300,32400,10120900,466800,--,Unknown,--
FR,France,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,493800,41700,16374000,2597100,--,Unknown,--
FR,France,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,480700,129000,60998700,8550900,--,Unknown,--
FR,France,3366,AerServ LLC,"all",any_status,platform,appnexus,false,461200,16500,96664800,5504300,--,Unknown,--
FR,France,2721,Kiosked,"all",any_status,platform,appnexus,false,448400,59900,84569700,10245200,--,Unknown,--
FR,France,310,Technorati Media,"all",any_status,platform,appnexus,false,442400,61300,64536800,6342900,--,Unknown,--
FR,France,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,423600,25200,19737800,1365600,--,Unknown,--
FR,France,1613,Defy Media,"all",any_status,platform,appnexus,false,360800,35700,73239200,4465300,--,Unknown,--
FR,France,1749,W M Web Media,"all",any_status,platform,appnexus,false,351300,94500,16480000,3492000,--,Unknown,--
FR,France,3329,AdRaiden,"all",any_status,platform,appnexus,false,340500,57900,59013500,8240600,--,Unknown,--
FR,France,2760,Alveo,"all",any_status,platform,appnexus,false,289700,18300,9973000,477400,--,Unknown,--
FR,France,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,274700,159400,5027900,2395500,--,Unknown,--
FR,France,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,263400,21500,35500900,5026100,--,Unknown,--
FR,France,1906,Velis Media,"all",any_status,platform,appnexus,false,242800,50200,1743200,404400,--,Unknown,--
FR,France,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,235100,14300,46631800,2549100,--,Unknown,--
FR,France,1942,Floor6,"all",any_status,platform,appnexus,false,225200,29000,41027600,5864100,--,Unknown,--
FR,France,2252,One Advertising AG,"all",any_status,platform,appnexus,false,223200,15500,7386500,732100,--,Unknown,--
FR,France,2740,DataWrkz Premium,"all",any_status,platform,appnexus,false,216800,16000,12509900,1152200,--,Unknown,--
FR,France,2420,TailWind 3,"all",any_status,platform,appnexus,false,183600,17900,10261300,2274800,--,Unknown,--
FR,France,3265,BRATECH SA,"all",any_status,platform,appnexus,false,170000,39400,8702600,2447900,--,Unknown,--
FR,France,2449,MediaShakers - Select,"all",any_status,platform,appnexus,false,159400,44000,4063700,606100,--,Unknown,--
FR,France,818,MediaShakers,"all",any_status,platform,appnexus,false,157400,33500,9935200,1579700,--,Unknown,--
FR,France,2790,"Digimosaic, Inc.","all",any_status,platform,appnexus,false,156200,33900,1584600,472900,--,Unknown,--
FR,France,2804,Adshoard,"all",any_status,platform,appnexus,false,155100,12600,15208300,1517700,--,Unknown,--
FR,France,2251,Waypoint Media,"all",any_status,platform,appnexus,false,145700,6100,3297000,184900,--,Unknown,--
FR,France,1939,152 Media LLC,"all",any_status,platform,appnexus,false,145300,25400,10516600,1985700,--,Unknown,--
FR,France,3224,Playtem,"all",any_status,platform,appnexus,false,143600,24700,254000,63400,--,Unknown,--
FR,France,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,138900,43300,7319800,1991600,--,Unknown,--
FR,France,1619,ReklamStore,"all",any_status,platform,appnexus,false,132100,14000,32005800,4616300,--,Unknown,--
FR,France,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,131200,9800,68302300,5161300,--,Unknown,--
FR,France,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,122300,11300,19222500,1853100,--,Unknown,--
