geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
GR,Greece,181,Google AdExchange,"all",any_status,external,appnexus,false,139363200,3746800,28233867400,959451500,--,Unknown,--
GR,Greece,459,Rubicon,"all",any_status,external,appnexus,false,28589700,995000,5398288100,219468400,--,Unknown,--
GR,Greece,357,OpenX,"all",any_status,external,appnexus,false,27160200,686100,5480947400,127566900,--,Unknown,--
GR,Greece,74,PubMatic,"all",any_status,external,appnexus,false,7980700,118500,1408932400,73943500,--,Unknown,--
GR,Greece,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,6932900,696900,1866171500,134504500,--,Unknown,--
GR,Greece,2026,Tailwind 1,"all",any_status,platform,appnexus,false,4659400,380600,7959300,783700,--,Unknown,--
GR,Greece,1548,Criteo,"all",any_status,external,appnexus,false,3768300,277200,342165000,40879100,--,Unknown,--
GR,Greece,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,2897400,76400,1206552000,52265100,--,Unknown,--
GR,Greece,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,2696500,35600,2174215700,44278600,--,Unknown,--
GR,Greece,2725,Project Agora (Tailwind EMEA Ltd),"all",any_status,platform,appnexus,false,1509500,323200,5286600,1498600,--,Unknown,--
GR,Greece,1475,Lifestreet,"all",any_status,platform,appnexus,false,1356400,34600,242585900,5057200,--,Unknown,--
GR,Greece,2850,MobFox,"all",any_status,platform,appnexus,false,1266200,64500,617754000,33916100,--,Unknown,--
GR,Greece,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1051100,84300,327708200,26451300,--,Unknown,--
GR,Greece,1360,Sovrn,"all",any_status,platform,appnexus,false,746800,52400,400642400,23323000,--,Unknown,--
GR,Greece,1354,Improve Digital,"all",any_status,platform,appnexus,false,663600,13300,617249300,18935700,--,Unknown,--
GR,Greece,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,507700,24600,166429900,7648600,--,Unknown,--
GR,Greece,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,469600,6100,76563700,1162600,--,Unknown,--
GR,Greece,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,328500,15600,190575900,16112500,--,Unknown,--
GR,Greece,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,294800,42500,50860000,7782600,--,Unknown,--
GR,Greece,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,279700,38700,271311100,17933900,--,Unknown,--
GR,Greece,541,CPXInteractive,"all",any_status,platform,appnexus,false,251200,31300,38468600,5292100,--,Unknown,--
GR,Greece,310,Technorati Media,"all",any_status,platform,appnexus,false,167300,18900,64536800,6342900,--,Unknown,--
GR,Greece,1908,District M,"all",any_status,platform,appnexus,false,161600,15500,85430500,9861500,--,Unknown,--
GR,Greece,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,143500,11300,27850600,5122800,--,Unknown,--
GR,Greece,2721,Kiosked,"all",any_status,platform,appnexus,false,131600,15200,84569700,10245200,--,Unknown,--
GR,Greece,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,125000,74600,2121409200,520131400,--,Unknown,--
GR,Greece,3204,Purch,"all",any_status,platform,appnexus,false,116200,15300,33563400,4355800,--,Unknown,--
GR,Greece,3282,EST Digital Ltd.,"all",any_status,platform,appnexus,false,114200,2100,51037100,391400,--,Unknown,--
GR,Greece,1413,DTCN,"all",any_status,platform,appnexus,false,113900,1600,3607300,146200,--,Unknown,--
GR,Greece,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,110800,25200,60998700,8550900,--,Unknown,--
GR,Greece,3020,Mojiva II,"all",any_status,platform,appnexus,false,108100,7100,130720700,11697300,--,Unknown,--
GR,Greece,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,104400,12300,51953900,4345700,--,Unknown,--
GR,Greece,1942,Floor6,"all",any_status,platform,appnexus,false,81800,8200,41027600,5864100,--,Unknown,--
GR,Greece,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,77700,7000,19737800,1365600,--,Unknown,--
GR,Greece,956,Zodiak Active,"all",any_status,platform,appnexus,false,75600,4700,42149500,4493100,--,Unknown,--
GR,Greece,1613,Defy Media,"all",any_status,platform,appnexus,false,71800,5900,73239200,4465300,--,Unknown,--
GR,Greece,1081,Sonobi,"all",any_status,platform,appnexus,false,70000,13500,41318500,4009000,--,Unknown,--
GR,Greece,568,Httpool,"all",any_status,platform,appnexus,false,69000,24700,4528700,487200,--,Unknown,--
GR,Greece,86,Photobucket,"all",any_status,external,appnexus,false,68000,3000,10687900,596400,--,Unknown,--
GR,Greece,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,66600,8800,37441400,3708500,--,Unknown,--
GR,Greece,1608,Audience Square,"all",any_status,platform,appnexus,false,65600,4500,105327200,8530300,--,Unknown,--
GR,Greece,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,62800,3400,35500900,5026100,--,Unknown,--
GR,Greece,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,61500,11300,103106400,11015600,--,Unknown,--
GR,Greece,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,59900,5600,93859100,18219400,--,Unknown,--
GR,Greece,1357,bRealTime,"all",any_status,platform,appnexus,false,56700,6300,12048300,1469800,--,Unknown,--
GR,Greece,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,55000,3100,21596300,4597200,--,Unknown,--
GR,Greece,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,50900,1700,6341900,228700,--,Unknown,--
GR,Greece,2662,Aim4Media BV,"all",any_status,platform,appnexus,false,48700,3200,3003300,282300,--,Unknown,--
GR,Greece,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,46000,13700,18452300,6512900,--,Unknown,--
GR,Greece,1226,AOL Marketplace,"all",any_status,external,appnexus,false,45900,4000,239525900,16680800,--,Unknown,--
GR,Greece,2688,Metric Science,"all",any_status,platform,appnexus,false,44400,5700,9565700,2018900,--,Unknown,--
