geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
GT,Guatemala,181,Google AdExchange,"all",any_status,external,appnexus,false,28863300,1165500,28233867400,959451500,--,Unknown,--
GT,Guatemala,357,OpenX,"all",any_status,external,appnexus,false,4940900,103200,5480947400,127566900,--,Unknown,--
GT,Guatemala,459,Rubicon,"all",any_status,external,appnexus,false,4447200,228100,5398288100,219468400,--,Unknown,--
GT,Guatemala,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1829700,88900,1206552000,52265100,--,Unknown,--
GT,Guatemala,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,999500,27000,2174215700,44278600,--,Unknown,--
GT,Guatemala,74,PubMatic,"all",any_status,external,appnexus,false,793900,39700,1408932400,73943500,--,Unknown,--
GT,Guatemala,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,780300,82900,1866171500,134504500,--,Unknown,--
GT,Guatemala,2850,MobFox,"all",any_status,platform,appnexus,false,635300,48800,617754000,33916100,--,Unknown,--
GT,Guatemala,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,376300,29100,66270000,5213700,--,Unknown,--
GT,Guatemala,1356,bRealTime (select),"all",any_status,platform,appnexus,false,322300,22700,327708200,26451300,--,Unknown,--
GT,Guatemala,882,AN Talent,"all",any_status,platform,appnexus,false,216000,74200,50438600,13544900,--,Unknown,--
GT,Guatemala,1475,Lifestreet,"all",any_status,platform,appnexus,false,213800,5500,242585900,5057200,--,Unknown,--
GT,Guatemala,3020,Mojiva II,"all",any_status,platform,appnexus,false,209800,14100,130720700,11697300,--,Unknown,--
GT,Guatemala,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,186900,2100,76563700,1162600,--,Unknown,--
GT,Guatemala,1130,Orange Advertising Americas,"all",any_status,platform,appnexus,false,171700,19600,9909700,1441700,--,Unknown,--
GT,Guatemala,1360,Sovrn,"all",any_status,platform,appnexus,false,116500,8500,400642400,23323000,--,Unknown,--
GT,Guatemala,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,113900,19900,50860000,7782600,--,Unknown,--
GT,Guatemala,884,Hi-Media,"all",any_status,platform,appnexus,false,88900,20300,78818800,7489400,--,Unknown,--
GT,Guatemala,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,78100,2600,93859100,18219400,--,Unknown,--
GT,Guatemala,2023,RedMas Argentina S.A.,"all",any_status,platform,appnexus,false,58700,8000,6463900,834200,--,Unknown,--
GT,Guatemala,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,56300,4300,190575900,16112500,--,Unknown,--
GT,Guatemala,1548,Criteo,"all",any_status,external,appnexus,false,55600,12800,342165000,40879100,--,Unknown,--
GT,Guatemala,1354,Improve Digital,"all",any_status,platform,appnexus,false,54100,4900,617249300,18935700,--,Unknown,--
GT,Guatemala,541,CPXInteractive,"all",any_status,platform,appnexus,false,50500,6700,38468600,5292100,--,Unknown,--
GT,Guatemala,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,40300,200,341724700,17293700,--,Unknown,--
GT,Guatemala,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,34700,5000,27850600,5122800,--,Unknown,--
GT,Guatemala,928,Suite66,"all",any_status,platform,appnexus,false,29400,1700,4874500,704400,--,Unknown,--
GT,Guatemala,1908,District M,"all",any_status,platform,appnexus,false,28900,3300,85430500,9861500,--,Unknown,--
GT,Guatemala,2721,Kiosked,"all",any_status,platform,appnexus,false,23500,3200,84569700,10245200,--,Unknown,--
GT,Guatemala,3204,Purch,"all",any_status,platform,appnexus,false,23500,2100,33563400,4355800,--,Unknown,--
GT,Guatemala,956,Zodiak Active,"all",any_status,platform,appnexus,false,22500,4900,42149500,4493100,--,Unknown,--
GT,Guatemala,1558,Intermarkets Inc.,"all",any_status,platform,appnexus,false,21400,300,26716100,1171300,--,Unknown,--
GT,Guatemala,3153,152 Media Select,"all",any_status,platform,appnexus,false,20600,200,2747300,124000,--,Unknown,--
GT,Guatemala,310,Technorati Media,"all",any_status,platform,appnexus,false,19200,2500,64536800,6342900,--,Unknown,--
GT,Guatemala,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,17600,300,286290200,3534600,--,Unknown,--
GT,Guatemala,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,17400,600,6341900,228700,--,Unknown,--
GT,Guatemala,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,15600,11700,2121409200,520131400,--,Unknown,--
