geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
HT,Haiti,181,Google AdExchange,"all",any_status,external,appnexus,false,4648500,209200,28233867400,959451500,--,Unknown,--
HT,Haiti,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,498800,7400,2174215700,44278600,--,Unknown,--
HT,Haiti,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,448900,19400,1206552000,52265100,--,Unknown,--
HT,Haiti,459,Rubicon,"all",any_status,external,appnexus,false,393200,23700,5398288100,219468400,--,Unknown,--
HT,Haiti,357,OpenX,"all",any_status,external,appnexus,false,371600,7000,5480947400,127566900,--,Unknown,--
HT,Haiti,2850,MobFox,"all",any_status,platform,appnexus,false,194800,11400,617754000,33916100,--,Unknown,--
HT,Haiti,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,133000,18500,1866171500,134504500,--,Unknown,--
HT,Haiti,74,PubMatic,"all",any_status,external,appnexus,false,87600,4200,1408932400,73943500,--,Unknown,--
HT,Haiti,1608,Audience Square,"all",any_status,platform,appnexus,false,76200,7500,105327200,8530300,--,Unknown,--
HT,Haiti,3020,Mojiva II,"all",any_status,platform,appnexus,false,60100,6800,130720700,11697300,--,Unknown,--
HT,Haiti,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,36600,2300,190575900,16112500,--,Unknown,--
HT,Haiti,1356,bRealTime (select),"all",any_status,platform,appnexus,false,34300,3600,327708200,26451300,--,Unknown,--
HT,Haiti,1475,Lifestreet,"all",any_status,platform,appnexus,false,25200,500,242585900,5057200,--,Unknown,--
HT,Haiti,3153,152 Media Select,"all",any_status,platform,appnexus,false,23500,300,2747300,124000,--,Unknown,--
HT,Haiti,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,18400,1000,430811700,17143500,--,Unknown,--
HT,Haiti,3098,WEBEDIA,"all",any_status,platform,appnexus,false,15100,1700,23991600,2742200,--,Unknown,--
HT,Haiti,3500,ASQ Brand,"all",any_status,platform,appnexus,false,13400,2000,30855200,1884800,--,Unknown,--
HT,Haiti,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,13300,2300,50860000,7782600,--,Unknown,--
HT,Haiti,3450,Northern & Shell,"all",any_status,platform,appnexus,false,13300,200,2119900,290900,--,Unknown,--
HT,Haiti,3273,Figaromedias,"all",any_status,platform,appnexus,false,11900,700,8751600,818700,--,Unknown,--
HT,Haiti,1548,Criteo,"all",any_status,external,appnexus,false,11500,1700,342165000,40879100,--,Unknown,--
HT,Haiti,2219,Intag DW LLC,"all",any_status,platform,appnexus,false,10100,1800,739500,87800,--,Unknown,--
HT,Haiti,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,9500,200,37441400,3708500,--,Unknown,--
HT,Haiti,1360,Sovrn,"all",any_status,platform,appnexus,false,9200,900,400642400,23323000,--,Unknown,--
HT,Haiti,1908,District M,"all",any_status,platform,appnexus,false,9100,2700,85430500,9861500,--,Unknown,--
HT,Haiti,1354,Improve Digital,"all",any_status,platform,appnexus,false,9100,300,617249300,18935700,--,Unknown,--
HT,Haiti,3204,Purch,"all",any_status,platform,appnexus,false,8800,1200,33563400,4355800,--,Unknown,--
HT,Haiti,1226,AOL Marketplace,"all",any_status,external,appnexus,false,7500,800,239525900,16680800,--,Unknown,--
HT,Haiti,1130,Orange Advertising Americas,"all",any_status,platform,appnexus,false,7100,800,9909700,1441700,--,Unknown,--
HT,Haiti,882,AN Talent,"all",any_status,platform,appnexus,false,6700,2200,50438600,13544900,--,Unknown,--
HT,Haiti,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,6500,400,166429900,7648600,--,Unknown,--
HT,Haiti,884,Hi-Media,"all",any_status,platform,appnexus,false,6200,1400,78818800,7489400,--,Unknown,--
HT,Haiti,541,CPXInteractive,"all",any_status,platform,appnexus,false,5500,800,38468600,5292100,--,Unknown,--
HT,Haiti,2568,Engage:BDR,"all",any_status,platform,appnexus,false,4900,200,13185900,896900,--,Unknown,--
HT,Haiti,2579,Quantum,"all",any_status,platform,appnexus,false,4000,2000,13214100,4152100,--,Unknown,--
HT,Haiti,2721,Kiosked,"all",any_status,platform,appnexus,false,3800,700,84569700,10245200,--,Unknown,--
HT,Haiti,86,Photobucket,"all",any_status,external,appnexus,false,3700,200,10687900,596400,--,Unknown,--
HT,Haiti,928,Suite66,"all",any_status,platform,appnexus,false,3300,700,4874500,704400,--,Unknown,--
HT,Haiti,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,3000,800,16374000,2597100,--,Unknown,--
HT,Haiti,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,2900,900,60998700,8550900,--,Unknown,--
HT,Haiti,3296,Leboncoin Schibsted France,"all",any_status,platform,appnexus,false,2800,200,22350500,1529000,--,Unknown,--
HT,Haiti,1601,Orange Ad Market (France),"all",any_status,platform,appnexus,false,2800,500,120590500,5347900,--,Unknown,--
HT,Haiti,2804,Adshoard,"all",any_status,platform,appnexus,false,2600,100,15208300,1517700,--,Unknown,--
HT,Haiti,3358,"7Hops.com, Inc","all",any_status,platform,appnexus,false,2600,200,6022900,193200,--,Unknown,--
HT,Haiti,3192,RTB Media,"all",any_status,platform,appnexus,false,2400,800,9047300,2346100,--,Unknown,--
HT,Haiti,310,Technorati Media,"all",any_status,platform,appnexus,false,2400,600,64536800,6342900,--,Unknown,--
HT,Haiti,1939,152 Media LLC,"all",any_status,platform,appnexus,false,2200,600,10516600,1985700,--,Unknown,--
HT,Haiti,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,2100,300,27850600,5122800,--,Unknown,--
HT,Haiti,1882,TapTica LTD,"all",any_status,platform,appnexus,false,1900,400,87218100,23348500,--,Unknown,--
HT,Haiti,1942,Floor6,"all",any_status,platform,appnexus,false,1800,500,41027600,5864100,--,Unknown,--
HT,Haiti,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,1800,200,15959100,5178000,--,Unknown,--
HT,Haiti,2775,Numbate (Mozoo),"all",any_status,platform,appnexus,false,1800,1100,3496400,1744800,--,Unknown,--
