geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
HN,Honduras,181,Google AdExchange,"all",any_status,external,appnexus,false,19794800,748800,28233867400,959451500,--,Unknown,--
HN,Honduras,459,Rubicon,"all",any_status,external,appnexus,false,3944100,197500,5398288100,219468400,--,Unknown,--
HN,Honduras,357,OpenX,"all",any_status,external,appnexus,false,3562900,85700,5480947400,127566900,--,Unknown,--
HN,Honduras,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1968000,73800,1206552000,52265100,--,Unknown,--
HN,Honduras,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,1023900,30800,2174215700,44278600,--,Unknown,--
HN,Honduras,2850,MobFox,"all",any_status,platform,appnexus,false,567300,48900,617754000,33916100,--,Unknown,--
HN,Honduras,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,343600,41200,1866171500,134504500,--,Unknown,--
HN,Honduras,74,PubMatic,"all",any_status,external,appnexus,false,308800,21700,1408932400,73943500,--,Unknown,--
HN,Honduras,1130,Orange Advertising Americas,"all",any_status,platform,appnexus,false,271300,19000,9909700,1441700,--,Unknown,--
HN,Honduras,882,AN Talent,"all",any_status,platform,appnexus,false,258800,33900,50438600,13544900,--,Unknown,--
HN,Honduras,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,218900,17500,66270000,5213700,--,Unknown,--
HN,Honduras,1475,Lifestreet,"all",any_status,platform,appnexus,false,171400,4100,242585900,5057200,--,Unknown,--
HN,Honduras,3020,Mojiva II,"all",any_status,platform,appnexus,false,140600,9600,130720700,11697300,--,Unknown,--
HN,Honduras,1356,bRealTime (select),"all",any_status,platform,appnexus,false,94700,13900,327708200,26451300,--,Unknown,--
HN,Honduras,1360,Sovrn,"all",any_status,platform,appnexus,false,84600,5600,400642400,23323000,--,Unknown,--
HN,Honduras,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,82900,3400,190575900,16112500,--,Unknown,--
HN,Honduras,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,64500,1300,76563700,1162600,--,Unknown,--
HN,Honduras,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,50500,8700,50860000,7782600,--,Unknown,--
HN,Honduras,884,Hi-Media,"all",any_status,platform,appnexus,false,48500,9000,78818800,7489400,--,Unknown,--
HN,Honduras,1548,Criteo,"all",any_status,external,appnexus,false,47700,10200,342165000,40879100,--,Unknown,--
HN,Honduras,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,43900,900,93859100,18219400,--,Unknown,--
HN,Honduras,928,Suite66,"all",any_status,platform,appnexus,false,37600,2100,4874500,704400,--,Unknown,--
HN,Honduras,541,CPXInteractive,"all",any_status,platform,appnexus,false,34500,5800,38468600,5292100,--,Unknown,--
HN,Honduras,1354,Improve Digital,"all",any_status,platform,appnexus,false,28500,2200,617249300,18935700,--,Unknown,--
HN,Honduras,2023,RedMas Argentina S.A.,"all",any_status,platform,appnexus,false,27600,4300,6463900,834200,--,Unknown,--
HN,Honduras,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,20600,1000,166429900,7648600,--,Unknown,--
HN,Honduras,3449,"Curiosity Media, Inc.","all",any_status,platform,appnexus,false,18600,400,8293600,244900,--,Unknown,--
HN,Honduras,956,Zodiak Active,"all",any_status,platform,appnexus,false,16300,3100,42149500,4493100,--,Unknown,--
HN,Honduras,1226,AOL Marketplace,"all",any_status,external,appnexus,false,15900,1000,239525900,16680800,--,Unknown,--
HN,Honduras,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,15300,100,75439200,1675200,--,Unknown,--
HN,Honduras,1756,Adversal.com,"all",any_status,platform,appnexus,false,15200,5200,14173900,1426500,--,Unknown,--
HN,Honduras,2967,orbyd GmbH,"all",any_status,platform,appnexus,false,14600,100,1517000,208900,--,Unknown,--
HN,Honduras,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,14400,2000,27850600,5122800,--,Unknown,--
