geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
HK,Hong Kong,181,Google AdExchange,"all",any_status,external,appnexus,false,174857000,4881000,28233867400,959451500,--,Unknown,--
HK,Hong Kong,459,Rubicon,"all",any_status,external,appnexus,false,21376600,704600,5398288100,219468400,--,Unknown,--
HK,Hong Kong,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,13994800,168300,2174215700,44278600,--,Unknown,--
HK,Hong Kong,357,OpenX,"all",any_status,external,appnexus,false,9486800,298800,5480947400,127566900,--,Unknown,--
HK,Hong Kong,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,7739900,227100,1206552000,52265100,--,Unknown,--
HK,Hong Kong,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,6918600,602600,1866171500,134504500,--,Unknown,--
HK,Hong Kong,74,PubMatic,"all",any_status,external,appnexus,false,3444700,147400,1408932400,73943500,--,Unknown,--
HK,Hong Kong,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,2795400,1208700,2121409200,520131400,--,Unknown,--
HK,Hong Kong,1882,TapTica LTD,"all",any_status,platform,appnexus,false,2528000,248800,87218100,23348500,--,Unknown,--
HK,Hong Kong,2850,MobFox,"all",any_status,platform,appnexus,false,1854500,60000,617754000,33916100,--,Unknown,--
HK,Hong Kong,2721,Kiosked,"all",any_status,platform,appnexus,false,1185900,222100,84569700,10245200,--,Unknown,--
HK,Hong Kong,568,Httpool,"all",any_status,platform,appnexus,false,910500,114300,4528700,487200,--,Unknown,--
HK,Hong Kong,406,CPM Only,"all",any_status,platform,appnexus,false,889700,25000,22587800,1241100,--,Unknown,--
HK,Hong Kong,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,664900,23400,190575900,16112500,--,Unknown,--
HK,Hong Kong,1360,Sovrn,"all",any_status,platform,appnexus,false,636200,42200,400642400,23323000,--,Unknown,--
HK,Hong Kong,1356,bRealTime (select),"all",any_status,platform,appnexus,false,610600,50400,327708200,26451300,--,Unknown,--
HK,Hong Kong,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,503300,99800,35500900,5026100,--,Unknown,--
HK,Hong Kong,1475,Lifestreet,"all",any_status,platform,appnexus,false,498700,8300,242585900,5057200,--,Unknown,--
HK,Hong Kong,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,473300,46000,341724700,17293700,--,Unknown,--
HK,Hong Kong,3083,Orbits Digital LLP,"all",any_status,platform,appnexus,false,352700,6100,1875200,314600,--,Unknown,--
HK,Hong Kong,1908,District M,"all",any_status,platform,appnexus,false,320800,21700,85430500,9861500,--,Unknown,--
HK,Hong Kong,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,260600,10300,103106400,11015600,--,Unknown,--
HK,Hong Kong,310,Technorati Media,"all",any_status,platform,appnexus,false,246600,17000,64536800,6342900,--,Unknown,--
HK,Hong Kong,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,218400,78200,93859100,18219400,--,Unknown,--
HK,Hong Kong,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,212700,14900,166429900,7648600,--,Unknown,--
