geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
ID,Indonesia,181,Google AdExchange,"all",any_status,external,appnexus,false,830468700,24402200,28233867400,959451500,--,Unknown,--
ID,Indonesia,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,64627300,1894700,2174215700,44278600,--,Unknown,--
ID,Indonesia,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,36769800,4052200,1206552000,52265100,--,Unknown,--
ID,Indonesia,459,Rubicon,"all",any_status,external,appnexus,false,32455900,3603800,5398288100,219468400,--,Unknown,--
ID,Indonesia,357,OpenX,"all",any_status,external,appnexus,false,31327200,1583700,5480947400,127566900,--,Unknown,--
ID,Indonesia,2850,MobFox,"all",any_status,platform,appnexus,false,13317400,729300,617754000,33916100,--,Unknown,--
ID,Indonesia,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,9000400,962400,1866171500,134504500,--,Unknown,--
ID,Indonesia,2721,Kiosked,"all",any_status,platform,appnexus,false,7783200,1111400,84569700,10245200,--,Unknown,--
ID,Indonesia,1356,bRealTime (select),"all",any_status,platform,appnexus,false,6800900,1207400,327708200,26451300,--,Unknown,--
ID,Indonesia,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,6395700,1168300,35500900,5026100,--,Unknown,--
ID,Indonesia,74,PubMatic,"all",any_status,external,appnexus,false,6185600,721100,1408932400,73943500,--,Unknown,--
ID,Indonesia,1475,Lifestreet,"all",any_status,platform,appnexus,false,5927800,129700,242585900,5057200,--,Unknown,--
ID,Indonesia,3020,Mojiva II,"all",any_status,platform,appnexus,false,3936700,289300,130720700,11697300,--,Unknown,--
ID,Indonesia,2014,"Conversant, Inc","all",any_status,platform,appnexus,false,2200400,65300,240771800,9943500,--,Unknown,--
ID,Indonesia,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,2053400,21600,75439200,1675200,--,Unknown,--
ID,Indonesia,1360,Sovrn,"all",any_status,platform,appnexus,false,2027000,122900,400642400,23323000,--,Unknown,--
ID,Indonesia,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,2003600,182700,93859100,18219400,--,Unknown,--
ID,Indonesia,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,1676600,22300,76563700,1162600,--,Unknown,--
ID,Indonesia,3366,AerServ LLC,"all",any_status,platform,appnexus,false,1652900,174600,96664800,5504300,--,Unknown,--
ID,Indonesia,1882,TapTica LTD,"all",any_status,platform,appnexus,false,1606200,717500,87218100,23348500,--,Unknown,--
ID,Indonesia,882,AN Talent,"all",any_status,platform,appnexus,false,1178200,273700,50438600,13544900,--,Unknown,--
ID,Indonesia,1611,Headway Digital,"all",any_status,platform,appnexus,false,1002500,64600,14236300,1268000,--,Unknown,--
ID,Indonesia,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,963100,46900,190575900,16112500,--,Unknown,--
ID,Indonesia,1756,Adversal.com,"all",any_status,platform,appnexus,false,927400,194100,14173900,1426500,--,Unknown,--
ID,Indonesia,1357,bRealTime,"all",any_status,platform,appnexus,false,910800,154500,12048300,1469800,--,Unknown,--
ID,Indonesia,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,541000,99200,27850600,5122800,--,Unknown,--
ID,Indonesia,541,CPXInteractive,"all",any_status,platform,appnexus,false,531900,85400,38468600,5292100,--,Unknown,--
