geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
IE,Ireland,181,Google AdExchange,"all",any_status,external,appnexus,false,76907600,2650800,28233867400,959451500,--,Unknown,--
IE,Ireland,459,Rubicon,"all",any_status,external,appnexus,false,16650700,842400,5398288100,219468400,--,Unknown,--
IE,Ireland,357,OpenX,"all",any_status,external,appnexus,false,16275700,397500,5480947400,127566900,--,Unknown,--
IE,Ireland,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,10381000,143400,2174215700,44278600,--,Unknown,--
IE,Ireland,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,7238000,490000,1866171500,134504500,--,Unknown,--
IE,Ireland,2850,MobFox,"all",any_status,platform,appnexus,false,3868800,126200,617754000,33916100,--,Unknown,--
IE,Ireland,74,PubMatic,"all",any_status,external,appnexus,false,3242600,207600,1408932400,73943500,--,Unknown,--
IE,Ireland,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,2266400,28600,286290200,3534600,--,Unknown,--
IE,Ireland,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1739100,122900,327708200,26451300,--,Unknown,--
IE,Ireland,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,1670700,81500,271311100,17933900,--,Unknown,--
IE,Ireland,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,1436400,76500,166429900,7648600,--,Unknown,--
IE,Ireland,1360,Sovrn,"all",any_status,platform,appnexus,false,1261000,79900,400642400,23323000,--,Unknown,--
IE,Ireland,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,968900,67800,190575900,16112500,--,Unknown,--
IE,Ireland,1548,Criteo,"all",any_status,external,appnexus,false,847500,105300,342165000,40879100,--,Unknown,--
IE,Ireland,1354,Improve Digital,"all",any_status,platform,appnexus,false,687400,33700,617249300,18935700,--,Unknown,--
IE,Ireland,455,Digitize,"all",any_status,platform,appnexus,true,543800,76400,554100,78900,--,Unknown,--
IE,Ireland,1475,Lifestreet,"all",any_status,platform,appnexus,false,421100,7400,242585900,5057200,--,Unknown,--
IE,Ireland,1226,AOL Marketplace,"all",any_status,external,appnexus,false,386000,18400,239525900,16680800,--,Unknown,--
IE,Ireland,1908,District M,"all",any_status,platform,appnexus,false,250700,32100,85430500,9861500,--,Unknown,--
IE,Ireland,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,237100,53600,60998700,8550900,--,Unknown,--
IE,Ireland,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,222900,3800,76563700,1162600,--,Unknown,--
IE,Ireland,882,AN Talent,"all",any_status,platform,appnexus,false,185500,50500,50438600,13544900,--,Unknown,--
IE,Ireland,1608,Audience Square,"all",any_status,platform,appnexus,false,180100,7300,105327200,8530300,--,Unknown,--
IE,Ireland,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,173700,21300,103106400,11015600,--,Unknown,--
IE,Ireland,1613,Defy Media,"all",any_status,platform,appnexus,false,172400,8700,73239200,4465300,--,Unknown,--
IE,Ireland,2721,Kiosked,"all",any_status,platform,appnexus,false,167600,24800,84569700,10245200,--,Unknown,--
IE,Ireland,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,165600,8600,19737800,1365600,--,Unknown,--
IE,Ireland,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,154800,96500,2121409200,520131400,--,Unknown,--
IE,Ireland,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,154700,28200,46631800,2549100,--,Unknown,--
IE,Ireland,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,149600,19000,51953900,4345700,--,Unknown,--
IE,Ireland,2670,AD2ONE LTD,"all",any_status,platform,appnexus,false,149400,69700,4430900,730200,--,Unknown,--
IE,Ireland,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,144500,23400,50860000,7782600,--,Unknown,--
IE,Ireland,310,Technorati Media,"all",any_status,platform,appnexus,false,144300,24800,64536800,6342900,--,Unknown,--
IE,Ireland,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,137300,6800,67112200,3425500,--,Unknown,--
IE,Ireland,1942,Floor6,"all",any_status,platform,appnexus,false,129800,20800,41027600,5864100,--,Unknown,--
IE,Ireland,2962,Auto Trader Limited,"all",any_status,platform,appnexus,false,123200,3500,7914300,319800,--,Unknown,--
IE,Ireland,541,CPXInteractive,"all",any_status,platform,appnexus,false,122700,20100,38468600,5292100,--,Unknown,--
IE,Ireland,3204,Purch,"all",any_status,platform,appnexus,false,116700,17500,33563400,4355800,--,Unknown,--
IE,Ireland,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,111700,3000,35500900,5026100,--,Unknown,--
IE,Ireland,1357,bRealTime,"all",any_status,platform,appnexus,false,109000,8600,12048300,1469800,--,Unknown,--
IE,Ireland,2688,Metric Science,"all",any_status,platform,appnexus,false,104100,27300,9565700,2018900,--,Unknown,--
IE,Ireland,3450,Northern & Shell,"all",any_status,platform,appnexus,false,93300,9200,2119900,290900,--,Unknown,--
IE,Ireland,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,90800,37000,18452300,6512900,--,Unknown,--
IE,Ireland,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,82700,1300,8000000,1228100,--,Unknown,--
IE,Ireland,3329,AdRaiden,"all",any_status,platform,appnexus,false,78200,11100,59013500,8240600,--,Unknown,--
IE,Ireland,1019,OnScroll Limited,"all",any_status,platform,appnexus,false,75600,6500,6251600,665800,--,Unknown,--
IE,Ireland,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,71300,12000,37441400,3708500,--,Unknown,--
IE,Ireland,3296,Leboncoin Schibsted France,"all",any_status,platform,appnexus,false,67300,2300,22350500,1529000,--,Unknown,--
IE,Ireland,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,65200,6400,27850600,5122800,--,Unknown,--
IE,Ireland,3428,DeviantArt Inc,"all",any_status,platform,appnexus,false,53200,2500,10120900,466800,--,Unknown,--
IE,Ireland,3020,Mojiva II,"all",any_status,platform,appnexus,false,51500,3500,130720700,11697300,--,Unknown,--
IE,Ireland,1081,Sonobi,"all",any_status,platform,appnexus,false,51300,9600,41318500,4009000,--,Unknown,--
IE,Ireland,1413,DTCN,"all",any_status,platform,appnexus,false,46000,900,3607300,146200,--,Unknown,--
IE,Ireland,2662,Aim4Media BV,"all",any_status,platform,appnexus,false,45400,1600,3003300,282300,--,Unknown,--
IE,Ireland,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,42700,4000,93859100,18219400,--,Unknown,--
IE,Ireland,884,Hi-Media,"all",any_status,platform,appnexus,false,37600,4100,78818800,7489400,--,Unknown,--
IE,Ireland,1882,TapTica LTD,"all",any_status,platform,appnexus,false,36300,3800,87218100,23348500,--,Unknown,--
IE,Ireland,3449,"Curiosity Media, Inc.","all",any_status,platform,appnexus,false,36200,900,8293600,244900,--,Unknown,--
IE,Ireland,718,TLV Media Online Ltd,"all",any_status,platform,appnexus,false,34900,1100,30389900,1033700,--,Unknown,--
IE,Ireland,3508,Proper Media LLC,"all",any_status,platform,appnexus,false,34400,1000,6143900,144300,--,Unknown,--
IE,Ireland,956,Zodiak Active,"all",any_status,platform,appnexus,false,33000,6000,42149500,4493100,--,Unknown,--
IE,Ireland,1792,Gourmet Ads Pty Limited,"all",any_status,platform,appnexus,false,32700,7900,8224700,1803300,--,Unknown,--
IE,Ireland,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,30100,14700,11679100,3946900,--,Unknown,--
