geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
IT,Italy,181,Google AdExchange,"all",any_status,external,appnexus,false,604809000,25453900,28233867400,959451500,--,Unknown,--
IT,Italy,459,Rubicon,"all",any_status,external,appnexus,false,285858700,9804800,5398288100,219468400,--,Unknown,--
IT,Italy,357,OpenX,"all",any_status,external,appnexus,false,60807200,2915200,5480947400,127566900,--,Unknown,--
IT,Italy,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,56636700,4603200,1866171500,134504500,--,Unknown,--
IT,Italy,74,PubMatic,"all",any_status,external,appnexus,false,47252400,3084000,1408932400,73943500,--,Unknown,--
IT,Italy,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,45587900,782800,2174215700,44278600,--,Unknown,--
IT,Italy,956,Zodiak Active,"all",any_status,platform,appnexus,false,29090800,2720600,42149500,4493100,--,Unknown,--
IT,Italy,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,26145100,2100500,190575900,16112500,--,Unknown,--
IT,Italy,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,21780900,884400,1206552000,52265100,--,Unknown,--
IT,Italy,2850,MobFox,"all",any_status,platform,appnexus,false,21108400,1098800,617754000,33916100,--,Unknown,--
IT,Italy,1548,Criteo,"all",any_status,external,appnexus,false,19638200,2624700,342165000,40879100,--,Unknown,--
IT,Italy,1354,Improve Digital,"all",any_status,platform,appnexus,false,16076800,1418400,617249300,18935700,--,Unknown,--
IT,Italy,2767,Premio,"all",any_status,platform,appnexus,false,12493000,1493500,13425800,1568700,--,Unknown,--
IT,Italy,996,WebAds IT,"all",any_status,platform,appnexus,false,10536700,442000,11291200,463000,--,Unknown,--
IT,Italy,884,Hi-Media,"all",any_status,platform,appnexus,false,9238700,1057000,78818800,7489400,--,Unknown,--
IT,Italy,1475,Lifestreet,"all",any_status,platform,appnexus,false,6735500,132000,242585900,5057200,--,Unknown,--
IT,Italy,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,4314100,726400,46631800,2549100,--,Unknown,--
IT,Italy,1356,bRealTime (select),"all",any_status,platform,appnexus,false,3932100,391900,327708200,26451300,--,Unknown,--
IT,Italy,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,3714500,602700,50860000,7782600,--,Unknown,--
IT,Italy,882,AN Talent,"all",any_status,platform,appnexus,false,3349500,833200,50438600,13544900,--,Unknown,--
IT,Italy,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,3105900,57700,76563700,1162600,--,Unknown,--
IT,Italy,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,2620600,126000,166429900,7648600,--,Unknown,--
IT,Italy,1882,TapTica LTD,"all",any_status,platform,appnexus,false,2569800,473300,87218100,23348500,--,Unknown,--
IT,Italy,1583,Admeta AB,"all",any_status,platform,appnexus,false,2396300,65800,14256000,1033900,--,Unknown,--
IT,Italy,2564,24/7 Media France,"all",any_status,platform,appnexus,false,2312100,420700,10662500,1376600,--,Unknown,--
IT,Italy,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,2154900,28600,286290200,3534600,--,Unknown,--
IT,Italy,1360,Sovrn,"all",any_status,platform,appnexus,false,1531300,107100,400642400,23323000,--,Unknown,--
IT,Italy,3020,Mojiva II,"all",any_status,platform,appnexus,false,1419500,73000,130720700,11697300,--,Unknown,--
IT,Italy,541,CPXInteractive,"all",any_status,platform,appnexus,false,1081300,103600,38468600,5292100,--,Unknown,--
IT,Italy,2579,Quantum,"all",any_status,platform,appnexus,false,995900,411300,13214100,4152100,--,Unknown,--
IT,Italy,718,TLV Media Online Ltd,"all",any_status,platform,appnexus,false,977700,65200,30389900,1033700,--,Unknown,--
IT,Italy,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,756900,83800,67112200,3425500,--,Unknown,--
IT,Italy,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,699500,136700,93859100,18219400,--,Unknown,--
IT,Italy,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,661100,17300,6341900,228700,--,Unknown,--
IT,Italy,1226,AOL Marketplace,"all",any_status,external,appnexus,false,635700,27900,239525900,16680800,--,Unknown,--
IT,Italy,2662,Aim4Media BV,"all",any_status,platform,appnexus,false,589400,20100,3003300,282300,--,Unknown,--
IT,Italy,1507,Zynga,"all",any_status,platform,appnexus,false,547300,39800,5930500,1179400,--,Unknown,--
IT,Italy,1081,Sonobi,"all",any_status,platform,appnexus,false,528300,104500,41318500,4009000,--,Unknown,--
IT,Italy,3255,Olihargon LLC,"all",any_status,platform,appnexus,false,454500,50700,472300,53100,--,Unknown,--
IT,Italy,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,432600,64700,103106400,11015600,--,Unknown,--
IT,Italy,1908,District M,"all",any_status,platform,appnexus,false,403000,34100,85430500,9861500,--,Unknown,--
IT,Italy,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,373000,59200,27850600,5122800,--,Unknown,--
IT,Italy,2740,DataWrkz Premium,"all",any_status,platform,appnexus,false,366000,45600,12509900,1152200,--,Unknown,--
IT,Italy,3282,EST Digital Ltd.,"all",any_status,platform,appnexus,false,354300,8900,51037100,391400,--,Unknown,--
IT,Italy,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,351200,192700,2121409200,520131400,--,Unknown,--
IT,Italy,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,339200,28700,19737800,1365600,--,Unknown,--
IT,Italy,3339,Petilmat S.A.,"all",any_status,platform,appnexus,false,336500,2400,41510700,443300,--,Unknown,--
IT,Italy,1608,Audience Square,"all",any_status,platform,appnexus,false,332600,21800,105327200,8530300,--,Unknown,--
IT,Italy,3329,AdRaiden,"all",any_status,platform,appnexus,false,305100,43000,59013500,8240600,--,Unknown,--
IT,Italy,3204,Purch,"all",any_status,platform,appnexus,false,294300,36700,33563400,4355800,--,Unknown,--
IT,Italy,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,286000,23100,37441400,3708500,--,Unknown,--
IT,Italy,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,283900,124900,15959100,5178000,--,Unknown,--
IT,Italy,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,282200,55200,51953900,4345700,--,Unknown,--
IT,Italy,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,242500,20300,16374000,2597100,--,Unknown,--
IT,Italy,310,Technorati Media,"all",any_status,platform,appnexus,false,232200,34100,64536800,6342900,--,Unknown,--
IT,Italy,3366,AerServ LLC,"all",any_status,platform,appnexus,false,230700,23600,96664800,5504300,--,Unknown,--
IT,Italy,1611,Headway Digital,"all",any_status,platform,appnexus,false,222500,22300,14236300,1268000,--,Unknown,--
IT,Italy,740,NetSeer Inc,"all",any_status,platform,appnexus,false,218700,60100,7306400,1136500,--,Unknown,--
IT,Italy,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,207900,42600,60998700,8550900,--,Unknown,--
IT,Italy,1749,W M Web Media,"all",any_status,platform,appnexus,false,204800,31000,16480000,3492000,--,Unknown,--
IT,Italy,2721,Kiosked,"all",any_status,platform,appnexus,false,200600,34100,84569700,10245200,--,Unknown,--
IT,Italy,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,200100,48900,21596300,4597200,--,Unknown,--
IT,Italy,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,182900,21100,19222500,1853100,--,Unknown,--
IT,Italy,1613,Defy Media,"all",any_status,platform,appnexus,false,181800,16900,73239200,4465300,--,Unknown,--
IT,Italy,1530,AdPrudence,"all",any_status,platform,appnexus,false,175200,84300,7290300,3996400,--,Unknown,--
IT,Italy,818,MediaShakers,"all",any_status,platform,appnexus,false,162500,34800,9935200,1579700,--,Unknown,--
IT,Italy,2252,One Advertising AG,"all",any_status,platform,appnexus,false,162100,8000,7386500,732100,--,Unknown,--
IT,Italy,1942,Floor6,"all",any_status,platform,appnexus,false,160500,18800,41027600,5864100,--,Unknown,--
IT,Italy,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,155000,11900,35500900,5026100,--,Unknown,--
IT,Italy,3192,RTB Media,"all",any_status,platform,appnexus,false,154300,56400,9047300,2346100,--,Unknown,--
IT,Italy,3500,ASQ Brand,"all",any_status,platform,appnexus,false,122500,5400,30855200,1884800,--,Unknown,--
IT,Italy,806,Venatus Media,"all",any_status,platform,appnexus,false,114700,11300,5557600,602200,--,Unknown,--
IT,Italy,2026,Tailwind 1,"all",any_status,platform,appnexus,false,114400,13200,7959300,783700,--,Unknown,--
IT,Italy,2637,Matomy Content Network,"all",any_status,platform,appnexus,false,111700,10000,18055600,4241400,--,Unknown,--
IT,Italy,86,Photobucket,"all",any_status,external,appnexus,false,106600,8200,10687900,596400,--,Unknown,--
IT,Italy,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,99600,11800,68302300,5161300,--,Unknown,--
IT,Italy,1405,Adscale GmbH,"all",any_status,external,appnexus,false,98200,7900,24769000,2453000,--,Unknown,--
IT,Italy,1939,152 Media LLC,"all",any_status,platform,appnexus,false,96200,14000,10516600,1985700,--,Unknown,--
IT,Italy,2804,Adshoard,"all",any_status,platform,appnexus,false,95300,5300,15208300,1517700,--,Unknown,--
IT,Italy,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,93100,65500,5027900,2395500,--,Unknown,--
IT,Italy,2449,MediaShakers - Select,"all",any_status,platform,appnexus,false,81300,29500,4063700,606100,--,Unknown,--
IT,Italy,2556,CoAdvertise GmbH,"all",any_status,platform,appnexus,false,78800,4600,3860700,298100,--,Unknown,--
IT,Italy,2725,Project Agora (Tailwind EMEA Ltd),"all",any_status,platform,appnexus,false,78100,30500,5286600,1498600,--,Unknown,--
IT,Italy,2967,orbyd GmbH,"all",any_status,platform,appnexus,false,77600,2900,1517000,208900,--,Unknown,--
IT,Italy,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,74500,36000,7319800,1991600,--,Unknown,--
IT,Italy,1906,Velis Media,"all",any_status,platform,appnexus,false,74100,11400,1743200,404400,--,Unknown,--
