geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
JM,Jamaica,181,Google AdExchange,"all",any_status,external,appnexus,false,14470200,425100,28233867400,959451500,--,Unknown,--
JM,Jamaica,357,OpenX,"all",any_status,external,appnexus,false,4036000,55900,5480947400,127566900,--,Unknown,--
JM,Jamaica,459,Rubicon,"all",any_status,external,appnexus,false,1785300,65500,5398288100,219468400,--,Unknown,--
JM,Jamaica,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,1099700,12100,2174215700,44278600,--,Unknown,--
JM,Jamaica,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1024300,31700,1206552000,52265100,--,Unknown,--
JM,Jamaica,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,643400,54800,1866171500,134504500,--,Unknown,--
JM,Jamaica,74,PubMatic,"all",any_status,external,appnexus,false,624300,22300,1408932400,73943500,--,Unknown,--
JM,Jamaica,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,570900,21400,341724700,17293700,--,Unknown,--
JM,Jamaica,1360,Sovrn,"all",any_status,platform,appnexus,false,196600,12800,400642400,23323000,--,Unknown,--
JM,Jamaica,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,172500,200,16374000,2597100,--,Unknown,--
JM,Jamaica,1356,bRealTime (select),"all",any_status,platform,appnexus,false,146600,13800,327708200,26451300,--,Unknown,--
JM,Jamaica,3020,Mojiva II,"all",any_status,platform,appnexus,false,100900,4700,130720700,11697300,--,Unknown,--
JM,Jamaica,1475,Lifestreet,"all",any_status,platform,appnexus,false,86000,1700,242585900,5057200,--,Unknown,--
JM,Jamaica,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,83300,3400,190575900,16112500,--,Unknown,--
JM,Jamaica,1643,Fidelity Media,"all",any_status,platform,appnexus,false,80300,600,2190000,227800,--,Unknown,--
JM,Jamaica,541,CPXInteractive,"all",any_status,platform,appnexus,false,79600,6800,38468600,5292100,--,Unknown,--
