geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
JP,Japan,181,Google AdExchange,"all",any_status,external,appnexus,false,1646510000,51481800,28233867400,959451500,--,Unknown,--
JP,Japan,459,Rubicon,"all",any_status,external,appnexus,false,196595300,12863700,5398288100,219468400,--,Unknown,--
JP,Japan,357,OpenX,"all",any_status,external,appnexus,false,164759500,6566100,5480947400,127566900,--,Unknown,--
JP,Japan,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,66893600,4502700,1866171500,134504500,--,Unknown,--
JP,Japan,1226,AOL Marketplace,"all",any_status,external,appnexus,false,28945500,1382000,239525900,16680800,--,Unknown,--
JP,Japan,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,25140100,668300,1206552000,52265100,--,Unknown,--
JP,Japan,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,19733700,687900,2174215700,44278600,--,Unknown,--
JP,Japan,74,PubMatic,"all",any_status,external,appnexus,false,15402200,2267400,1408932400,73943500,--,Unknown,--
JP,Japan,1548,Criteo,"all",any_status,external,appnexus,false,9915400,2033900,342165000,40879100,--,Unknown,--
JP,Japan,2850,MobFox,"all",any_status,platform,appnexus,false,4766900,246200,617754000,33916100,--,Unknown,--
JP,Japan,3020,Mojiva II,"all",any_status,platform,appnexus,false,2401100,61000,130720700,11697300,--,Unknown,--
JP,Japan,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,2311500,89700,271311100,17933900,--,Unknown,--
JP,Japan,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,1990000,115900,35500900,5026100,--,Unknown,--
JP,Japan,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,1919800,182500,341724700,17293700,--,Unknown,--
JP,Japan,2014,"Conversant, Inc","all",any_status,platform,appnexus,false,1771900,49900,240771800,9943500,--,Unknown,--
JP,Japan,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,1637000,207600,93859100,18219400,--,Unknown,--
JP,Japan,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,1632200,130000,190575900,16112500,--,Unknown,--
JP,Japan,1360,Sovrn,"all",any_status,platform,appnexus,false,1479800,101600,400642400,23323000,--,Unknown,--
JP,Japan,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1177600,103400,327708200,26451300,--,Unknown,--
JP,Japan,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,908900,100500,50860000,7782600,--,Unknown,--
JP,Japan,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,743200,357200,2121409200,520131400,--,Unknown,--
JP,Japan,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,725300,6600,286290200,3534600,--,Unknown,--
JP,Japan,1882,TapTica LTD,"all",any_status,platform,appnexus,false,589600,38500,87218100,23348500,--,Unknown,--
JP,Japan,2556,CoAdvertise GmbH,"all",any_status,platform,appnexus,false,436400,5700,3860700,298100,--,Unknown,--
JP,Japan,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,407900,5400,76563700,1162600,--,Unknown,--
JP,Japan,310,Technorati Media,"all",any_status,platform,appnexus,false,405300,74700,64536800,6342900,--,Unknown,--
JP,Japan,3265,BRATECH SA,"all",any_status,platform,appnexus,false,396000,139400,8702600,2447900,--,Unknown,--
JP,Japan,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,366200,35600,27850600,5122800,--,Unknown,--
JP,Japan,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,306700,27100,103106400,11015600,--,Unknown,--
JP,Japan,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,284700,69600,16374000,2597100,--,Unknown,--
JP,Japan,1611,Headway Digital,"all",any_status,platform,appnexus,false,270300,14200,14236300,1268000,--,Unknown,--
JP,Japan,3192,RTB Media,"all",any_status,platform,appnexus,false,251800,65700,9047300,2346100,--,Unknown,--
JP,Japan,1475,Lifestreet,"all",any_status,platform,appnexus,false,240100,5300,242585900,5057200,--,Unknown,--
JP,Japan,1908,District M,"all",any_status,platform,appnexus,false,235400,18300,85430500,9861500,--,Unknown,--
JP,Japan,1756,Adversal.com,"all",any_status,platform,appnexus,false,230800,15400,14173900,1426500,--,Unknown,--
JP,Japan,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,230500,14300,166429900,7648600,--,Unknown,--
JP,Japan,1608,Audience Square,"all",any_status,platform,appnexus,false,200100,7000,105327200,8530300,--,Unknown,--
JP,Japan,2637,Matomy Content Network,"all",any_status,platform,appnexus,false,186400,27300,18055600,4241400,--,Unknown,--
JP,Japan,541,CPXInteractive,"all",any_status,platform,appnexus,false,181900,29000,38468600,5292100,--,Unknown,--
JP,Japan,956,Zodiak Active,"all",any_status,platform,appnexus,false,177700,2100,42149500,4493100,--,Unknown,--
JP,Japan,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,175900,18500,67112200,3425500,--,Unknown,--
JP,Japan,1081,Sonobi,"all",any_status,platform,appnexus,false,174800,16500,41318500,4009000,--,Unknown,--
JP,Japan,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,162700,28500,21596300,4597200,--,Unknown,--
JP,Japan,1939,152 Media LLC,"all",any_status,platform,appnexus,false,156000,19900,10516600,1985700,--,Unknown,--
JP,Japan,3153,152 Media Select,"all",any_status,platform,appnexus,false,155400,1300,2747300,124000,--,Unknown,--
JP,Japan,1613,Defy Media,"all",any_status,platform,appnexus,false,155200,43700,73239200,4465300,--,Unknown,--
JP,Japan,2804,Adshoard,"all",any_status,platform,appnexus,false,154000,9600,15208300,1517700,--,Unknown,--
JP,Japan,2721,Kiosked,"all",any_status,platform,appnexus,false,153600,27900,84569700,10245200,--,Unknown,--
JP,Japan,1998,Vexigo Ltd,"all",any_status,platform,appnexus,false,141800,30600,3379300,1153500,--,Unknown,--
JP,Japan,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,131200,42200,5027900,2395500,--,Unknown,--
JP,Japan,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,128900,11300,19737800,1365600,--,Unknown,--
JP,Japan,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,128100,15200,51953900,4345700,--,Unknown,--
JP,Japan,3329,AdRaiden,"all",any_status,platform,appnexus,false,110700,16400,59013500,8240600,--,Unknown,--
JP,Japan,1749,W M Web Media,"all",any_status,platform,appnexus,false,98600,24400,16480000,3492000,--,Unknown,--
JP,Japan,3204,Purch,"all",any_status,platform,appnexus,false,94200,13900,33563400,4355800,--,Unknown,--
JP,Japan,882,AN Talent,"all",any_status,platform,appnexus,false,90700,29200,50438600,13544900,--,Unknown,--
JP,Japan,3203,evania GmbH,"all",any_status,platform,appnexus,false,85200,14400,432900,83400,--,Unknown,--
JP,Japan,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,76600,11800,8000000,1228100,--,Unknown,--
JP,Japan,3366,AerServ LLC,"all",any_status,platform,appnexus,false,75600,7500,96664800,5504300,--,Unknown,--
JP,Japan,2251,Waypoint Media,"all",any_status,platform,appnexus,false,75300,1300,3297000,184900,--,Unknown,--
JP,Japan,718,TLV Media Online Ltd,"all",any_status,platform,appnexus,false,72600,2100,30389900,1033700,--,Unknown,--
JP,Japan,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,72100,15900,60998700,8550900,--,Unknown,--
