geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
KZ,Kazakhstan,181,Google AdExchange,"all",any_status,external,appnexus,false,105729900,3201400,28233867400,959451500,--,Unknown,--
KZ,Kazakhstan,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,4578600,224600,1206552000,52265100,--,Unknown,--
KZ,Kazakhstan,2850,MobFox,"all",any_status,platform,appnexus,false,3741300,174100,617754000,33916100,--,Unknown,--
KZ,Kazakhstan,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,3348900,99000,2174215700,44278600,--,Unknown,--
KZ,Kazakhstan,357,OpenX,"all",any_status,external,appnexus,false,2798000,41000,5480947400,127566900,--,Unknown,--
KZ,Kazakhstan,459,Rubicon,"all",any_status,external,appnexus,false,2122800,94900,5398288100,219468400,--,Unknown,--
KZ,Kazakhstan,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,2044500,155800,1866171500,134504500,--,Unknown,--
KZ,Kazakhstan,1548,Criteo,"all",any_status,external,appnexus,false,1915400,196800,342165000,40879100,--,Unknown,--
KZ,Kazakhstan,74,PubMatic,"all",any_status,external,appnexus,false,419600,25800,1408932400,73943500,--,Unknown,--
KZ,Kazakhstan,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,333400,47100,50860000,7782600,--,Unknown,--
KZ,Kazakhstan,3020,Mojiva II,"all",any_status,platform,appnexus,false,222200,14100,130720700,11697300,--,Unknown,--
KZ,Kazakhstan,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,193900,4000,76563700,1162600,--,Unknown,--
KZ,Kazakhstan,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,160500,6100,190575900,16112500,--,Unknown,--
KZ,Kazakhstan,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,131700,6200,37441400,3708500,--,Unknown,--
KZ,Kazakhstan,1475,Lifestreet,"all",any_status,platform,appnexus,false,127400,4300,242585900,5057200,--,Unknown,--
KZ,Kazakhstan,1356,bRealTime (select),"all",any_status,platform,appnexus,false,121000,16700,327708200,26451300,--,Unknown,--
KZ,Kazakhstan,1360,Sovrn,"all",any_status,platform,appnexus,false,98600,5400,400642400,23323000,--,Unknown,--
KZ,Kazakhstan,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,86400,31700,7319800,1991600,--,Unknown,--
KZ,Kazakhstan,3265,BRATECH SA,"all",any_status,platform,appnexus,false,57500,18300,8702600,2447900,--,Unknown,--
KZ,Kazakhstan,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,54400,1400,430811700,17143500,--,Unknown,--
KZ,Kazakhstan,1882,TapTica LTD,"all",any_status,platform,appnexus,false,51500,8300,87218100,23348500,--,Unknown,--
KZ,Kazakhstan,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,46600,15000,93859100,18219400,--,Unknown,--
KZ,Kazakhstan,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,43000,5800,19222500,1853100,--,Unknown,--
KZ,Kazakhstan,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,39700,9600,16374000,2597100,--,Unknown,--
KZ,Kazakhstan,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,29000,2800,27850600,5122800,--,Unknown,--
KZ,Kazakhstan,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,26600,1000,166429900,7648600,--,Unknown,--
KZ,Kazakhstan,1354,Improve Digital,"all",any_status,platform,appnexus,false,20600,1500,617249300,18935700,--,Unknown,--
KZ,Kazakhstan,541,CPXInteractive,"all",any_status,platform,appnexus,false,17800,3300,38468600,5292100,--,Unknown,--
KZ,Kazakhstan,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,16500,5600,5027900,2395500,--,Unknown,--
KZ,Kazakhstan,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,15200,10300,2121409200,520131400,--,Unknown,--
KZ,Kazakhstan,1449,Adtegrity,"all",any_status,platform,appnexus,false,14500,500,30828900,3626800,--,Unknown,--
KZ,Kazakhstan,1908,District M,"all",any_status,platform,appnexus,false,13700,1300,85430500,9861500,--,Unknown,--
KZ,Kazakhstan,1081,Sonobi,"all",any_status,platform,appnexus,false,13600,2400,41318500,4009000,--,Unknown,--
KZ,Kazakhstan,1583,Admeta AB,"all",any_status,platform,appnexus,false,13300,200,14256000,1033900,--,Unknown,--
KZ,Kazakhstan,1939,152 Media LLC,"all",any_status,platform,appnexus,false,13200,3900,10516600,1985700,--,Unknown,--
KZ,Kazakhstan,1613,Defy Media,"all",any_status,platform,appnexus,false,11900,800,73239200,4465300,--,Unknown,--
KZ,Kazakhstan,3204,Purch,"all",any_status,platform,appnexus,false,10400,1800,33563400,4355800,--,Unknown,--
KZ,Kazakhstan,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,10200,900,21596300,4597200,--,Unknown,--
KZ,Kazakhstan,996,WebAds IT,"all",any_status,platform,appnexus,false,9500,200,11291200,463000,--,Unknown,--
KZ,Kazakhstan,3192,RTB Media,"all",any_status,platform,appnexus,false,9300,3900,9047300,2346100,--,Unknown,--
KZ,Kazakhstan,310,Technorati Media,"all",any_status,platform,appnexus,false,8500,1900,64536800,6342900,--,Unknown,--
KZ,Kazakhstan,1643,Fidelity Media,"all",any_status,platform,appnexus,false,8500,1200,2190000,227800,--,Unknown,--
KZ,Kazakhstan,1619,ReklamStore,"all",any_status,platform,appnexus,false,8300,1400,32005800,4616300,--,Unknown,--
KZ,Kazakhstan,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,7900,800,67112200,3425500,--,Unknown,--
KZ,Kazakhstan,3492,StudyBreak Media,"all",any_status,platform,appnexus,false,7800,200,22300800,414400,--,Unknown,--
KZ,Kazakhstan,740,NetSeer Inc,"all",any_status,platform,appnexus,false,7600,2300,7306400,1136500,--,Unknown,--
KZ,Kazakhstan,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,7400,1400,103106400,11015600,--,Unknown,--
KZ,Kazakhstan,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,7400,1500,11679100,3946900,--,Unknown,--
KZ,Kazakhstan,806,Venatus Media,"all",any_status,platform,appnexus,false,7200,600,5557600,602200,--,Unknown,--
KZ,Kazakhstan,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,6900,100,6341900,228700,--,Unknown,--
KZ,Kazakhstan,1942,Floor6,"all",any_status,platform,appnexus,false,6700,900,41027600,5864100,--,Unknown,--
KZ,Kazakhstan,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,6400,100,286290200,3534600,--,Unknown,--
