geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
MY,Malaysia,181,Google AdExchange,"all",any_status,external,appnexus,false,212012300,8140300,28233867400,959451500,--,Unknown,--
MY,Malaysia,357,OpenX,"all",any_status,external,appnexus,false,29323900,799400,5480947400,127566900,--,Unknown,--
MY,Malaysia,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,23369600,588800,2174215700,44278600,--,Unknown,--
MY,Malaysia,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,14573300,739000,1206552000,52265100,--,Unknown,--
MY,Malaysia,459,Rubicon,"all",any_status,external,appnexus,false,13914400,1056400,5398288100,219468400,--,Unknown,--
MY,Malaysia,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,9617000,781400,1866171500,134504500,--,Unknown,--
MY,Malaysia,74,PubMatic,"all",any_status,external,appnexus,false,5651800,532800,1408932400,73943500,--,Unknown,--
MY,Malaysia,2850,MobFox,"all",any_status,platform,appnexus,false,4598500,349300,617754000,33916100,--,Unknown,--
MY,Malaysia,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,3585700,359600,35500900,5026100,--,Unknown,--
MY,Malaysia,1882,TapTica LTD,"all",any_status,platform,appnexus,false,2446300,1014900,87218100,23348500,--,Unknown,--
MY,Malaysia,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,1944800,61100,190575900,16112500,--,Unknown,--
MY,Malaysia,1360,Sovrn,"all",any_status,platform,appnexus,false,1739400,141500,400642400,23323000,--,Unknown,--
MY,Malaysia,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,1666000,73900,271311100,17933900,--,Unknown,--
MY,Malaysia,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1638200,183700,327708200,26451300,--,Unknown,--
MY,Malaysia,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,1488200,109700,93859100,18219400,--,Unknown,--
MY,Malaysia,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,1460300,14400,76563700,1162600,--,Unknown,--
