geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
MN,Mongolia,181,Google AdExchange,"all",any_status,external,appnexus,false,6276700,232400,28233867400,959451500,--,Unknown,--
MN,Mongolia,357,OpenX,"all",any_status,external,appnexus,false,1127100,16800,5480947400,127566900,--,Unknown,--
MN,Mongolia,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,1026100,22100,2174215700,44278600,--,Unknown,--
MN,Mongolia,2850,MobFox,"all",any_status,platform,appnexus,false,760300,23600,617754000,33916100,--,Unknown,--
MN,Mongolia,459,Rubicon,"all",any_status,external,appnexus,false,680900,26300,5398288100,219468400,--,Unknown,--
MN,Mongolia,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,397000,25400,1206552000,52265100,--,Unknown,--
MN,Mongolia,1475,Lifestreet,"all",any_status,platform,appnexus,false,222600,3900,242585900,5057200,--,Unknown,--
MN,Mongolia,74,PubMatic,"all",any_status,external,appnexus,false,200900,5100,1408932400,73943500,--,Unknown,--
MN,Mongolia,1356,bRealTime (select),"all",any_status,platform,appnexus,false,121100,7800,327708200,26451300,--,Unknown,--
MN,Mongolia,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,59400,12500,1866171500,134504500,--,Unknown,--
MN,Mongolia,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,44300,2500,190575900,16112500,--,Unknown,--
MN,Mongolia,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,37200,900,76563700,1162600,--,Unknown,--
MN,Mongolia,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,35200,9700,27850600,5122800,--,Unknown,--
MN,Mongolia,1360,Sovrn,"all",any_status,platform,appnexus,false,30800,4100,400642400,23323000,--,Unknown,--
MN,Mongolia,1619,ReklamStore,"all",any_status,platform,appnexus,false,25100,11000,32005800,4616300,--,Unknown,--
MN,Mongolia,541,CPXInteractive,"all",any_status,platform,appnexus,false,23900,2500,38468600,5292100,--,Unknown,--
MN,Mongolia,3204,Purch,"all",any_status,platform,appnexus,false,12300,1500,33563400,4355800,--,Unknown,--
MN,Mongolia,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,10800,1100,103106400,11015600,--,Unknown,--
MN,Mongolia,1939,152 Media LLC,"all",any_status,platform,appnexus,false,10700,2600,10516600,1985700,--,Unknown,--
