geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
MM,Myanmar,181,Google AdExchange,"all",any_status,external,appnexus,false,8200200,437200,28233867400,959451500,--,Unknown,--
MM,Myanmar,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,1198300,55500,2174215700,44278600,--,Unknown,--
MM,Myanmar,357,OpenX,"all",any_status,external,appnexus,false,1001600,22200,5480947400,127566900,--,Unknown,--
MM,Myanmar,459,Rubicon,"all",any_status,external,appnexus,false,499200,32300,5398288100,219468400,--,Unknown,--
MM,Myanmar,2850,MobFox,"all",any_status,platform,appnexus,false,487100,55600,617754000,33916100,--,Unknown,--
MM,Myanmar,74,PubMatic,"all",any_status,external,appnexus,false,116900,7200,1408932400,73943500,--,Unknown,--
MM,Myanmar,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,113300,21400,341724700,17293700,--,Unknown,--
MM,Myanmar,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,65900,9900,1206552000,52265100,--,Unknown,--
MM,Myanmar,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,51500,2800,430811700,17143500,--,Unknown,--
MM,Myanmar,1356,bRealTime (select),"all",any_status,platform,appnexus,false,49700,7300,327708200,26451300,--,Unknown,--
MM,Myanmar,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,39500,8700,1866171500,134504500,--,Unknown,--
MM,Myanmar,1360,Sovrn,"all",any_status,platform,appnexus,false,34900,4900,400642400,23323000,--,Unknown,--
MM,Myanmar,1888,"Chitika, Inc.","all",any_status,platform,appnexus,false,32500,400,3909100,819600,--,Unknown,--
MM,Myanmar,1939,152 Media LLC,"all",any_status,platform,appnexus,false,25300,15100,10516600,1985700,--,Unknown,--
MM,Myanmar,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,22000,1000,190575900,16112500,--,Unknown,--
MM,Myanmar,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,18800,7700,27850600,5122800,--,Unknown,--
MM,Myanmar,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,18400,500,76563700,1162600,--,Unknown,--
MM,Myanmar,928,Suite66,"all",any_status,platform,appnexus,false,16300,5300,4874500,704400,--,Unknown,--
MM,Myanmar,2804,Adshoard,"all",any_status,platform,appnexus,false,16300,500,15208300,1517700,--,Unknown,--
MM,Myanmar,541,CPXInteractive,"all",any_status,platform,appnexus,false,15000,3100,38468600,5292100,--,Unknown,--
MM,Myanmar,310,Technorati Media,"all",any_status,platform,appnexus,false,14900,2000,64536800,6342900,--,Unknown,--
MM,Myanmar,1475,Lifestreet,"all",any_status,platform,appnexus,false,14300,200,242585900,5057200,--,Unknown,--
MM,Myanmar,1619,ReklamStore,"all",any_status,platform,appnexus,false,13600,7100,32005800,4616300,--,Unknown,--
MM,Myanmar,3204,Purch,"all",any_status,platform,appnexus,false,13600,1900,33563400,4355800,--,Unknown,--
MM,Myanmar,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,13500,1300,166429900,7648600,--,Unknown,--
MM,Myanmar,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,12300,1200,93859100,18219400,--,Unknown,--
MM,Myanmar,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,10700,3100,60998700,8550900,--,Unknown,--
MM,Myanmar,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,10100,5600,2121409200,520131400,--,Unknown,--
MM,Myanmar,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,10000,2100,35500900,5026100,--,Unknown,--
MM,Myanmar,2721,Kiosked,"all",any_status,platform,appnexus,false,9200,2100,84569700,10245200,--,Unknown,--
MM,Myanmar,1019,OnScroll Limited,"all",any_status,platform,appnexus,false,9200,200,6251600,665800,--,Unknown,--
MM,Myanmar,3192,RTB Media,"all",any_status,platform,appnexus,false,8800,2100,9047300,2346100,--,Unknown,--
MM,Myanmar,1608,Audience Square,"all",any_status,platform,appnexus,false,8600,500,105327200,8530300,--,Unknown,--
MM,Myanmar,1756,Adversal.com,"all",any_status,platform,appnexus,false,8100,1200,14173900,1426500,--,Unknown,--
MM,Myanmar,1643,Fidelity Media,"all",any_status,platform,appnexus,false,7100,100,2190000,227800,--,Unknown,--
MM,Myanmar,1081,Sonobi,"all",any_status,platform,appnexus,false,6900,3300,41318500,4009000,--,Unknown,--
MM,Myanmar,1357,bRealTime,"all",any_status,platform,appnexus,false,6600,700,12048300,1469800,--,Unknown,--
MM,Myanmar,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,5400,2100,11679100,3946900,--,Unknown,--
MM,Myanmar,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,5100,300,37441400,3708500,--,Unknown,--
MM,Myanmar,1908,District M,"all",any_status,platform,appnexus,false,4500,1200,85430500,9861500,--,Unknown,--
MM,Myanmar,1942,Floor6,"all",any_status,platform,appnexus,false,4400,700,41027600,5864100,--,Unknown,--
MM,Myanmar,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,4400,200,286290200,3534600,--,Unknown,--
MM,Myanmar,956,Zodiak Active,"all",any_status,platform,appnexus,false,4200,800,42149500,4493100,--,Unknown,--
MM,Myanmar,882,AN Talent,"all",any_status,platform,appnexus,false,4200,1000,50438600,13544900,--,Unknown,--
MM,Myanmar,568,Httpool,"all",any_status,platform,appnexus,false,4100,200,4528700,487200,--,Unknown,--
MM,Myanmar,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,4100,600,19737800,1365600,--,Unknown,--
MM,Myanmar,3105,Adshoard Premium,"all",any_status,platform,appnexus,false,3600,100,1000700,224100,--,Unknown,--
MM,Myanmar,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,3600,1200,103106400,11015600,--,Unknown,--
MM,Myanmar,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,3300,700,8000000,1228100,--,Unknown,--
MM,Myanmar,2688,Metric Science,"all",any_status,platform,appnexus,false,2900,600,9565700,2018900,--,Unknown,--
MM,Myanmar,884,Hi-Media,"all",any_status,platform,appnexus,false,2700,400,78818800,7489400,--,Unknown,--
MM,Myanmar,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,2400,500,50860000,7782600,--,Unknown,--
MM,Myanmar,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,2400,400,21596300,4597200,--,Unknown,--
MM,Myanmar,2723,Riot New Media Group,"all",any_status,platform,appnexus,false,2200,100,3984400,147800,--,Unknown,--
MM,Myanmar,3265,BRATECH SA,"all",any_status,platform,appnexus,false,2100,1000,8702600,2447900,--,Unknown,--
MM,Myanmar,1613,Defy Media,"all",any_status,platform,appnexus,false,2100,800,73239200,4465300,--,Unknown,--
MM,Myanmar,3098,WEBEDIA,"all",any_status,platform,appnexus,false,2100,200,23991600,2742200,--,Unknown,--
MM,Myanmar,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,2000,1000,18452300,6512900,--,Unknown,--
MM,Myanmar,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,1900,700,16374000,2597100,--,Unknown,--
MM,Myanmar,2518,PremiumCPM LLC,"all",any_status,platform,appnexus,false,1800,300,1126400,108700,--,Unknown,--
MM,Myanmar,1882,TapTica LTD,"all",any_status,platform,appnexus,false,1800,600,87218100,23348500,--,Unknown,--
MM,Myanmar,1226,AOL Marketplace,"all",any_status,external,appnexus,false,1700,200,239525900,16680800,--,Unknown,--
MM,Myanmar,2548,Foriatel Land S.A.,"all",any_status,platform,appnexus,false,1700,100,873600,129700,--,Unknown,--
MM,Myanmar,2637,Matomy Content Network,"all",any_status,platform,appnexus,false,1700,100,18055600,4241400,--,Unknown,--
MM,Myanmar,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,1600,400,67112200,3425500,--,Unknown,--
MM,Myanmar,3356,Livingly Media Inc,"all",any_status,platform,appnexus,false,1400,200,24284900,766700,--,Unknown,--
MM,Myanmar,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,1400,800,7319800,1991600,--,Unknown,--
MM,Myanmar,3208,Lyfe Media,"all",any_status,platform,appnexus,false,1300,200,3124700,202300,--,Unknown,--
MM,Myanmar,2025,Fairfax Digital,"all",any_status,platform,appnexus,false,1200,600,23964200,1700200,--,Unknown,--
MM,Myanmar,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,1200,400,15959100,5178000,--,Unknown,--
MM,Myanmar,1413,DTCN,"all",any_status,platform,appnexus,false,1100,200,3607300,146200,--,Unknown,--
MM,Myanmar,2703,Adsparc - Sparc Media Pty Ltd,"all",any_status,platform,appnexus,false,1100,200,2649700,627500,--,Unknown,--
MM,Myanmar,2797,Disqus Inc.,"all",any_status,platform,appnexus,false,1100,500,969700,491000,--,Unknown,--
MM,Myanmar,2945,Adhood,"all",any_status,platform,appnexus,false,1000,400,1202300,111400,--,Unknown,--
