geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
NL,Netherlands,181,Google AdExchange,"all",any_status,external,appnexus,false,431019700,12042200,28233867400,959451500,--,Unknown,--
NL,Netherlands,1354,Improve Digital,"all",any_status,platform,appnexus,false,249123700,4954300,617249300,18935700,--,Unknown,--
NL,Netherlands,459,Rubicon,"all",any_status,external,appnexus,false,93475600,3689600,5398288100,219468400,--,Unknown,--
NL,Netherlands,357,OpenX,"all",any_status,external,appnexus,false,55697100,934800,5480947400,127566900,--,Unknown,--
NL,Netherlands,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,48895700,2976700,1866171500,134504500,--,Unknown,--
NL,Netherlands,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,36877300,569300,2174215700,44278600,--,Unknown,--
NL,Netherlands,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,20023900,548300,1206552000,52265100,--,Unknown,--
NL,Netherlands,2850,MobFox,"all",any_status,platform,appnexus,false,13785700,889800,617754000,33916100,--,Unknown,--
NL,Netherlands,74,PubMatic,"all",any_status,external,appnexus,false,12618600,517200,1408932400,73943500,--,Unknown,--
NL,Netherlands,1548,Criteo,"all",any_status,external,appnexus,false,5469800,749000,342165000,40879100,--,Unknown,--
NL,Netherlands,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,4333100,355300,271311100,17933900,--,Unknown,--
NL,Netherlands,2737,Semilo B.V.,"all",any_status,platform,appnexus,false,4238900,470900,4756100,537900,--,Unknown,--
NL,Netherlands,994,WebAds NL,"all",any_status,platform,appnexus,false,3807800,475600,4383900,537800,--,Unknown,--
NL,Netherlands,1356,bRealTime (select),"all",any_status,platform,appnexus,false,3780700,313400,327708200,26451300,--,Unknown,--
NL,Netherlands,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,3751000,272500,190575900,16112500,--,Unknown,--
NL,Netherlands,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,3619400,52600,286290200,3534600,--,Unknown,--
NL,Netherlands,2668,MonPar B.V.,"all",any_status,platform,appnexus,false,2572000,353000,4293200,550100,--,Unknown,--
NL,Netherlands,1360,Sovrn,"all",any_status,platform,appnexus,false,2486900,147800,400642400,23323000,--,Unknown,--
NL,Netherlands,1475,Lifestreet,"all",any_status,platform,appnexus,false,2360000,46900,242585900,5057200,--,Unknown,--
NL,Netherlands,1882,TapTica LTD,"all",any_status,platform,appnexus,false,2139300,912700,87218100,23348500,--,Unknown,--
NL,Netherlands,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,2117100,102800,430811700,17143500,--,Unknown,--
NL,Netherlands,2721,Kiosked,"all",any_status,platform,appnexus,false,1705900,151400,84569700,10245200,--,Unknown,--
NL,Netherlands,1408,The Edge Initiative,"all",any_status,platform,appnexus,false,1656500,252000,2294000,382300,--,Unknown,--
NL,Netherlands,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,1509800,62200,166429900,7648600,--,Unknown,--
NL,Netherlands,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,1433200,169100,103106400,11015600,--,Unknown,--
NL,Netherlands,310,Technorati Media,"all",any_status,platform,appnexus,false,1405900,134000,64536800,6342900,--,Unknown,--
NL,Netherlands,3341,eBay Southern Europe,"all",any_status,platform,appnexus,false,1177800,28000,3915900,451600,--,Unknown,--
NL,Netherlands,3066,To Media Group BV,"all",any_status,platform,appnexus,false,1083600,128300,1241400,150900,--,Unknown,--
NL,Netherlands,3366,AerServ LLC,"all",any_status,platform,appnexus,false,859800,29500,96664800,5504300,--,Unknown,--
NL,Netherlands,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,857500,617200,2121409200,520131400,--,Unknown,--
NL,Netherlands,3074,VICE Media,"all",any_status,platform,appnexus,false,840300,152600,976900,165800,--,Unknown,--
NL,Netherlands,884,Hi-Media,"all",any_status,platform,appnexus,false,828900,44800,78818800,7489400,--,Unknown,--
NL,Netherlands,2076,FemmeFab,"all",any_status,platform,appnexus,false,787200,107000,915800,127700,--,Unknown,--
NL,Netherlands,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,728600,116000,50860000,7782600,--,Unknown,--
NL,Netherlands,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,691500,281700,93859100,18219400,--,Unknown,--
NL,Netherlands,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,684800,12500,76563700,1162600,--,Unknown,--
NL,Netherlands,1908,District M,"all",any_status,platform,appnexus,false,515500,48200,85430500,9861500,--,Unknown,--
NL,Netherlands,541,CPXInteractive,"all",any_status,platform,appnexus,false,455100,60100,38468600,5292100,--,Unknown,--
NL,Netherlands,1226,AOL Marketplace,"all",any_status,external,appnexus,false,446300,29800,239525900,16680800,--,Unknown,--
NL,Netherlands,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,442100,101900,60998700,8550900,--,Unknown,--
NL,Netherlands,2365,SouthernX,"all",any_status,platform,appnexus,false,420900,30900,9032200,796600,--,Unknown,--
NL,Netherlands,1530,AdPrudence,"all",any_status,platform,appnexus,false,414600,287000,7290300,3996400,--,Unknown,--
NL,Netherlands,2064,AdSeven,"all",any_status,platform,appnexus,false,407100,47000,449600,54600,--,Unknown,--
NL,Netherlands,3020,Mojiva II,"all",any_status,platform,appnexus,false,368100,22400,130720700,11697300,--,Unknown,--
NL,Netherlands,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,336900,17700,19737800,1365600,--,Unknown,--
NL,Netherlands,1608,Audience Square,"all",any_status,platform,appnexus,false,327300,16600,105327200,8530300,--,Unknown,--
NL,Netherlands,3204,Purch,"all",any_status,platform,appnexus,false,282800,39900,33563400,4355800,--,Unknown,--
NL,Netherlands,1613,Defy Media,"all",any_status,platform,appnexus,false,281800,24800,73239200,4465300,--,Unknown,--
NL,Netherlands,329,Bannerconnect,"all",any_status,platform,appnexus,true,274400,93500,334500,108700,--,Unknown,--
NL,Netherlands,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,266600,20700,67112200,3425500,--,Unknown,--
NL,Netherlands,1081,Sonobi,"all",any_status,platform,appnexus,false,260900,18200,41318500,4009000,--,Unknown,--
NL,Netherlands,1942,Floor6,"all",any_status,platform,appnexus,false,260100,30700,41027600,5864100,--,Unknown,--
NL,Netherlands,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,251200,39800,51953900,4345700,--,Unknown,--
NL,Netherlands,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,234800,7300,75439200,1675200,--,Unknown,--
NL,Netherlands,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,233400,26400,27850600,5122800,--,Unknown,--
NL,Netherlands,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,215100,10800,35500900,5026100,--,Unknown,--
NL,Netherlands,3270,StreamAds B.V.,"all",any_status,platform,appnexus,false,201200,75100,233600,89500,--,Unknown,--
NL,Netherlands,3289,NRC,"all",any_status,platform,appnexus,false,191000,57700,228200,67500,--,Unknown,--
NL,Netherlands,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,179900,32700,16374000,2597100,--,Unknown,--
NL,Netherlands,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,179100,19600,19222500,1853100,--,Unknown,--
NL,Netherlands,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,175200,13800,66270000,5213700,--,Unknown,--
NL,Netherlands,882,AN Talent,"all",any_status,platform,appnexus,false,171300,46800,50438600,13544900,--,Unknown,--
NL,Netherlands,3500,ASQ Brand,"all",any_status,platform,appnexus,false,170800,5100,30855200,1884800,--,Unknown,--
NL,Netherlands,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,169600,10600,46631800,2549100,--,Unknown,--
NL,Netherlands,3101,De Persgroep Publishing NV,"all",any_status,platform,appnexus,false,166700,39000,5798700,760300,--,Unknown,--
NL,Netherlands,2837,Mannenmedia,"all",any_status,platform,appnexus,false,155700,51400,180000,59500,--,Unknown,--
NL,Netherlands,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,155100,14100,37441400,3708500,--,Unknown,--
NL,Netherlands,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,152100,96400,15959100,5178000,--,Unknown,--
NL,Netherlands,3428,DeviantArt Inc,"all",any_status,platform,appnexus,false,139500,8400,10120900,466800,--,Unknown,--
NL,Netherlands,3296,Leboncoin Schibsted France,"all",any_status,platform,appnexus,false,139300,4300,22350500,1529000,--,Unknown,--
NL,Netherlands,1611,Headway Digital,"all",any_status,platform,appnexus,false,138200,11100,14236300,1268000,--,Unknown,--
NL,Netherlands,1619,ReklamStore,"all",any_status,platform,appnexus,false,138100,22600,32005800,4616300,--,Unknown,--
NL,Netherlands,2670,AD2ONE LTD,"all",any_status,platform,appnexus,false,134400,18400,4430900,730200,--,Unknown,--
NL,Netherlands,1583,Admeta AB,"all",any_status,platform,appnexus,false,130400,5400,14256000,1033900,--,Unknown,--
NL,Netherlands,806,Venatus Media,"all",any_status,platform,appnexus,false,129500,18400,5557600,602200,--,Unknown,--
NL,Netherlands,86,Photobucket,"all",any_status,external,appnexus,false,127100,8300,10687900,596400,--,Unknown,--
NL,Netherlands,3184,Hot Pink Media,"all",any_status,platform,appnexus,false,119200,39500,150600,47200,--,Unknown,--
NL,Netherlands,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,117100,43000,18452300,6512900,--,Unknown,--
NL,Netherlands,2014,"Conversant, Inc","all",any_status,platform,appnexus,false,114800,5300,240771800,9943500,--,Unknown,--
NL,Netherlands,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,113000,12200,68302300,5161300,--,Unknown,--
NL,Netherlands,3265,BRATECH SA,"all",any_status,platform,appnexus,false,112100,48800,8702600,2447900,--,Unknown,--
NL,Netherlands,2732,Matchflow Media,"all",any_status,platform,appnexus,false,102900,7000,7335600,1014400,--,Unknown,--
NL,Netherlands,1357,bRealTime,"all",any_status,platform,appnexus,false,101000,12900,12048300,1469800,--,Unknown,--
NL,Netherlands,1019,OnScroll Limited,"all",any_status,platform,appnexus,false,99500,8700,6251600,665800,--,Unknown,--
NL,Netherlands,3508,Proper Media LLC,"all",any_status,platform,appnexus,false,97600,1500,6143900,144300,--,Unknown,--
NL,Netherlands,2583,NakkoMedia,"all",any_status,platform,appnexus,false,96000,11000,100500,11400,--,Unknown,--
NL,Netherlands,1405,Adscale GmbH,"all",any_status,external,appnexus,false,91500,8600,24769000,2453000,--,Unknown,--
NL,Netherlands,2740,DataWrkz Premium,"all",any_status,platform,appnexus,false,91400,13400,12509900,1152200,--,Unknown,--
NL,Netherlands,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,91300,34500,11679100,3946900,--,Unknown,--
NL,Netherlands,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,89100,14400,21596300,4597200,--,Unknown,--
NL,Netherlands,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,83600,2100,6341900,228700,--,Unknown,--
NL,Netherlands,2688,Metric Science,"all",any_status,platform,appnexus,false,81700,15700,9565700,2018900,--,Unknown,--
NL,Netherlands,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,81500,11600,341724700,17293700,--,Unknown,--
NL,Netherlands,956,Zodiak Active,"all",any_status,platform,appnexus,false,78200,10800,42149500,4493100,--,Unknown,--
NL,Netherlands,2252,One Advertising AG,"all",any_status,platform,appnexus,false,77900,8000,7386500,732100,--,Unknown,--
NL,Netherlands,3329,AdRaiden,"all",any_status,platform,appnexus,false,77900,12700,59013500,8240600,--,Unknown,--
NL,Netherlands,1756,Adversal.com,"all",any_status,platform,appnexus,false,77700,6600,14173900,1426500,--,Unknown,--
NL,Netherlands,1749,W M Web Media,"all",any_status,platform,appnexus,false,75400,15900,16480000,3492000,--,Unknown,--
NL,Netherlands,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,73500,6300,50498400,3809900,--,Unknown,--
NL,Netherlands,2669,Brightcom Media,"all",any_status,platform,appnexus,false,73300,11700,6016600,1760400,--,Unknown,--
NL,Netherlands,818,MediaShakers,"all",any_status,platform,appnexus,false,72300,12700,9935200,1579700,--,Unknown,--
NL,Netherlands,2662,Aim4Media BV,"all",any_status,platform,appnexus,false,72100,3600,3003300,282300,--,Unknown,--
NL,Netherlands,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,70800,6800,8000000,1228100,--,Unknown,--
NL,Netherlands,2420,TailWind 3,"all",any_status,platform,appnexus,false,63700,10700,10261300,2274800,--,Unknown,--
NL,Netherlands,2945,Adhood,"all",any_status,platform,appnexus,false,57800,5200,1202300,111400,--,Unknown,--
NL,Netherlands,1413,DTCN,"all",any_status,platform,appnexus,false,57800,1500,3607300,146200,--,Unknown,--
NL,Netherlands,3282,EST Digital Ltd.,"all",any_status,platform,appnexus,false,57700,500,51037100,391400,--,Unknown,--
NL,Netherlands,2637,Matomy Content Network,"all",any_status,platform,appnexus,false,57500,4200,18055600,4241400,--,Unknown,--
