geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
NI,Nicaragua,181,Google AdExchange,"all",any_status,external,appnexus,false,10855100,361300,28233867400,959451500,--,Unknown,--
NI,Nicaragua,357,OpenX,"all",any_status,external,appnexus,false,1587500,35000,5480947400,127566900,--,Unknown,--
NI,Nicaragua,459,Rubicon,"all",any_status,external,appnexus,false,1387800,63300,5398288100,219468400,--,Unknown,--
NI,Nicaragua,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,583500,28500,1206552000,52265100,--,Unknown,--
NI,Nicaragua,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,434100,9600,2174215700,44278600,--,Unknown,--
NI,Nicaragua,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,382600,43700,1866171500,134504500,--,Unknown,--
NI,Nicaragua,74,PubMatic,"all",any_status,external,appnexus,false,301500,14000,1408932400,73943500,--,Unknown,--
NI,Nicaragua,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,263000,18700,93859100,18219400,--,Unknown,--
NI,Nicaragua,2850,MobFox,"all",any_status,platform,appnexus,false,261800,24400,617754000,33916100,--,Unknown,--
NI,Nicaragua,1130,Orange Advertising Americas,"all",any_status,platform,appnexus,false,257000,14400,9909700,1441700,--,Unknown,--
NI,Nicaragua,1475,Lifestreet,"all",any_status,platform,appnexus,false,154900,4000,242585900,5057200,--,Unknown,--
NI,Nicaragua,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,134800,9700,66270000,5213700,--,Unknown,--
NI,Nicaragua,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,117700,2400,190575900,16112500,--,Unknown,--
NI,Nicaragua,1882,TapTica LTD,"all",any_status,platform,appnexus,false,92900,33800,87218100,23348500,--,Unknown,--
NI,Nicaragua,1356,bRealTime (select),"all",any_status,platform,appnexus,false,65800,9600,327708200,26451300,--,Unknown,--
NI,Nicaragua,882,AN Talent,"all",any_status,platform,appnexus,false,54900,8100,50438600,13544900,--,Unknown,--
NI,Nicaragua,3020,Mojiva II,"all",any_status,platform,appnexus,false,54300,4500,130720700,11697300,--,Unknown,--
NI,Nicaragua,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,46200,10600,103106400,11015600,--,Unknown,--
NI,Nicaragua,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,44900,1000,76563700,1162600,--,Unknown,--
NI,Nicaragua,1360,Sovrn,"all",any_status,platform,appnexus,false,34900,3000,400642400,23323000,--,Unknown,--
NI,Nicaragua,1548,Criteo,"all",any_status,external,appnexus,false,34000,5100,342165000,40879100,--,Unknown,--
NI,Nicaragua,884,Hi-Media,"all",any_status,platform,appnexus,false,33700,6400,78818800,7489400,--,Unknown,--
NI,Nicaragua,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,32800,24700,15959100,5178000,--,Unknown,--
NI,Nicaragua,541,CPXInteractive,"all",any_status,platform,appnexus,false,27600,3100,38468600,5292100,--,Unknown,--
NI,Nicaragua,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,24900,15000,5027900,2395500,--,Unknown,--
NI,Nicaragua,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,21400,5000,16374000,2597100,--,Unknown,--
NI,Nicaragua,3449,"Curiosity Media, Inc.","all",any_status,platform,appnexus,false,20400,700,8293600,244900,--,Unknown,--
NI,Nicaragua,3265,BRATECH SA,"all",any_status,platform,appnexus,false,17500,4700,8702600,2447900,--,Unknown,--
NI,Nicaragua,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,16800,1900,27850600,5122800,--,Unknown,--
NI,Nicaragua,928,Suite66,"all",any_status,platform,appnexus,false,15800,1400,4874500,704400,--,Unknown,--
NI,Nicaragua,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,15000,200,286290200,3534600,--,Unknown,--
NI,Nicaragua,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,14900,2700,50860000,7782600,--,Unknown,--
NI,Nicaragua,1749,W M Web Media,"all",any_status,platform,appnexus,false,12900,12600,16480000,3492000,--,Unknown,--
NI,Nicaragua,1354,Improve Digital,"all",any_status,platform,appnexus,false,12000,1500,617249300,18935700,--,Unknown,--
NI,Nicaragua,2023,RedMas Argentina S.A.,"all",any_status,platform,appnexus,false,10500,1800,6463900,834200,--,Unknown,--
NI,Nicaragua,956,Zodiak Active,"all",any_status,platform,appnexus,false,10100,1900,42149500,4493100,--,Unknown,--
NI,Nicaragua,3192,RTB Media,"all",any_status,platform,appnexus,false,10000,6100,9047300,2346100,--,Unknown,--
NI,Nicaragua,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,7900,5100,2121409200,520131400,--,Unknown,--
NI,Nicaragua,3208,Lyfe Media,"all",any_status,platform,appnexus,false,7800,300,3124700,202300,--,Unknown,--
NI,Nicaragua,406,CPM Only,"all",any_status,platform,appnexus,false,6900,400,22587800,1241100,--,Unknown,--
NI,Nicaragua,3442,Ampliffy,"all",any_status,platform,appnexus,false,6100,700,4220500,316000,--,Unknown,--
NI,Nicaragua,1226,AOL Marketplace,"all",any_status,external,appnexus,false,5800,900,239525900,16680800,--,Unknown,--
NI,Nicaragua,1613,Defy Media,"all",any_status,platform,appnexus,false,5000,400,73239200,4465300,--,Unknown,--
NI,Nicaragua,1908,District M,"all",any_status,platform,appnexus,false,4900,1700,85430500,9861500,--,Unknown,--
NI,Nicaragua,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,4800,1200,60998700,8550900,--,Unknown,--
NI,Nicaragua,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,4800,200,6341900,228700,--,Unknown,--
NI,Nicaragua,310,Technorati Media,"all",any_status,platform,appnexus,false,4700,900,64536800,6342900,--,Unknown,--
NI,Nicaragua,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,4400,600,67112200,3425500,--,Unknown,--
NI,Nicaragua,3492,StudyBreak Media,"all",any_status,platform,appnexus,false,4200,200,22300800,414400,--,Unknown,--
NI,Nicaragua,3204,Purch,"all",any_status,platform,appnexus,false,4200,900,33563400,4355800,--,Unknown,--
NI,Nicaragua,1939,152 Media LLC,"all",any_status,platform,appnexus,false,4100,1300,10516600,1985700,--,Unknown,--
NI,Nicaragua,1643,Fidelity Media,"all",any_status,platform,appnexus,false,4100,200,2190000,227800,--,Unknown,--
NI,Nicaragua,1081,Sonobi,"all",any_status,platform,appnexus,false,3900,1000,41318500,4009000,--,Unknown,--
NI,Nicaragua,3356,Livingly Media Inc,"all",any_status,platform,appnexus,false,3800,100,24284900,766700,--,Unknown,--
NI,Nicaragua,740,NetSeer Inc,"all",any_status,platform,appnexus,false,3700,1100,7306400,1136500,--,Unknown,--
NI,Nicaragua,3450,Northern & Shell,"all",any_status,platform,appnexus,false,3400,100,2119900,290900,--,Unknown,--
NI,Nicaragua,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,3300,1300,7319800,1991600,--,Unknown,--
NI,Nicaragua,2804,Adshoard,"all",any_status,platform,appnexus,false,3200,200,15208300,1517700,--,Unknown,--
NI,Nicaragua,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,3100,500,35500900,5026100,--,Unknown,--
NI,Nicaragua,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,3100,1600,11679100,3946900,--,Unknown,--
NI,Nicaragua,2721,Kiosked,"all",any_status,platform,appnexus,false,3000,1100,84569700,10245200,--,Unknown,--
NI,Nicaragua,2465,AdMetrics Media Ltd Premium Exchange,"all",any_status,platform,appnexus,false,2800,700,1057900,230700,--,Unknown,--
NI,Nicaragua,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,2800,600,166429900,7648600,--,Unknown,--
NI,Nicaragua,1357,bRealTime,"all",any_status,platform,appnexus,false,2700,800,12048300,1469800,--,Unknown,--
NI,Nicaragua,2249,Komli Media Inc.,"all",any_status,platform,appnexus,false,2700,100,2805200,221700,--,Unknown,--
NI,Nicaragua,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,2600,100,430811700,17143500,--,Unknown,--
NI,Nicaragua,1756,Adversal.com,"all",any_status,platform,appnexus,false,2600,1000,14173900,1426500,--,Unknown,--
NI,Nicaragua,1583,Admeta AB,"all",any_status,platform,appnexus,false,2500,100,14256000,1033900,--,Unknown,--
