geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
NO,Norway,181,Google AdExchange,"all",any_status,external,appnexus,false,103738800,2985700,28233867400,959451500,--,Unknown,--
NO,Norway,1354,Improve Digital,"all",any_status,platform,appnexus,false,64986600,921500,617249300,18935700,--,Unknown,--
NO,Norway,459,Rubicon,"all",any_status,external,appnexus,false,31416700,1073100,5398288100,219468400,--,Unknown,--
NO,Norway,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,11477800,739000,1866171500,134504500,--,Unknown,--
NO,Norway,357,OpenX,"all",any_status,external,appnexus,false,8227600,177100,5480947400,127566900,--,Unknown,--
NO,Norway,74,PubMatic,"all",any_status,external,appnexus,false,4416400,195500,1408932400,73943500,--,Unknown,--
NO,Norway,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,4134900,106900,2174215700,44278600,--,Unknown,--
NO,Norway,1548,Criteo,"all",any_status,external,appnexus,false,1540700,179500,342165000,40879100,--,Unknown,--
NO,Norway,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1406300,85300,1206552000,52265100,--,Unknown,--
NO,Norway,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1404700,90300,327708200,26451300,--,Unknown,--
NO,Norway,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,1194200,51800,271311100,17933900,--,Unknown,--
NO,Norway,1360,Sovrn,"all",any_status,platform,appnexus,false,1120200,59200,400642400,23323000,--,Unknown,--
NO,Norway,2850,MobFox,"all",any_status,platform,appnexus,false,1079800,66400,617754000,33916100,--,Unknown,--
NO,Norway,1226,AOL Marketplace,"all",any_status,external,appnexus,false,1019500,99100,239525900,16680800,--,Unknown,--
NO,Norway,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,947100,38300,190575900,16112500,--,Unknown,--
NO,Norway,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,844800,27200,166429900,7648600,--,Unknown,--
NO,Norway,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,763400,24800,103106400,11015600,--,Unknown,--
NO,Norway,310,Technorati Media,"all",any_status,platform,appnexus,false,656600,30900,64536800,6342900,--,Unknown,--
NO,Norway,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,624500,34800,430811700,17143500,--,Unknown,--
NO,Norway,1882,TapTica LTD,"all",any_status,platform,appnexus,false,594800,100200,87218100,23348500,--,Unknown,--
NO,Norway,1475,Lifestreet,"all",any_status,platform,appnexus,false,542300,13100,242585900,5057200,--,Unknown,--
NO,Norway,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,500600,41300,50498400,3809900,--,Unknown,--
NO,Norway,2732,Matchflow Media,"all",any_status,platform,appnexus,false,479900,2800,7335600,1014400,--,Unknown,--
NO,Norway,1583,Admeta AB,"all",any_status,platform,appnexus,false,433900,99700,14256000,1033900,--,Unknown,--
NO,Norway,2721,Kiosked,"all",any_status,platform,appnexus,false,311900,26700,84569700,10245200,--,Unknown,--
NO,Norway,1613,Defy Media,"all",any_status,platform,appnexus,false,261800,10700,73239200,4465300,--,Unknown,--
NO,Norway,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,232000,11800,19737800,1365600,--,Unknown,--
NO,Norway,1908,District M,"all",any_status,platform,appnexus,false,172800,21000,85430500,9861500,--,Unknown,--
NO,Norway,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,166600,4000,76563700,1162600,--,Unknown,--
NO,Norway,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,164600,94300,2121409200,520131400,--,Unknown,--
NO,Norway,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,156700,23800,50860000,7782600,--,Unknown,--
NO,Norway,3204,Purch,"all",any_status,platform,appnexus,false,153100,22900,33563400,4355800,--,Unknown,--
NO,Norway,541,CPXInteractive,"all",any_status,platform,appnexus,false,152300,26000,38468600,5292100,--,Unknown,--
NO,Norway,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,151700,30600,93859100,18219400,--,Unknown,--
NO,Norway,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,140500,29700,60998700,8550900,--,Unknown,--
NO,Norway,2365,SouthernX,"all",any_status,platform,appnexus,false,126100,20800,9032200,796600,--,Unknown,--
NO,Norway,1611,Headway Digital,"all",any_status,platform,appnexus,false,99500,2600,14236300,1268000,--,Unknown,--
NO,Norway,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,95000,9500,27850600,5122800,--,Unknown,--
NO,Norway,3020,Mojiva II,"all",any_status,platform,appnexus,false,84100,3100,130720700,11697300,--,Unknown,--
NO,Norway,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,81900,4400,16374000,2597100,--,Unknown,--
NO,Norway,1608,Audience Square,"all",any_status,platform,appnexus,false,76900,9000,105327200,8530300,--,Unknown,--
NO,Norway,1507,Zynga,"all",any_status,platform,appnexus,false,69800,4700,5930500,1179400,--,Unknown,--
NO,Norway,818,MediaShakers,"all",any_status,platform,appnexus,false,69500,10400,9935200,1579700,--,Unknown,--
NO,Norway,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,66900,15400,18452300,6512900,--,Unknown,--
NO,Norway,1081,Sonobi,"all",any_status,platform,appnexus,false,66700,6900,41318500,4009000,--,Unknown,--
NO,Norway,1942,Floor6,"all",any_status,platform,appnexus,false,60200,8300,41027600,5864100,--,Unknown,--
NO,Norway,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,59100,21600,11679100,3946900,--,Unknown,--
NO,Norway,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,56600,40900,15959100,5178000,--,Unknown,--
NO,Norway,882,AN Talent,"all",any_status,platform,appnexus,false,55300,15600,50438600,13544900,--,Unknown,--
NO,Norway,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,53300,6700,35500900,5026100,--,Unknown,--
NO,Norway,3508,Proper Media LLC,"all",any_status,platform,appnexus,false,52000,900,6143900,144300,--,Unknown,--
NO,Norway,2420,TailWind 3,"all",any_status,platform,appnexus,false,47200,9900,10261300,2274800,--,Unknown,--
NO,Norway,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,45600,14600,7319800,1991600,--,Unknown,--
NO,Norway,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,44700,7000,67112200,3425500,--,Unknown,--
NO,Norway,1749,W M Web Media,"all",any_status,platform,appnexus,false,44200,9600,16480000,3492000,--,Unknown,--
NO,Norway,1530,AdPrudence,"all",any_status,platform,appnexus,false,44100,22600,7290300,3996400,--,Unknown,--
