geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
PA,Panama,181,Google AdExchange,"all",any_status,external,appnexus,false,21188400,741100,28233867400,959451500,--,Unknown,--
PA,Panama,357,OpenX,"all",any_status,external,appnexus,false,2575200,50500,5480947400,127566900,--,Unknown,--
PA,Panama,459,Rubicon,"all",any_status,external,appnexus,false,2481600,95300,5398288100,219468400,--,Unknown,--
PA,Panama,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,1833900,69800,1206552000,52265100,--,Unknown,--
PA,Panama,2850,MobFox,"all",any_status,platform,appnexus,false,1102200,44500,617754000,33916100,--,Unknown,--
PA,Panama,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,848900,58300,1866171500,134504500,--,Unknown,--
PA,Panama,74,PubMatic,"all",any_status,external,appnexus,false,765800,21700,1408932400,73943500,--,Unknown,--
PA,Panama,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,583000,12800,2174215700,44278600,--,Unknown,--
PA,Panama,3020,Mojiva II,"all",any_status,platform,appnexus,false,391900,22400,130720700,11697300,--,Unknown,--
PA,Panama,1130,Orange Advertising Americas,"all",any_status,platform,appnexus,false,257500,21800,9909700,1441700,--,Unknown,--
PA,Panama,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,193700,15900,66270000,5213700,--,Unknown,--
PA,Panama,1356,bRealTime (select),"all",any_status,platform,appnexus,false,177600,13000,327708200,26451300,--,Unknown,--
PA,Panama,882,AN Talent,"all",any_status,platform,appnexus,false,115300,24400,50438600,13544900,--,Unknown,--
PA,Panama,1360,Sovrn,"all",any_status,platform,appnexus,false,105000,8400,400642400,23323000,--,Unknown,--
PA,Panama,1475,Lifestreet,"all",any_status,platform,appnexus,false,99800,3100,242585900,5057200,--,Unknown,--
PA,Panama,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,92200,13100,50860000,7782600,--,Unknown,--
