geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
PH,Philippines,181,Google AdExchange,"all",any_status,external,appnexus,false,237671500,7942900,28233867400,959451500,--,Unknown,--
PH,Philippines,357,OpenX,"all",any_status,external,appnexus,false,80253800,1634600,5480947400,127566900,--,Unknown,--
PH,Philippines,459,Rubicon,"all",any_status,external,appnexus,false,17898200,1296100,5398288100,219468400,--,Unknown,--
PH,Philippines,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,14419700,369100,2174215700,44278600,--,Unknown,--
PH,Philippines,1475,Lifestreet,"all",any_status,platform,appnexus,false,11743500,286800,242585900,5057200,--,Unknown,--
PH,Philippines,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,11454000,465500,1206552000,52265100,--,Unknown,--
PH,Philippines,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,10826600,930400,1866171500,134504500,--,Unknown,--
PH,Philippines,74,PubMatic,"all",any_status,external,appnexus,false,10253500,792800,1408932400,73943500,--,Unknown,--
PH,Philippines,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,6941200,57300,76563700,1162600,--,Unknown,--
PH,Philippines,2850,MobFox,"all",any_status,platform,appnexus,false,4266400,234000,617754000,33916100,--,Unknown,--
PH,Philippines,1356,bRealTime (select),"all",any_status,platform,appnexus,false,3792600,380600,327708200,26451300,--,Unknown,--
PH,Philippines,1360,Sovrn,"all",any_status,platform,appnexus,false,3564000,306700,400642400,23323000,--,Unknown,--
PH,Philippines,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,3538200,113500,93859100,18219400,--,Unknown,--
PH,Philippines,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,3227100,249800,341724700,17293700,--,Unknown,--
PH,Philippines,1836,Xaxis - Philippines,"all",any_status,platform,appnexus,false,2733600,648600,8096600,1668000,--,Unknown,--
PH,Philippines,2721,Kiosked,"all",any_status,platform,appnexus,false,2397700,480500,84569700,10245200,--,Unknown,--
PH,Philippines,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,2252800,94700,190575900,16112500,--,Unknown,--
PH,Philippines,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,1414300,122600,19737800,1365600,--,Unknown,--
PH,Philippines,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,1254200,188500,51953900,4345700,--,Unknown,--
