geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
PL,Poland,181,Google AdExchange,"all",any_status,external,appnexus,false,510886600,14145000,28233867400,959451500,--,Unknown,--
PL,Poland,459,Rubicon,"all",any_status,external,appnexus,false,80041300,4754500,5398288100,219468400,--,Unknown,--
PL,Poland,357,OpenX,"all",any_status,external,appnexus,false,49577100,2154700,5480947400,127566900,--,Unknown,--
PL,Poland,74,PubMatic,"all",any_status,external,appnexus,false,23024100,2101900,1408932400,73943500,--,Unknown,--
PL,Poland,1354,Improve Digital,"all",any_status,platform,appnexus,false,18365900,270100,617249300,18935700,--,Unknown,--
PL,Poland,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,10598000,1725600,1866171500,134504500,--,Unknown,--
PL,Poland,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,9081000,105400,2174215700,44278600,--,Unknown,--
PL,Poland,1548,Criteo,"all",any_status,external,appnexus,false,5331400,728300,342165000,40879100,--,Unknown,--
PL,Poland,2850,MobFox,"all",any_status,platform,appnexus,false,4462400,185700,617754000,33916100,--,Unknown,--
PL,Poland,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,4249700,210500,1206552000,52265100,--,Unknown,--
PL,Poland,3457,Grupa Wirtualna Polska S.A.,"all",any_status,platform,appnexus,false,4236000,1186100,4710700,1329700,--,Unknown,--
PL,Poland,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,3579300,167700,166429900,7648600,--,Unknown,--
PL,Poland,1356,bRealTime (select),"all",any_status,platform,appnexus,false,2962100,211900,327708200,26451300,--,Unknown,--
PL,Poland,1360,Sovrn,"all",any_status,platform,appnexus,false,2038000,100900,400642400,23323000,--,Unknown,--
PL,Poland,1475,Lifestreet,"all",any_status,platform,appnexus,false,2027100,61900,242585900,5057200,--,Unknown,--
PL,Poland,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,1618300,110000,271311100,17933900,--,Unknown,--
PL,Poland,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,1328200,108200,190575900,16112500,--,Unknown,--
PL,Poland,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,1292700,106800,51953900,4345700,--,Unknown,--
PL,Poland,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,955500,18600,76563700,1162600,--,Unknown,--
PL,Poland,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,702200,54300,93859100,18219400,--,Unknown,--
PL,Poland,2637,Matomy Content Network,"all",any_status,platform,appnexus,false,625700,350100,18055600,4241400,--,Unknown,--
