geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
PT,Portugal,181,Google AdExchange,"all",any_status,external,appnexus,false,80281700,3236500,28233867400,959451500,--,Unknown,--
PT,Portugal,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,23430700,1330800,1866171500,134504500,--,Unknown,--
PT,Portugal,459,Rubicon,"all",any_status,external,appnexus,false,22976700,760400,5398288100,219468400,--,Unknown,--
PT,Portugal,357,OpenX,"all",any_status,external,appnexus,false,15886900,373900,5480947400,127566900,--,Unknown,--
PT,Portugal,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,4788600,72600,2174215700,44278600,--,Unknown,--
PT,Portugal,74,PubMatic,"all",any_status,external,appnexus,false,4353800,213500,1408932400,73943500,--,Unknown,--
PT,Portugal,1548,Criteo,"all",any_status,external,appnexus,false,3846300,270000,342165000,40879100,--,Unknown,--
PT,Portugal,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,2305400,86400,1206552000,52265100,--,Unknown,--
PT,Portugal,1475,Lifestreet,"all",any_status,platform,appnexus,false,1890200,42100,242585900,5057200,--,Unknown,--
PT,Portugal,2850,MobFox,"all",any_status,platform,appnexus,false,1594800,78500,617754000,33916100,--,Unknown,--
PT,Portugal,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1125200,98600,327708200,26451300,--,Unknown,--
PT,Portugal,1354,Improve Digital,"all",any_status,platform,appnexus,false,1083600,52200,617249300,18935700,--,Unknown,--
PT,Portugal,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,904000,36400,190575900,16112500,--,Unknown,--
PT,Portugal,1360,Sovrn,"all",any_status,platform,appnexus,false,884200,49500,400642400,23323000,--,Unknown,--
PT,Portugal,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,446100,31400,271311100,17933900,--,Unknown,--
PT,Portugal,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,435600,32800,66270000,5213700,--,Unknown,--
PT,Portugal,1882,TapTica LTD,"all",any_status,platform,appnexus,false,292600,154300,87218100,23348500,--,Unknown,--
PT,Portugal,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,273000,6800,76563700,1162600,--,Unknown,--
PT,Portugal,884,Hi-Media,"all",any_status,platform,appnexus,false,237600,21800,78818800,7489400,--,Unknown,--
PT,Portugal,541,CPXInteractive,"all",any_status,platform,appnexus,false,220600,26200,38468600,5292100,--,Unknown,--
PT,Portugal,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,220500,14600,67112200,3425500,--,Unknown,--
PT,Portugal,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,218700,30600,50860000,7782600,--,Unknown,--
PT,Portugal,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,197200,13900,166429900,7648600,--,Unknown,--
PT,Portugal,1608,Audience Square,"all",any_status,platform,appnexus,false,184000,9600,105327200,8530300,--,Unknown,--
PT,Portugal,310,Technorati Media,"all",any_status,platform,appnexus,false,163800,19200,64536800,6342900,--,Unknown,--
PT,Portugal,2721,Kiosked,"all",any_status,platform,appnexus,false,163200,20100,84569700,10245200,--,Unknown,--
PT,Portugal,1413,DTCN,"all",any_status,platform,appnexus,false,158600,1100,3607300,146200,--,Unknown,--
PT,Portugal,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,152300,15600,27850600,5122800,--,Unknown,--
PT,Portugal,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,149200,40500,93859100,18219400,--,Unknown,--
PT,Portugal,1756,Adversal.com,"all",any_status,platform,appnexus,false,142000,2900,14173900,1426500,--,Unknown,--
PT,Portugal,1908,District M,"all",any_status,platform,appnexus,false,126100,24100,85430500,9861500,--,Unknown,--
PT,Portugal,3204,Purch,"all",any_status,platform,appnexus,false,123800,14200,33563400,4355800,--,Unknown,--
PT,Portugal,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,119700,16900,103106400,11015600,--,Unknown,--
PT,Portugal,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,112400,68200,2121409200,520131400,--,Unknown,--
PT,Portugal,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,103500,22700,60998700,8550900,--,Unknown,--
PT,Portugal,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,98600,16000,37441400,3708500,--,Unknown,--
PT,Portugal,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,96700,10800,51953900,4345700,--,Unknown,--
PT,Portugal,3020,Mojiva II,"all",any_status,platform,appnexus,false,86600,5700,130720700,11697300,--,Unknown,--
PT,Portugal,882,AN Talent,"all",any_status,platform,appnexus,false,84900,26500,50438600,13544900,--,Unknown,--
PT,Portugal,1226,AOL Marketplace,"all",any_status,external,appnexus,false,82900,4600,239525900,16680800,--,Unknown,--
PT,Portugal,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,78700,4300,21596300,4597200,--,Unknown,--
PT,Portugal,956,Zodiak Active,"all",any_status,platform,appnexus,false,75000,5000,42149500,4493100,--,Unknown,--
PT,Portugal,3153,152 Media Select,"all",any_status,platform,appnexus,false,69900,700,2747300,124000,--,Unknown,--
PT,Portugal,1942,Floor6,"all",any_status,platform,appnexus,false,68800,7900,41027600,5864100,--,Unknown,--
PT,Portugal,1530,AdPrudence,"all",any_status,platform,appnexus,false,66300,27800,7290300,3996400,--,Unknown,--
