geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
RO,Romania,181,Google AdExchange,"all",any_status,external,appnexus,false,145091300,5447100,28233867400,959451500,--,Unknown,--
RO,Romania,459,Rubicon,"all",any_status,external,appnexus,false,18981600,831600,5398288100,219468400,--,Unknown,--
RO,Romania,357,OpenX,"all",any_status,external,appnexus,false,15180300,374300,5480947400,127566900,--,Unknown,--
RO,Romania,1548,Criteo,"all",any_status,external,appnexus,false,9399400,1077700,342165000,40879100,--,Unknown,--
RO,Romania,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,4399700,547000,1866171500,134504500,--,Unknown,--
RO,Romania,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,4010100,84000,2174215700,44278600,--,Unknown,--
RO,Romania,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,3774200,144300,1206552000,52265100,--,Unknown,--
RO,Romania,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,3200600,257000,67112200,3425500,--,Unknown,--
RO,Romania,74,PubMatic,"all",any_status,external,appnexus,false,3119500,118900,1408932400,73943500,--,Unknown,--
RO,Romania,882,AN Talent,"all",any_status,platform,appnexus,false,2582100,830000,50438600,13544900,--,Unknown,--
RO,Romania,2026,Tailwind 1,"all",any_status,platform,appnexus,false,2358500,303700,7959300,783700,--,Unknown,--
RO,Romania,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,2278600,95100,166429900,7648600,--,Unknown,--
RO,Romania,2850,MobFox,"all",any_status,platform,appnexus,false,2159500,160700,617754000,33916100,--,Unknown,--
RO,Romania,1475,Lifestreet,"all",any_status,platform,appnexus,false,1953000,64300,242585900,5057200,--,Unknown,--
RO,Romania,2725,Project Agora (Tailwind EMEA Ltd),"all",any_status,platform,appnexus,false,1837500,693300,5286600,1498600,--,Unknown,--
RO,Romania,1354,Improve Digital,"all",any_status,platform,appnexus,false,1518100,20200,617249300,18935700,--,Unknown,--
RO,Romania,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1329000,133300,327708200,26451300,--,Unknown,--
RO,Romania,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,1081400,36100,430811700,17143500,--,Unknown,--
RO,Romania,1360,Sovrn,"all",any_status,platform,appnexus,false,1002200,62000,400642400,23323000,--,Unknown,--
RO,Romania,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,502000,6700,76563700,1162600,--,Unknown,--
RO,Romania,2014,"Conversant, Inc","all",any_status,platform,appnexus,false,495800,14400,240771800,9943500,--,Unknown,--
RO,Romania,1882,TapTica LTD,"all",any_status,platform,appnexus,false,395700,220000,87218100,23348500,--,Unknown,--
RO,Romania,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,382600,31400,190575900,16112500,--,Unknown,--
RO,Romania,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,363800,89400,93859100,18219400,--,Unknown,--
RO,Romania,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,330300,52200,50860000,7782600,--,Unknown,--
RO,Romania,1081,Sonobi,"all",any_status,platform,appnexus,false,306500,22200,41318500,4009000,--,Unknown,--
RO,Romania,1619,ReklamStore,"all",any_status,platform,appnexus,false,304000,63300,32005800,4616300,--,Unknown,--
RO,Romania,956,Zodiak Active,"all",any_status,platform,appnexus,false,283100,27800,42149500,4493100,--,Unknown,--
RO,Romania,541,CPXInteractive,"all",any_status,platform,appnexus,false,224900,26500,38468600,5292100,--,Unknown,--
RO,Romania,3204,Purch,"all",any_status,platform,appnexus,false,222500,22700,33563400,4355800,--,Unknown,--
RO,Romania,310,Technorati Media,"all",any_status,platform,appnexus,false,206500,20400,64536800,6342900,--,Unknown,--
RO,Romania,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,196200,5600,46631800,2549100,--,Unknown,--
RO,Romania,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,193500,23200,103106400,11015600,--,Unknown,--
RO,Romania,1939,152 Media LLC,"all",any_status,platform,appnexus,false,169900,28000,10516600,1985700,--,Unknown,--
RO,Romania,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,168100,41700,60998700,8550900,--,Unknown,--
RO,Romania,1908,District M,"all",any_status,platform,appnexus,false,163600,19400,85430500,9861500,--,Unknown,--
RO,Romania,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,162700,93000,2121409200,520131400,--,Unknown,--
RO,Romania,3020,Mojiva II,"all",any_status,platform,appnexus,false,159100,10300,130720700,11697300,--,Unknown,--
RO,Romania,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,150700,27700,37441400,3708500,--,Unknown,--
RO,Romania,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,149400,18600,27850600,5122800,--,Unknown,--
RO,Romania,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,144900,20200,51953900,4345700,--,Unknown,--
RO,Romania,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,143800,16400,21596300,4597200,--,Unknown,--
RO,Romania,1613,Defy Media,"all",any_status,platform,appnexus,false,139500,12700,73239200,4465300,--,Unknown,--
