geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
RU,Russian Federation,181,Google AdExchange,"all",any_status,external,appnexus,false,1116941300,33136000,28233867400,959451500,--,Unknown,--
RU,Russian Federation,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,80388300,1691200,2174215700,44278600,--,Unknown,--
RU,Russian Federation,459,Rubicon,"all",any_status,external,appnexus,false,62923700,3520000,5398288100,219468400,--,Unknown,--
RU,Russian Federation,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,60147500,6250500,1866171500,134504500,--,Unknown,--
RU,Russian Federation,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,46461100,2245600,1206552000,52265100,--,Unknown,--
RU,Russian Federation,357,OpenX,"all",any_status,external,appnexus,false,41356800,622800,5480947400,127566900,--,Unknown,--
RU,Russian Federation,2850,MobFox,"all",any_status,platform,appnexus,false,40125700,2463900,617754000,33916100,--,Unknown,--
RU,Russian Federation,1548,Criteo,"all",any_status,external,appnexus,false,17900200,1955700,342165000,40879100,--,Unknown,--
RU,Russian Federation,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,12712200,495000,166429900,7648600,--,Unknown,--
RU,Russian Federation,74,PubMatic,"all",any_status,external,appnexus,false,8085500,450900,1408932400,73943500,--,Unknown,--
RU,Russian Federation,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,4961600,1539700,271311100,17933900,--,Unknown,--
RU,Russian Federation,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,3793800,80100,76563700,1162600,--,Unknown,--
RU,Russian Federation,1356,bRealTime (select),"all",any_status,platform,appnexus,false,3305200,319400,327708200,26451300,--,Unknown,--
RU,Russian Federation,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,3096700,442300,50860000,7782600,--,Unknown,--
RU,Russian Federation,3020,Mojiva II,"all",any_status,platform,appnexus,false,2187600,126800,130720700,11697300,--,Unknown,--
RU,Russian Federation,1360,Sovrn,"all",any_status,platform,appnexus,false,1943400,116200,400642400,23323000,--,Unknown,--
RU,Russian Federation,1475,Lifestreet,"all",any_status,platform,appnexus,false,1897900,55400,242585900,5057200,--,Unknown,--
RU,Russian Federation,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,1897800,527200,93859100,18219400,--,Unknown,--
