geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
RS,Serbia,181,Google AdExchange,"all",any_status,external,appnexus,false,64030700,2125100,28233867400,959451500,--,Unknown,--
RS,Serbia,459,Rubicon,"all",any_status,external,appnexus,false,25977000,821700,5398288100,219468400,--,Unknown,--
RS,Serbia,357,OpenX,"all",any_status,external,appnexus,false,15365200,530200,5480947400,127566900,--,Unknown,--
RS,Serbia,74,PubMatic,"all",any_status,external,appnexus,false,9237800,114800,1408932400,73943500,--,Unknown,--
RS,Serbia,1548,Criteo,"all",any_status,external,appnexus,false,7264000,556900,342165000,40879100,--,Unknown,--
RS,Serbia,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,2483200,50600,2174215700,44278600,--,Unknown,--
RS,Serbia,1475,Lifestreet,"all",any_status,platform,appnexus,false,1682000,42900,242585900,5057200,--,Unknown,--
RS,Serbia,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,1681400,174900,1866171500,134504500,--,Unknown,--
RS,Serbia,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,1591800,104800,166429900,7648600,--,Unknown,--
RS,Serbia,2850,MobFox,"all",any_status,platform,appnexus,false,1022700,85600,617754000,33916100,--,Unknown,--
RS,Serbia,1356,bRealTime (select),"all",any_status,platform,appnexus,false,842700,55900,327708200,26451300,--,Unknown,--
RS,Serbia,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,793300,37300,1206552000,52265100,--,Unknown,--
RS,Serbia,1360,Sovrn,"all",any_status,platform,appnexus,false,654900,32600,400642400,23323000,--,Unknown,--
RS,Serbia,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,494900,8200,76563700,1162600,--,Unknown,--
RS,Serbia,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,439100,19200,430811700,17143500,--,Unknown,--
RS,Serbia,1354,Improve Digital,"all",any_status,platform,appnexus,false,303600,12200,617249300,18935700,--,Unknown,--
RS,Serbia,1081,Sonobi,"all",any_status,platform,appnexus,false,298300,66700,41318500,4009000,--,Unknown,--
RS,Serbia,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,250900,18300,190575900,16112500,--,Unknown,--
RS,Serbia,956,Zodiak Active,"all",any_status,platform,appnexus,false,210200,27900,42149500,4493100,--,Unknown,--
RS,Serbia,541,CPXInteractive,"all",any_status,platform,appnexus,false,203800,34400,38468600,5292100,--,Unknown,--
RS,Serbia,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,192300,23200,271311100,17933900,--,Unknown,--
RS,Serbia,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,137900,20000,93859100,18219400,--,Unknown,--
RS,Serbia,1613,Defy Media,"all",any_status,platform,appnexus,false,129700,7700,73239200,4465300,--,Unknown,--
RS,Serbia,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,121800,10900,27850600,5122800,--,Unknown,--
RS,Serbia,310,Technorati Media,"all",any_status,platform,appnexus,false,118000,14300,64536800,6342900,--,Unknown,--
RS,Serbia,1908,District M,"all",any_status,platform,appnexus,false,107400,9800,85430500,9861500,--,Unknown,--
RS,Serbia,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,94200,7800,37441400,3708500,--,Unknown,--
RS,Serbia,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,89200,1700,46631800,2549100,--,Unknown,--
RS,Serbia,3204,Purch,"all",any_status,platform,appnexus,false,87500,11000,33563400,4355800,--,Unknown,--
RS,Serbia,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,86600,13200,50860000,7782600,--,Unknown,--
RS,Serbia,1882,TapTica LTD,"all",any_status,platform,appnexus,false,85900,53300,87218100,23348500,--,Unknown,--
RS,Serbia,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,79600,19300,60998700,8550900,--,Unknown,--
RS,Serbia,928,Suite66,"all",any_status,platform,appnexus,false,75900,11700,4874500,704400,--,Unknown,--
RS,Serbia,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,74400,14300,103106400,11015600,--,Unknown,--
RS,Serbia,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,68400,41900,2121409200,520131400,--,Unknown,--
RS,Serbia,2721,Kiosked,"all",any_status,platform,appnexus,false,64500,10200,84569700,10245200,--,Unknown,--
RS,Serbia,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,64400,37500,8000000,1228100,--,Unknown,--
RS,Serbia,1939,152 Media LLC,"all",any_status,platform,appnexus,false,61600,11700,10516600,1985700,--,Unknown,--
RS,Serbia,1405,Adscale GmbH,"all",any_status,external,appnexus,false,59000,1200,24769000,2453000,--,Unknown,--
RS,Serbia,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,47400,600,286290200,3534600,--,Unknown,--
RS,Serbia,3153,152 Media Select,"all",any_status,platform,appnexus,false,44800,600,2747300,124000,--,Unknown,--
RS,Serbia,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,44200,4100,19737800,1365600,--,Unknown,--
RS,Serbia,3020,Mojiva II,"all",any_status,platform,appnexus,false,43000,2800,130720700,11697300,--,Unknown,--
RS,Serbia,1942,Floor6,"all",any_status,platform,appnexus,false,42800,5000,41027600,5864100,--,Unknown,--
RS,Serbia,3192,RTB Media,"all",any_status,platform,appnexus,false,41500,16300,9047300,2346100,--,Unknown,--
RS,Serbia,3380,Redview Media (TailWind EMEA Ltd.),"all",any_status,platform,appnexus,false,37900,14400,3313700,736000,--,Unknown,--
RS,Serbia,86,Photobucket,"all",any_status,external,appnexus,false,34800,2500,10687900,596400,--,Unknown,--
RS,Serbia,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,32800,5100,16374000,2597100,--,Unknown,--
RS,Serbia,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,30900,1900,35500900,5026100,--,Unknown,--
RS,Serbia,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,26600,1400,6341900,228700,--,Unknown,--
RS,Serbia,568,Httpool,"all",any_status,platform,appnexus,false,26000,2900,4528700,487200,--,Unknown,--
RS,Serbia,1357,bRealTime,"all",any_status,platform,appnexus,false,25600,6400,12048300,1469800,--,Unknown,--
RS,Serbia,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,24800,5700,21596300,4597200,--,Unknown,--
RS,Serbia,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,24200,1400,50498400,3809900,--,Unknown,--
RS,Serbia,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,23400,9600,11679100,3946900,--,Unknown,--
RS,Serbia,1888,"Chitika, Inc.","all",any_status,platform,appnexus,false,22300,2300,3909100,819600,--,Unknown,--
RS,Serbia,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,21300,2600,68302300,5161300,--,Unknown,--
RS,Serbia,2688,Metric Science,"all",any_status,platform,appnexus,false,21200,2600,9565700,2018900,--,Unknown,--
RS,Serbia,1413,DTCN,"all",any_status,platform,appnexus,false,20500,700,3607300,146200,--,Unknown,--
RS,Serbia,648,Unanimis Consulting Limited,"all",any_status,platform,appnexus,true,18000,1600,2358300,245600,--,Unknown,--
RS,Serbia,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,17900,9000,18452300,6512900,--,Unknown,--
RS,Serbia,3006,CodeFuel,"all",any_status,platform,appnexus,false,16900,5900,754300,274900,--,Unknown,--
RS,Serbia,1643,Fidelity Media,"all",any_status,platform,appnexus,false,16800,1900,2190000,227800,--,Unknown,--
RS,Serbia,996,WebAds IT,"all",any_status,platform,appnexus,false,16500,600,11291200,463000,--,Unknown,--
RS,Serbia,884,Hi-Media,"all",any_status,platform,appnexus,false,15900,1500,78818800,7489400,--,Unknown,--
RS,Serbia,1756,Adversal.com,"all",any_status,platform,appnexus,false,15600,2400,14173900,1426500,--,Unknown,--
RS,Serbia,882,AN Talent,"all",any_status,platform,appnexus,false,15200,5000,50438600,13544900,--,Unknown,--
RS,Serbia,806,Venatus Media,"all",any_status,platform,appnexus,false,14700,1800,5557600,602200,--,Unknown,--
RS,Serbia,3265,BRATECH SA,"all",any_status,platform,appnexus,false,13900,6000,8702600,2447900,--,Unknown,--
RS,Serbia,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,13900,3300,19222500,1853100,--,Unknown,--
RS,Serbia,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,13700,2200,67112200,3425500,--,Unknown,--
RS,Serbia,2670,AD2ONE LTD,"all",any_status,platform,appnexus,false,13100,700,4430900,730200,--,Unknown,--
RS,Serbia,1619,ReklamStore,"all",any_status,platform,appnexus,false,13100,3300,32005800,4616300,--,Unknown,--
RS,Serbia,3356,Livingly Media Inc,"all",any_status,platform,appnexus,false,12600,700,24284900,766700,--,Unknown,--
RS,Serbia,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,12500,3300,7319800,1991600,--,Unknown,--
RS,Serbia,2251,Waypoint Media,"all",any_status,platform,appnexus,false,12300,1200,3297000,184900,--,Unknown,--
RS,Serbia,2568,Engage:BDR,"all",any_status,platform,appnexus,false,11600,200,13185900,896900,--,Unknown,--
RS,Serbia,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,11100,2600,15959100,5178000,--,Unknown,--
RS,Serbia,927,Adgorithms,"all",any_status,platform,appnexus,false,9800,500,6947600,360600,--,Unknown,--
RS,Serbia,946,Advertise.com,"all",any_status,platform,appnexus,false,9800,200,1096500,221100,--,Unknown,--
RS,Serbia,1608,Audience Square,"all",any_status,platform,appnexus,false,9600,1300,105327200,8530300,--,Unknown,--
RS,Serbia,3264,Accvee Premium,"all",any_status,platform,appnexus,false,9400,1300,2386500,486600,--,Unknown,--
RS,Serbia,1019,OnScroll Limited,"all",any_status,platform,appnexus,false,9200,1400,6251600,665800,--,Unknown,--
RS,Serbia,1656,Media White,"all",any_status,platform,appnexus,false,8900,800,865800,70500,--,Unknown,--
RS,Serbia,2662,Aim4Media BV,"all",any_status,platform,appnexus,false,8800,200,3003300,282300,--,Unknown,--
RS,Serbia,1922,Pub Ventures Media Corp,"all",any_status,platform,appnexus,false,8400,1000,5545300,875700,--,Unknown,--
RS,Serbia,1792,Gourmet Ads Pty Limited,"all",any_status,platform,appnexus,false,8100,1500,8224700,1803300,--,Unknown,--
RS,Serbia,3208,Lyfe Media,"all",any_status,platform,appnexus,false,7900,300,3124700,202300,--,Unknown,--
RS,Serbia,1755,Digital Throttle,"all",any_status,platform,appnexus,false,7800,400,3712700,358400,--,Unknown,--
RS,Serbia,1530,AdPrudence,"all",any_status,platform,appnexus,false,7500,1200,7290300,3996400,--,Unknown,--
