geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
SG,Singapore,181,Google AdExchange,"all",any_status,external,appnexus,false,109393400,3993000,28233867400,959451500,--,Unknown,--
SG,Singapore,357,OpenX,"all",any_status,external,appnexus,false,16266300,487600,5480947400,127566900,--,Unknown,--
SG,Singapore,459,Rubicon,"all",any_status,external,appnexus,false,14652600,718300,5398288100,219468400,--,Unknown,--
SG,Singapore,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,10892700,220600,2174215700,44278600,--,Unknown,--
SG,Singapore,74,PubMatic,"all",any_status,external,appnexus,false,7229800,433700,1408932400,73943500,--,Unknown,--
SG,Singapore,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,6467800,523800,1866171500,134504500,--,Unknown,--
SG,Singapore,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,2995100,144700,1206552000,52265100,--,Unknown,--
SG,Singapore,2850,MobFox,"all",any_status,platform,appnexus,false,2037800,102100,617754000,33916100,--,Unknown,--
SG,Singapore,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,1699100,38900,271311100,17933900,--,Unknown,--
SG,Singapore,1360,Sovrn,"all",any_status,platform,appnexus,false,1572000,119400,400642400,23323000,--,Unknown,--
SG,Singapore,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,1473400,354000,93859100,18219400,--,Unknown,--
SG,Singapore,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,1382500,18100,286290200,3534600,--,Unknown,--
SG,Singapore,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,1323300,138900,35500900,5026100,--,Unknown,--
SG,Singapore,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,1171700,51400,190575900,16112500,--,Unknown,--
SG,Singapore,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1135300,115800,327708200,26451300,--,Unknown,--
SG,Singapore,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,858200,472300,2121409200,520131400,--,Unknown,--
SG,Singapore,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,846300,26500,166429900,7648600,--,Unknown,--
SG,Singapore,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,814700,61800,341724700,17293700,--,Unknown,--
SG,Singapore,1908,District M,"all",any_status,platform,appnexus,false,689400,32100,85430500,9861500,--,Unknown,--
SG,Singapore,1882,TapTica LTD,"all",any_status,platform,appnexus,false,529900,80600,87218100,23348500,--,Unknown,--
SG,Singapore,2721,Kiosked,"all",any_status,platform,appnexus,false,501300,101800,84569700,10245200,--,Unknown,--
SG,Singapore,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,481500,55700,8000000,1228100,--,Unknown,--
SG,Singapore,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,293000,4500,76563700,1162600,--,Unknown,--
SG,Singapore,541,CPXInteractive,"all",any_status,platform,appnexus,false,287900,29200,38468600,5292100,--,Unknown,--
SG,Singapore,1942,Floor6,"all",any_status,platform,appnexus,false,286300,28100,41027600,5864100,--,Unknown,--
SG,Singapore,3058,Innity Corporation Berhad,"all",any_status,platform,appnexus,false,282400,113800,3433900,1945100,--,Unknown,--
SG,Singapore,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,270700,33200,103106400,11015600,--,Unknown,--
SG,Singapore,1475,Lifestreet,"all",any_status,platform,appnexus,false,267900,5800,242585900,5057200,--,Unknown,--
SG,Singapore,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,245600,55500,60998700,8550900,--,Unknown,--
SG,Singapore,310,Technorati Media,"all",any_status,platform,appnexus,false,206900,26900,64536800,6342900,--,Unknown,--
SG,Singapore,3204,Purch,"all",any_status,platform,appnexus,false,202100,29100,33563400,4355800,--,Unknown,--
SG,Singapore,1792,Gourmet Ads Pty Limited,"all",any_status,platform,appnexus,false,196600,28300,8224700,1803300,--,Unknown,--
SG,Singapore,1756,Adversal.com,"all",any_status,platform,appnexus,false,194700,23600,14173900,1426500,--,Unknown,--
SG,Singapore,1613,Defy Media,"all",any_status,platform,appnexus,false,171500,10700,73239200,4465300,--,Unknown,--
SG,Singapore,2025,Fairfax Digital,"all",any_status,platform,appnexus,false,170800,12100,23964200,1700200,--,Unknown,--
SG,Singapore,2014,"Conversant, Inc","all",any_status,platform,appnexus,false,169500,10200,240771800,9943500,--,Unknown,--
