geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
SK,Slovakia,181,Google AdExchange,"all",any_status,external,appnexus,false,46860000,1971700,28233867400,959451500,--,Unknown,--
SK,Slovakia,459,Rubicon,"all",any_status,external,appnexus,false,11193600,401300,5398288100,219468400,--,Unknown,--
SK,Slovakia,357,OpenX,"all",any_status,external,appnexus,false,6121200,452200,5480947400,127566900,--,Unknown,--
SK,Slovakia,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,1483100,21300,2174215700,44278600,--,Unknown,--
SK,Slovakia,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,1431400,139500,1866171500,134504500,--,Unknown,--
SK,Slovakia,74,PubMatic,"all",any_status,external,appnexus,false,1359000,60400,1408932400,73943500,--,Unknown,--
SK,Slovakia,2850,MobFox,"all",any_status,platform,appnexus,false,695800,31700,617754000,33916100,--,Unknown,--
SK,Slovakia,1475,Lifestreet,"all",any_status,platform,appnexus,false,432800,13700,242585900,5057200,--,Unknown,--
SK,Slovakia,1548,Criteo,"all",any_status,external,appnexus,false,390100,45200,342165000,40879100,--,Unknown,--
SK,Slovakia,1356,bRealTime (select),"all",any_status,platform,appnexus,false,363100,31600,327708200,26451300,--,Unknown,--
SK,Slovakia,1360,Sovrn,"all",any_status,platform,appnexus,false,273400,19400,400642400,23323000,--,Unknown,--
SK,Slovakia,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,264700,14000,166429900,7648600,--,Unknown,--
SK,Slovakia,1882,TapTica LTD,"all",any_status,platform,appnexus,false,227900,130400,87218100,23348500,--,Unknown,--
SK,Slovakia,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,210400,26500,93859100,18219400,--,Unknown,--
SK,Slovakia,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,152300,2400,76563700,1162600,--,Unknown,--
SK,Slovakia,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,83400,6600,190575900,16112500,--,Unknown,--
SK,Slovakia,541,CPXInteractive,"all",any_status,platform,appnexus,false,82400,8500,38468600,5292100,--,Unknown,--
SK,Slovakia,1354,Improve Digital,"all",any_status,platform,appnexus,false,80500,3900,617249300,18935700,--,Unknown,--
SK,Slovakia,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,74900,200,66270000,5213700,--,Unknown,--
SK,Slovakia,3020,Mojiva II,"all",any_status,platform,appnexus,false,69800,3600,130720700,11697300,--,Unknown,--
SK,Slovakia,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,68400,11900,50860000,7782600,--,Unknown,--
SK,Slovakia,310,Technorati Media,"all",any_status,platform,appnexus,false,62200,7000,64536800,6342900,--,Unknown,--
SK,Slovakia,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,52900,8600,37441400,3708500,--,Unknown,--
SK,Slovakia,1908,District M,"all",any_status,platform,appnexus,false,50600,4500,85430500,9861500,--,Unknown,--
SK,Slovakia,3204,Purch,"all",any_status,platform,appnexus,false,47600,5800,33563400,4355800,--,Unknown,--
SK,Slovakia,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,44700,800,46631800,2549100,--,Unknown,--
SK,Slovakia,2721,Kiosked,"all",any_status,platform,appnexus,false,44100,4900,84569700,10245200,--,Unknown,--
SK,Slovakia,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,42500,26500,2121409200,520131400,--,Unknown,--
SK,Slovakia,2974,Edge Media Group (The Edge Initiative),"all",any_status,platform,appnexus,false,37100,1500,6341900,228700,--,Unknown,--
SK,Slovakia,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,34800,2800,103106400,11015600,--,Unknown,--
SK,Slovakia,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,33200,8700,60998700,8550900,--,Unknown,--
SK,Slovakia,1613,Defy Media,"all",any_status,platform,appnexus,false,31400,3200,73239200,4465300,--,Unknown,--
SK,Slovakia,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,30700,4800,27850600,5122800,--,Unknown,--
SK,Slovakia,1756,Adversal.com,"all",any_status,platform,appnexus,false,29000,8000,14173900,1426500,--,Unknown,--
SK,Slovakia,1942,Floor6,"all",any_status,platform,appnexus,false,26200,2900,41027600,5864100,--,Unknown,--
SK,Slovakia,2962,Auto Trader Limited,"all",any_status,platform,appnexus,false,23900,200,7914300,319800,--,Unknown,--
SK,Slovakia,3006,CodeFuel,"all",any_status,platform,appnexus,false,23800,8400,754300,274900,--,Unknown,--
SK,Slovakia,884,Hi-Media,"all",any_status,platform,appnexus,false,23400,1000,78818800,7489400,--,Unknown,--
SK,Slovakia,2251,Waypoint Media,"all",any_status,platform,appnexus,false,22500,1000,3297000,184900,--,Unknown,--
SK,Slovakia,3192,RTB Media,"all",any_status,platform,appnexus,false,20200,3300,9047300,2346100,--,Unknown,--
SK,Slovakia,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,19300,1900,19737800,1365600,--,Unknown,--
SK,Slovakia,928,Suite66,"all",any_status,platform,appnexus,false,19000,1500,4874500,704400,--,Unknown,--
