geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
KR,"South Korea",181,Google AdExchange,"all",any_status,external,appnexus,false,474899700,18557700,28133831500,956832100,--,Unknown,--
KR,"South Korea",459,Rubicon,"all",any_status,external,appnexus,false,46509900,1240500,5432623200,220214700,--,Unknown,--
KR,"South Korea",1752,Smaato Inc.,"all",any_status,platform,appnexus,false,20991000,355100,2135642300,44171400,--,Unknown,--
KR,"South Korea",357,OpenX,"all",any_status,external,appnexus,false,17030400,523900,5442603200,127936800,--,Unknown,--
KR,"South Korea",1548,Criteo,"all",any_status,external,appnexus,false,16022300,2287200,341691000,40870200,--,Unknown,--
KR,"South Korea",280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,11529800,1172100,1852965100,133776400,--,Unknown,--
KR,"South Korea",1868,Nexage Inc.,"all",any_status,platform,appnexus,false,8028700,460400,1213298700,52107200,--,Unknown,--
KR,"South Korea",74,PubMatic,"all",any_status,external,appnexus,false,7569600,172700,1423565100,75329600,--,Unknown,--
KR,"South Korea",2850,MobFox,"all",any_status,platform,appnexus,false,4607000,285200,605292500,32717700,--,Unknown,--
KR,"South Korea",3020,Mojiva II,"all",any_status,platform,appnexus,false,3847200,112300,137981800,12619400,--,Unknown,--
KR,"South Korea",2047,Inneractive LTD,"all",any_status,platform,appnexus,false,1495000,206400,340480700,17137400,--,Unknown,--
KR,"South Korea",1360,Sovrn,"all",any_status,platform,appnexus,false,908400,69000,392809500,23110100,--,Unknown,--
KR,"South Korea",2800,"A1 Platform Co, Ltd","all",any_status,platform,appnexus,false,838700,43500,860800,44600,--,Unknown,--
KR,"South Korea",1356,bRealTime (select),"all",any_status,platform,appnexus,false,818600,70400,321695800,26129500,--,Unknown,--
KR,"South Korea",2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,641400,147100,97623900,18941200,--,Unknown,--
KR,"South Korea",3265,BRATECH SA,"all",any_status,platform,appnexus,false,627100,175100,9774900,2537800,--,Unknown,--
KR,"South Korea",3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,483300,10700,204431900,17086200,--,Unknown,--
KR,"South Korea",2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,475300,86000,17299100,2599700,--,Unknown,--
KR,"South Korea",620,Mediafem LLC,"all",any_status,platform,appnexus,false,451600,5400,4292600,557800,--,Unknown,--
