geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
ES,Spain,181,Google AdExchange,"all",any_status,external,appnexus,false,592910300,22853900,28233867400,959451500,--,Unknown,--
ES,Spain,459,Rubicon,"all",any_status,external,appnexus,false,81655600,3669700,5398288100,219468400,--,Unknown,--
ES,Spain,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,42995700,3364100,1866171500,134504500,--,Unknown,--
ES,Spain,357,OpenX,"all",any_status,external,appnexus,false,40413400,2286100,5480947400,127566900,--,Unknown,--
ES,Spain,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,23365500,1167400,46631800,2549100,--,Unknown,--
ES,Spain,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,23232300,293100,2174215700,44278600,--,Unknown,--
ES,Spain,74,PubMatic,"all",any_status,external,appnexus,false,19436200,958300,1408932400,73943500,--,Unknown,--
ES,Spain,1354,Improve Digital,"all",any_status,platform,appnexus,false,17250100,1453100,617249300,18935700,--,Unknown,--
ES,Spain,2850,MobFox,"all",any_status,platform,appnexus,false,11314000,747400,617754000,33916100,--,Unknown,--
ES,Spain,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,9778300,528200,190575900,16112500,--,Unknown,--
ES,Spain,1548,Criteo,"all",any_status,external,appnexus,false,7475300,1248600,342165000,40879100,--,Unknown,--
ES,Spain,1475,Lifestreet,"all",any_status,platform,appnexus,false,7075000,95800,242585900,5057200,--,Unknown,--
ES,Spain,884,Hi-Media,"all",any_status,platform,appnexus,false,6093900,776200,78818800,7489400,--,Unknown,--
ES,Spain,956,Zodiak Active,"all",any_status,platform,appnexus,false,4542500,657400,42149500,4493100,--,Unknown,--
ES,Spain,1356,bRealTime (select),"all",any_status,platform,appnexus,false,4510500,389200,327708200,26451300,--,Unknown,--
ES,Spain,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,4029000,214900,271311100,17933900,--,Unknown,--
ES,Spain,3299,"Delivery Media, S.L.","all",any_status,platform,appnexus,false,3321300,363300,3827100,444800,--,Unknown,--
ES,Spain,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,2605900,127300,166429900,7648600,--,Unknown,--
ES,Spain,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,2358700,29400,286290200,3534600,--,Unknown,--
ES,Spain,3442,Ampliffy,"all",any_status,platform,appnexus,false,2128600,180400,4220500,316000,--,Unknown,--
ES,Spain,3020,Mojiva II,"all",any_status,platform,appnexus,false,2093500,111800,130720700,11697300,--,Unknown,--
ES,Spain,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,2055100,315200,50860000,7782600,--,Unknown,--
ES,Spain,3194,Optima Network SL,"all",any_status,platform,appnexus,false,2027600,529900,2356900,625700,--,Unknown,--
ES,Spain,1360,Sovrn,"all",any_status,platform,appnexus,false,1939300,118700,400642400,23323000,--,Unknown,--
ES,Spain,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,1827300,159600,66270000,5213700,--,Unknown,--
ES,Spain,1611,Headway Digital,"all",any_status,platform,appnexus,false,1639400,44100,14236300,1268000,--,Unknown,--
ES,Spain,1882,TapTica LTD,"all",any_status,platform,appnexus,false,1620800,246400,87218100,23348500,--,Unknown,--
ES,Spain,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,1357500,16400,76563700,1162600,--,Unknown,--
ES,Spain,3098,WEBEDIA,"all",any_status,platform,appnexus,false,1131400,162100,23991600,2742200,--,Unknown,--
ES,Spain,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,1045900,143200,93859100,18219400,--,Unknown,--
ES,Spain,818,MediaShakers,"all",any_status,platform,appnexus,false,963800,75800,9935200,1579700,--,Unknown,--
ES,Spain,718,TLV Media Online Ltd,"all",any_status,platform,appnexus,false,804400,28300,30389900,1033700,--,Unknown,--
ES,Spain,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,720800,49400,37441400,3708500,--,Unknown,--
ES,Spain,541,CPXInteractive,"all",any_status,platform,appnexus,false,708600,112100,38468600,5292100,--,Unknown,--
ES,Spain,882,AN Talent,"all",any_status,platform,appnexus,false,672700,210900,50438600,13544900,--,Unknown,--
ES,Spain,1908,District M,"all",any_status,platform,appnexus,false,660900,48800,85430500,9861500,--,Unknown,--
ES,Spain,1608,Audience Square,"all",any_status,platform,appnexus,false,655500,34800,105327200,8530300,--,Unknown,--
ES,Spain,2740,DataWrkz Premium,"all",any_status,platform,appnexus,false,632400,63900,12509900,1152200,--,Unknown,--
ES,Spain,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,609400,132700,15959100,5178000,--,Unknown,--
ES,Spain,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,548100,259100,2121409200,520131400,--,Unknown,--
