geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
SE,Sweden,181,Google AdExchange,"all",any_status,external,appnexus,false,143722700,5188500,28233867400,959451500,--,Unknown,--
SE,Sweden,459,Rubicon,"all",any_status,external,appnexus,false,88393100,2619300,5398288100,219468400,--,Unknown,--
SE,Sweden,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,47293000,3547700,50498400,3809900,--,Unknown,--
SE,Sweden,1354,Improve Digital,"all",any_status,platform,appnexus,false,37326100,686400,617249300,18935700,--,Unknown,--
SE,Sweden,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,21684600,1408100,1866171500,134504500,--,Unknown,--
SE,Sweden,74,PubMatic,"all",any_status,external,appnexus,false,19935700,840500,1408932400,73943500,--,Unknown,--
SE,Sweden,357,OpenX,"all",any_status,external,appnexus,false,14395300,297300,5480947400,127566900,--,Unknown,--
SE,Sweden,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,12384700,170000,2174215700,44278600,--,Unknown,--
SE,Sweden,1548,Criteo,"all",any_status,external,appnexus,false,3475700,222100,342165000,40879100,--,Unknown,--
SE,Sweden,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,2983500,150700,166429900,7648600,--,Unknown,--
SE,Sweden,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,2657200,30500,286290200,3534600,--,Unknown,--
SE,Sweden,1356,bRealTime (select),"all",any_status,platform,appnexus,false,2286100,122500,327708200,26451300,--,Unknown,--
SE,Sweden,2850,MobFox,"all",any_status,platform,appnexus,false,2273100,199700,617754000,33916100,--,Unknown,--
SE,Sweden,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,2049900,83800,271311100,17933900,--,Unknown,--
SE,Sweden,1360,Sovrn,"all",any_status,platform,appnexus,false,1706100,97700,400642400,23323000,--,Unknown,--
SE,Sweden,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,1210800,81800,190575900,16112500,--,Unknown,--
SE,Sweden,2721,Kiosked,"all",any_status,platform,appnexus,false,724500,68400,84569700,10245200,--,Unknown,--
SE,Sweden,3282,EST Digital Ltd.,"all",any_status,platform,appnexus,false,688700,1700,51037100,391400,--,Unknown,--
SE,Sweden,1475,Lifestreet,"all",any_status,platform,appnexus,false,649500,16500,242585900,5057200,--,Unknown,--
SE,Sweden,1882,TapTica LTD,"all",any_status,platform,appnexus,false,595000,118300,87218100,23348500,--,Unknown,--
