geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
CH,Switzerland,181,Google AdExchange,"all",any_status,external,appnexus,false,63179500,3007300,28233867400,959451500,--,Unknown,--
CH,Switzerland,1354,Improve Digital,"all",any_status,platform,appnexus,false,35924100,724000,617249300,18935700,--,Unknown,--
CH,Switzerland,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,26869300,447900,2174215700,44278600,--,Unknown,--
CH,Switzerland,459,Rubicon,"all",any_status,external,appnexus,false,21106800,963700,5398288100,219468400,--,Unknown,--
CH,Switzerland,74,PubMatic,"all",any_status,external,appnexus,false,12221100,531000,1408932400,73943500,--,Unknown,--
CH,Switzerland,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,11596700,832200,1866171500,134504500,--,Unknown,--
CH,Switzerland,357,OpenX,"all",any_status,external,appnexus,false,8846300,314200,5480947400,127566900,--,Unknown,--
CH,Switzerland,2850,MobFox,"all",any_status,platform,appnexus,false,7428300,197200,617754000,33916100,--,Unknown,--
CH,Switzerland,1504,Stailamedia AG,"all",any_status,platform,appnexus,false,3212900,579100,3517900,639700,--,Unknown,--
CH,Switzerland,1548,Criteo,"all",any_status,external,appnexus,false,2262100,255500,342165000,40879100,--,Unknown,--
CH,Switzerland,1608,Audience Square,"all",any_status,platform,appnexus,false,1239100,107200,105327200,8530300,--,Unknown,--
CH,Switzerland,1405,Adscale GmbH,"all",any_status,external,appnexus,false,844100,69800,24769000,2453000,--,Unknown,--
CH,Switzerland,2252,One Advertising AG,"all",any_status,platform,appnexus,false,775600,83900,7386500,732100,--,Unknown,--
CH,Switzerland,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,739000,8700,286290200,3534600,--,Unknown,--
CH,Switzerland,3282,EST Digital Ltd.,"all",any_status,platform,appnexus,false,661300,5300,51037100,391400,--,Unknown,--
CH,Switzerland,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,659400,92100,50860000,7782600,--,Unknown,--
CH,Switzerland,1908,District M,"all",any_status,platform,appnexus,false,548400,29600,85430500,9861500,--,Unknown,--
CH,Switzerland,1356,bRealTime (select),"all",any_status,platform,appnexus,false,540100,42100,327708200,26451300,--,Unknown,--
CH,Switzerland,3341,eBay Southern Europe,"all",any_status,platform,appnexus,false,532600,17000,3915900,451600,--,Unknown,--
CH,Switzerland,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,520900,26100,430811700,17143500,--,Unknown,--
CH,Switzerland,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,519600,27800,1206552000,52265100,--,Unknown,--
CH,Switzerland,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,510000,50900,190575900,16112500,--,Unknown,--
CH,Switzerland,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,486700,28100,271311100,17933900,--,Unknown,--
CH,Switzerland,884,Hi-Media,"all",any_status,platform,appnexus,false,481800,48600,78818800,7489400,--,Unknown,--
CH,Switzerland,1360,Sovrn,"all",any_status,platform,appnexus,false,475400,32400,400642400,23323000,--,Unknown,--
CH,Switzerland,3500,ASQ Brand,"all",any_status,platform,appnexus,false,417200,24100,30855200,1884800,--,Unknown,--
CH,Switzerland,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,376200,76300,68302300,5161300,--,Unknown,--
CH,Switzerland,3098,WEBEDIA,"all",any_status,platform,appnexus,false,351300,38500,23991600,2742200,--,Unknown,--
