geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
TW,Taiwan,181,Google AdExchange,"all",any_status,external,appnexus,false,548464300,15576600,28233867400,959451500,--,Unknown,--
TW,Taiwan,357,OpenX,"all",any_status,external,appnexus,false,21630200,938600,5480947400,127566900,--,Unknown,--
TW,Taiwan,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,20158500,573500,2174215700,44278600,--,Unknown,--
TW,Taiwan,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,14543900,1383900,1866171500,134504500,--,Unknown,--
TW,Taiwan,459,Rubicon,"all",any_status,external,appnexus,false,11272400,559800,5398288100,219468400,--,Unknown,--
TW,Taiwan,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,7323100,236400,1206552000,52265100,--,Unknown,--
TW,Taiwan,74,PubMatic,"all",any_status,external,appnexus,false,5366100,557400,1408932400,73943500,--,Unknown,--
TW,Taiwan,2850,MobFox,"all",any_status,platform,appnexus,false,4245600,156700,617754000,33916100,--,Unknown,--
TW,Taiwan,1475,Lifestreet,"all",any_status,platform,appnexus,false,3320000,65700,242585900,5057200,--,Unknown,--
TW,Taiwan,2721,Kiosked,"all",any_status,platform,appnexus,false,2760100,733600,84569700,10245200,--,Unknown,--
TW,Taiwan,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,1787200,62800,190575900,16112500,--,Unknown,--
TW,Taiwan,1756,Adversal.com,"all",any_status,platform,appnexus,false,1368600,133000,14173900,1426500,--,Unknown,--
TW,Taiwan,1882,TapTica LTD,"all",any_status,platform,appnexus,false,1158900,144900,87218100,23348500,--,Unknown,--
TW,Taiwan,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,913000,128900,341724700,17293700,--,Unknown,--
TW,Taiwan,1530,AdPrudence,"all",any_status,platform,appnexus,false,895900,431500,7290300,3996400,--,Unknown,--
TW,Taiwan,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,875600,117200,51953900,4345700,--,Unknown,--
TW,Taiwan,1360,Sovrn,"all",any_status,platform,appnexus,false,736600,53800,400642400,23323000,--,Unknown,--
TW,Taiwan,1908,District M,"all",any_status,platform,appnexus,false,679900,66200,85430500,9861500,--,Unknown,--
TW,Taiwan,1356,bRealTime (select),"all",any_status,platform,appnexus,false,573600,54800,327708200,26451300,--,Unknown,--
TW,Taiwan,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,544500,121400,35500900,5026100,--,Unknown,--
TW,Taiwan,310,Technorati Media,"all",any_status,platform,appnexus,false,417500,82200,64536800,6342900,--,Unknown,--
TW,Taiwan,3192,RTB Media,"all",any_status,platform,appnexus,false,411600,84300,9047300,2346100,--,Unknown,--
TW,Taiwan,928,Suite66,"all",any_status,platform,appnexus,false,408100,41800,4874500,704400,--,Unknown,--
TW,Taiwan,568,Httpool,"all",any_status,platform,appnexus,false,299000,48600,4528700,487200,--,Unknown,--
TW,Taiwan,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,279900,75400,93859100,18219400,--,Unknown,--
TW,Taiwan,1081,Sonobi,"all",any_status,platform,appnexus,false,276100,40800,41318500,4009000,--,Unknown,--
TW,Taiwan,1888,"Chitika, Inc.","all",any_status,platform,appnexus,false,260500,26300,3909100,819600,--,Unknown,--
TW,Taiwan,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,256200,4100,76563700,1162600,--,Unknown,--
TW,Taiwan,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,227900,33200,50860000,7782600,--,Unknown,--
TW,Taiwan,541,CPXInteractive,"all",any_status,platform,appnexus,false,210200,44100,38468600,5292100,--,Unknown,--
TW,Taiwan,3020,Mojiva II,"all",any_status,platform,appnexus,false,208300,10000,130720700,11697300,--,Unknown,--
TW,Taiwan,406,CPM Only,"all",any_status,platform,appnexus,false,207900,6100,22587800,1241100,--,Unknown,--
TW,Taiwan,2660,DMG Mobile,"all",any_status,platform,appnexus,false,195500,100,2127700,100,--,Unknown,--
TW,Taiwan,3223,AGA Ad Media LLP,"all",any_status,platform,appnexus,false,147200,100,4446200,410600,--,Unknown,--
TW,Taiwan,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,140200,79900,2121409200,520131400,--,Unknown,--
TW,Taiwan,1611,Headway Digital,"all",any_status,platform,appnexus,false,135700,5000,14236300,1268000,--,Unknown,--
TW,Taiwan,3083,Orbits Digital LLP,"all",any_status,platform,appnexus,false,131200,4500,1875200,314600,--,Unknown,--
TW,Taiwan,3366,AerServ LLC,"all",any_status,platform,appnexus,false,111500,27900,96664800,5504300,--,Unknown,--
TW,Taiwan,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,104400,11000,27850600,5122800,--,Unknown,--
TW,Taiwan,3204,Purch,"all",any_status,platform,appnexus,false,103800,11100,33563400,4355800,--,Unknown,--
TW,Taiwan,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,102800,6800,166429900,7648600,--,Unknown,--
TW,Taiwan,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,82600,12900,16374000,2597100,--,Unknown,--
TW,Taiwan,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,78900,18200,21596300,4597200,--,Unknown,--
TW,Taiwan,1836,Xaxis - Philippines,"all",any_status,platform,appnexus,false,73100,19100,8096600,1668000,--,Unknown,--
TW,Taiwan,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,68800,4300,67112200,3425500,--,Unknown,--
TW,Taiwan,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,66900,7800,103106400,11015600,--,Unknown,--
TW,Taiwan,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,66400,12100,60998700,8550900,--,Unknown,--
TW,Taiwan,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,66400,31200,15959100,5178000,--,Unknown,--
TW,Taiwan,1413,DTCN,"all",any_status,platform,appnexus,false,65100,800,3607300,146200,--,Unknown,--
TW,Taiwan,1939,152 Media LLC,"all",any_status,platform,appnexus,false,61000,14500,10516600,1985700,--,Unknown,--
TW,Taiwan,1608,Audience Square,"all",any_status,platform,appnexus,false,57400,1800,105327200,8530300,--,Unknown,--
TW,Taiwan,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,54400,24000,8000000,1228100,--,Unknown,--
TW,Taiwan,2556,CoAdvertise GmbH,"all",any_status,platform,appnexus,false,54100,1000,3860700,298100,--,Unknown,--
TW,Taiwan,1226,AOL Marketplace,"all",any_status,external,appnexus,false,53900,5100,239525900,16680800,--,Unknown,--
TW,Taiwan,2252,One Advertising AG,"all",any_status,platform,appnexus,false,50000,900,7386500,732100,--,Unknown,--
TW,Taiwan,86,Photobucket,"all",any_status,external,appnexus,false,49700,4200,10687900,596400,--,Unknown,--
TW,Taiwan,3500,ASQ Brand,"all",any_status,platform,appnexus,false,46100,800,30855200,1884800,--,Unknown,--
TW,Taiwan,3277,AdsWizz Inc.,"all",any_status,platform,appnexus,false,45900,3100,1088400,90900,--,Unknown,--
TW,Taiwan,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,43400,4400,19737800,1365600,--,Unknown,--
TW,Taiwan,3006,CodeFuel,"all",any_status,platform,appnexus,false,43000,21300,754300,274900,--,Unknown,--
TW,Taiwan,1949,Protein UK Limited,"all",any_status,platform,appnexus,false,37500,1600,987200,136500,--,Unknown,--
TW,Taiwan,3449,"Curiosity Media, Inc.","all",any_status,platform,appnexus,false,35800,600,8293600,244900,--,Unknown,--
TW,Taiwan,1942,Floor6,"all",any_status,platform,appnexus,false,35200,4800,41027600,5864100,--,Unknown,--
TW,Taiwan,620,Mediafem LLC,"all",any_status,platform,appnexus,false,32100,9300,4461200,553100,--,Unknown,--
TW,Taiwan,3208,Lyfe Media,"all",any_status,platform,appnexus,false,32000,4300,3124700,202300,--,Unknown,--
