geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
UA,Ukraine,181,Google AdExchange,"all",any_status,external,appnexus,false,367912800,8909200,28233867400,959451500,--,Unknown,--
UA,Ukraine,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,16377800,2815500,1866171500,134504500,--,Unknown,--
UA,Ukraine,357,OpenX,"all",any_status,external,appnexus,false,14692600,243700,5480947400,127566900,--,Unknown,--
UA,Ukraine,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,13534900,177400,2174215700,44278600,--,Unknown,--
UA,Ukraine,1548,Criteo,"all",any_status,external,appnexus,false,12160900,1227200,342165000,40879100,--,Unknown,--
UA,Ukraine,459,Rubicon,"all",any_status,external,appnexus,false,9898300,570700,5398288100,219468400,--,Unknown,--
UA,Ukraine,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,6832500,316400,166429900,7648600,--,Unknown,--
UA,Ukraine,2850,MobFox,"all",any_status,platform,appnexus,false,5299700,272600,617754000,33916100,--,Unknown,--
UA,Ukraine,74,PubMatic,"all",any_status,external,appnexus,false,2506200,98100,1408932400,73943500,--,Unknown,--
UA,Ukraine,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,1807900,32300,76563700,1162600,--,Unknown,--
UA,Ukraine,1356,bRealTime (select),"all",any_status,platform,appnexus,false,964800,101400,327708200,26451300,--,Unknown,--
UA,Ukraine,1882,TapTica LTD,"all",any_status,platform,appnexus,false,785700,391400,87218100,23348500,--,Unknown,--
UA,Ukraine,1475,Lifestreet,"all",any_status,platform,appnexus,false,759900,16800,242585900,5057200,--,Unknown,--
UA,Ukraine,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,601300,235200,93859100,18219400,--,Unknown,--
UA,Ukraine,1360,Sovrn,"all",any_status,platform,appnexus,false,549000,35800,400642400,23323000,--,Unknown,--
UA,Ukraine,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,468400,68500,50860000,7782600,--,Unknown,--
UA,Ukraine,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,421700,24200,1206552000,52265100,--,Unknown,--
UA,Ukraine,3020,Mojiva II,"all",any_status,platform,appnexus,false,309400,20700,130720700,11697300,--,Unknown,--
UA,Ukraine,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,306400,87400,7319800,1991600,--,Unknown,--
UA,Ukraine,1354,Improve Digital,"all",any_status,platform,appnexus,false,261400,9100,617249300,18935700,--,Unknown,--
UA,Ukraine,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,261100,18400,190575900,16112500,--,Unknown,--
UA,Ukraine,3265,BRATECH SA,"all",any_status,platform,appnexus,false,220900,76000,8702600,2447900,--,Unknown,--
UA,Ukraine,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,220100,41800,16374000,2597100,--,Unknown,--
UA,Ukraine,1081,Sonobi,"all",any_status,platform,appnexus,false,128200,43800,41318500,4009000,--,Unknown,--
UA,Ukraine,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,127200,15400,37441400,3708500,--,Unknown,--
UA,Ukraine,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,122500,69200,15959100,5178000,--,Unknown,--
UA,Ukraine,3153,152 Media Select,"all",any_status,platform,appnexus,false,111500,600,2747300,124000,--,Unknown,--
UA,Ukraine,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,110400,9100,51953900,4345700,--,Unknown,--
UA,Ukraine,1939,152 Media LLC,"all",any_status,platform,appnexus,false,107300,24600,10516600,1985700,--,Unknown,--
UA,Ukraine,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,103200,13300,27850600,5122800,--,Unknown,--
UA,Ukraine,3192,RTB Media,"all",any_status,platform,appnexus,false,101600,34800,9047300,2346100,--,Unknown,--
UA,Ukraine,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,96600,11200,19222500,1853100,--,Unknown,--
UA,Ukraine,310,Technorati Media,"all",any_status,platform,appnexus,false,73700,9900,64536800,6342900,--,Unknown,--
UA,Ukraine,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,69900,47000,2121409200,520131400,--,Unknown,--
UA,Ukraine,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,66800,22200,5027900,2395500,--,Unknown,--
UA,Ukraine,1643,Fidelity Media,"all",any_status,platform,appnexus,false,65900,2900,2190000,227800,--,Unknown,--
UA,Ukraine,806,Venatus Media,"all",any_status,platform,appnexus,false,64500,3600,5557600,602200,--,Unknown,--
UA,Ukraine,3204,Purch,"all",any_status,platform,appnexus,false,63600,8500,33563400,4355800,--,Unknown,--
UA,Ukraine,620,Mediafem LLC,"all",any_status,platform,appnexus,false,53600,5900,4461200,553100,--,Unknown,--
UA,Ukraine,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,50800,7700,103106400,11015600,--,Unknown,--
UA,Ukraine,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,48800,7800,60998700,8550900,--,Unknown,--
UA,Ukraine,541,CPXInteractive,"all",any_status,platform,appnexus,false,43700,11800,38468600,5292100,--,Unknown,--
UA,Ukraine,740,NetSeer Inc,"all",any_status,platform,appnexus,false,41900,12900,7306400,1136500,--,Unknown,--
UA,Ukraine,1908,District M,"all",any_status,platform,appnexus,false,41600,4500,85430500,9861500,--,Unknown,--
UA,Ukraine,1613,Defy Media,"all",any_status,platform,appnexus,false,41500,4400,73239200,4465300,--,Unknown,--
UA,Ukraine,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,40400,3800,19737800,1365600,--,Unknown,--
UA,Ukraine,928,Suite66,"all",any_status,platform,appnexus,false,37700,5500,4874500,704400,--,Unknown,--
UA,Ukraine,1583,Admeta AB,"all",any_status,platform,appnexus,false,37500,800,14256000,1033900,--,Unknown,--
UA,Ukraine,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,36700,2200,35500900,5026100,--,Unknown,--
UA,Ukraine,1608,Audience Square,"all",any_status,platform,appnexus,false,34900,1900,105327200,8530300,--,Unknown,--
UA,Ukraine,1357,bRealTime,"all",any_status,platform,appnexus,false,30400,3300,12048300,1469800,--,Unknown,--
UA,Ukraine,1405,Adscale GmbH,"all",any_status,external,appnexus,false,30300,1800,24769000,2453000,--,Unknown,--
UA,Ukraine,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,29900,13600,18452300,6512900,--,Unknown,--
UA,Ukraine,2721,Kiosked,"all",any_status,platform,appnexus,false,29800,4200,84569700,10245200,--,Unknown,--
UA,Ukraine,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,28600,3500,67112200,3425500,--,Unknown,--
UA,Ukraine,86,Photobucket,"all",any_status,external,appnexus,false,26400,2000,10687900,596400,--,Unknown,--
UA,Ukraine,3105,Adshoard Premium,"all",any_status,platform,appnexus,false,26000,5300,1000700,224100,--,Unknown,--
UA,Ukraine,884,Hi-Media,"all",any_status,platform,appnexus,false,25700,1600,78818800,7489400,--,Unknown,--
UA,Ukraine,1888,"Chitika, Inc.","all",any_status,platform,appnexus,false,24400,3200,3909100,819600,--,Unknown,--
UA,Ukraine,2804,Adshoard,"all",any_status,platform,appnexus,false,24100,1100,15208300,1517700,--,Unknown,--
UA,Ukraine,2420,TailWind 3,"all",any_status,platform,appnexus,false,23000,1600,10261300,2274800,--,Unknown,--
UA,Ukraine,2331,Schibsted Classifieds,"all",any_status,platform,appnexus,false,21600,1300,46631800,2549100,--,Unknown,--
UA,Ukraine,1942,Floor6,"all",any_status,platform,appnexus,false,20700,3300,41027600,5864100,--,Unknown,--
UA,Ukraine,1226,AOL Marketplace,"all",any_status,external,appnexus,false,19900,1600,239525900,16680800,--,Unknown,--
UA,Ukraine,1906,Velis Media,"all",any_status,platform,appnexus,false,19700,4100,1743200,404400,--,Unknown,--
UA,Ukraine,956,Zodiak Active,"all",any_status,platform,appnexus,false,19000,2500,42149500,4493100,--,Unknown,--
UA,Ukraine,1019,OnScroll Limited,"all",any_status,platform,appnexus,false,18800,800,6251600,665800,--,Unknown,--
UA,Ukraine,3339,Petilmat S.A.,"all",any_status,platform,appnexus,false,18600,600,41510700,443300,--,Unknown,--
UA,Ukraine,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,18600,300,75439200,1675200,--,Unknown,--
UA,Ukraine,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,16800,3900,21596300,4597200,--,Unknown,--
UA,Ukraine,2670,AD2ONE LTD,"all",any_status,platform,appnexus,false,15200,500,4430900,730200,--,Unknown,--
UA,Ukraine,3296,Leboncoin Schibsted France,"all",any_status,platform,appnexus,false,15200,400,22350500,1529000,--,Unknown,--
UA,Ukraine,1656,Media White,"all",any_status,platform,appnexus,false,15100,1000,865800,70500,--,Unknown,--
UA,Ukraine,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,15100,6400,11679100,3946900,--,Unknown,--
UA,Ukraine,1756,Adversal.com,"all",any_status,platform,appnexus,false,14700,2200,14173900,1426500,--,Unknown,--
UA,Ukraine,2962,Auto Trader Limited,"all",any_status,platform,appnexus,false,13600,300,7914300,319800,--,Unknown,--
UA,Ukraine,2252,One Advertising AG,"all",any_status,platform,appnexus,false,13500,600,7386500,732100,--,Unknown,--
UA,Ukraine,1530,AdPrudence,"all",any_status,platform,appnexus,false,13000,7500,7290300,3996400,--,Unknown,--
UA,Ukraine,3356,Livingly Media Inc,"all",any_status,platform,appnexus,false,12800,600,24284900,766700,--,Unknown,--
UA,Ukraine,3366,AerServ LLC,"all",any_status,platform,appnexus,false,11900,2100,96664800,5504300,--,Unknown,--
UA,Ukraine,882,AN Talent,"all",any_status,platform,appnexus,false,11600,3500,50438600,13544900,--,Unknown,--
UA,Ukraine,2737,Semilo B.V.,"all",any_status,platform,appnexus,false,10700,300,4756100,537900,--,Unknown,--
UA,Ukraine,2945,Adhood,"all",any_status,platform,appnexus,false,10100,600,1202300,111400,--,Unknown,--
UA,Ukraine,406,CPM Only,"all",any_status,platform,appnexus,false,10100,800,22587800,1241100,--,Unknown,--
UA,Ukraine,3006,CodeFuel,"all",any_status,platform,appnexus,false,10000,3000,754300,274900,--,Unknown,--
UA,Ukraine,3341,eBay Southern Europe,"all",any_status,platform,appnexus,false,8900,700,3915900,451600,--,Unknown,--
UA,Ukraine,3508,Proper Media LLC,"all",any_status,platform,appnexus,false,8700,200,6143900,144300,--,Unknown,--
UA,Ukraine,1755,Digital Throttle,"all",any_status,platform,appnexus,false,8600,600,3712700,358400,--,Unknown,--
UA,Ukraine,2556,CoAdvertise GmbH,"all",any_status,platform,appnexus,false,8300,900,3860700,298100,--,Unknown,--
UA,Ukraine,1371,Interactive Media CCSP GmbH,"all",any_status,platform,appnexus,false,8000,2000,68302300,5161300,--,Unknown,--
UA,Ukraine,2445,HitFox ad2games GmbH,"all",any_status,platform,appnexus,false,8000,3800,199900,84500,--,Unknown,--
UA,Ukraine,3342,8Tracks Inc.,"all",any_status,platform,appnexus,false,7700,700,449400,40700,--,Unknown,--
UA,Ukraine,1619,ReklamStore,"all",any_status,platform,appnexus,false,7600,1500,32005800,4616300,--,Unknown,--
UA,Ukraine,2854,The Blogger Network,"all",any_status,platform,appnexus,false,6800,900,8885000,1294800,--,Unknown,--
UA,Ukraine,3329,AdRaiden,"all",any_status,platform,appnexus,false,6700,1300,59013500,8240600,--,Unknown,--
UA,Ukraine,2723,Riot New Media Group,"all",any_status,platform,appnexus,false,6600,300,3984400,147800,--,Unknown,--
UA,Ukraine,1705,Ninemsn Pty Limited,"all",any_status,platform,appnexus,false,6500,500,16758500,1276400,--,Unknown,--
UA,Ukraine,2688,Metric Science,"all",any_status,platform,appnexus,false,6100,1700,9565700,2018900,--,Unknown,--
UA,Ukraine,2637,Matomy Content Network,"all",any_status,platform,appnexus,false,6100,600,18055600,4241400,--,Unknown,--
UA,Ukraine,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,5600,700,8000000,1228100,--,Unknown,--
UA,Ukraine,1836,Xaxis - Philippines,"all",any_status,platform,appnexus,false,5500,700,8096600,1668000,--,Unknown,--
UA,Ukraine,996,WebAds IT,"all",any_status,platform,appnexus,false,5500,300,11291200,463000,--,Unknown,--
UA,Ukraine,1773,Gay Ad Network,"all",any_status,platform,appnexus,false,5300,300,1264700,197500,--,Unknown,--
UA,Ukraine,927,Adgorithms,"all",any_status,platform,appnexus,false,5000,400,6947600,360600,--,Unknown,--
UA,Ukraine,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,4600,500,50498400,3809900,--,Unknown,--
UA,Ukraine,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,4600,1600,271311100,17933900,--,Unknown,--
UA,Ukraine,2732,Matchflow Media,"all",any_status,platform,appnexus,false,4600,1800,7335600,1014400,--,Unknown,--
UA,Ukraine,2967,orbyd GmbH,"all",any_status,platform,appnexus,false,4300,300,1517000,208900,--,Unknown,--
UA,Ukraine,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,4200,200,286290200,3534600,--,Unknown,--
UA,Ukraine,994,WebAds NL,"all",any_status,platform,appnexus,false,4200,300,4383900,537800,--,Unknown,--
UA,Ukraine,1792,Gourmet Ads Pty Limited,"all",any_status,platform,appnexus,false,4200,800,8224700,1803300,--,Unknown,--
UA,Ukraine,2023,RedMas Argentina S.A.,"all",any_status,platform,appnexus,false,4100,600,6463900,834200,--,Unknown,--
UA,Ukraine,542,Up-value GmbH,"all",any_status,platform,appnexus,false,4000,1100,1613200,434700,--,Unknown,--
UA,Ukraine,1449,Adtegrity,"all",any_status,platform,appnexus,false,3600,1900,30828900,3626800,--,Unknown,--
UA,Ukraine,3135,33Across Real Display,"all",any_status,platform,appnexus,false,3500,1000,4519500,1104400,--,Unknown,--
UA,Ukraine,1413,DTCN,"all",any_status,platform,appnexus,false,3500,500,3607300,146200,--,Unknown,--
UA,Ukraine,2660,DMG Mobile,"all",any_status,platform,appnexus,false,3500,100,2127700,100,--,Unknown,--
UA,Ukraine,3074,VICE Media,"all",any_status,platform,appnexus,false,3400,200,976900,165800,--,Unknown,--
UA,Ukraine,3098,WEBEDIA,"all",any_status,platform,appnexus,false,3400,600,23991600,2742200,--,Unknown,--
UA,Ukraine,3101,De Persgroep Publishing NV,"all",any_status,platform,appnexus,false,3300,300,5798700,760300,--,Unknown,--
UA,Ukraine,3450,Northern & Shell,"all",any_status,platform,appnexus,false,3300,400,2119900,290900,--,Unknown,--
UA,Ukraine,2669,Brightcom Media,"all",any_status,platform,appnexus,false,3100,600,6016600,1760400,--,Unknown,--
UA,Ukraine,3359,Topix LLC,"all",any_status,platform,appnexus,false,3000,100,721200,14700,--,Unknown,--
UA,Ukraine,1914,"Blabwire Media, LLC","all",any_status,platform,appnexus,false,2800,200,467900,96400,--,Unknown,--
UA,Ukraine,2695,RhythmOne Owned & Operated,"all",any_status,platform,appnexus,false,2700,600,405800,85600,--,Unknown,--
UA,Ukraine,3208,Lyfe Media,"all",any_status,platform,appnexus,false,2700,400,3124700,202300,--,Unknown,--
UA,Ukraine,1393,ReactX,"all",any_status,platform,appnexus,false,2600,1300,4958500,1271600,--,Unknown,--
UA,Ukraine,2741,DataWrkz Direct,"all",any_status,platform,appnexus,false,2600,700,2787500,599200,--,Unknown,--
UA,Ukraine,1351,Spiroox Media s.l.,"all",any_status,platform,appnexus,false,2600,300,2564700,153400,--,Unknown,--
UA,Ukraine,1560,OxaMedia Corporation,"all",any_status,platform,appnexus,false,2500,400,647800,93700,--,Unknown,--
UA,Ukraine,2251,Waypoint Media,"all",any_status,platform,appnexus,false,2400,400,3297000,184900,--,Unknown,--
UA,Ukraine,1922,Pub Ventures Media Corp,"all",any_status,platform,appnexus,false,2300,700,5545300,875700,--,Unknown,--
UA,Ukraine,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,2300,200,341724700,17293700,--,Unknown,--
