geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
GB,United Kingdom,181,Google AdExchange,"all",any_status,external,appnexus,false,972563700,36677700,28233867400,959451500,--,Unknown,--
GB,United Kingdom,459,Rubicon,"all",any_status,external,appnexus,false,340844700,13452700,5398288100,219468400,--,Unknown,--
GB,United Kingdom,357,OpenX,"all",any_status,external,appnexus,false,268468500,7717900,5480947400,127566900,--,Unknown,--
GB,United Kingdom,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,108484300,8118900,1866171500,134504500,--,Unknown,--
GB,United Kingdom,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,80161200,1333800,2174215700,44278600,--,Unknown,--
GB,United Kingdom,74,PubMatic,"all",any_status,external,appnexus,false,66504400,4829700,1408932400,73943500,--,Unknown,--
GB,United Kingdom,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,63049400,1462600,1206552000,52265100,--,Unknown,--
GB,United Kingdom,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,50796300,2104100,166429900,7648600,--,Unknown,--
GB,United Kingdom,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,46223900,2173100,271311100,17933900,--,Unknown,--
GB,United Kingdom,3246,DailyMail,"all",any_status,platform,appnexus,false,43768600,2366100,57336600,3466300,--,Unknown,--
GB,United Kingdom,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,38577000,1968700,430811700,17143500,--,Unknown,--
GB,United Kingdom,2850,MobFox,"all",any_status,platform,appnexus,false,23684500,1084100,617754000,33916100,--,Unknown,--
GB,United Kingdom,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,22865500,297900,286290200,3534600,--,Unknown,--
GB,United Kingdom,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,20190200,1076900,341724700,17293700,--,Unknown,--
GB,United Kingdom,1226,AOL Marketplace,"all",any_status,external,appnexus,false,15908500,785600,239525900,16680800,--,Unknown,--
