geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
US,United States,181,Google AdExchange,"all",any_status,external,appnexus,false,5951359600,192904500,28233867400,959451500,--,Unknown,--
US,United States,357,OpenX,"all",any_status,external,appnexus,false,2923805600,56960000,5480947400,127566900,--,Unknown,--
US,United States,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,2082508000,512404100,2121409200,520131400,--,Unknown,--
US,United States,459,Rubicon,"all",any_status,external,appnexus,false,1484894100,59635300,5398288100,219468400,--,Unknown,--
US,United States,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,739153600,15198200,2174215700,44278600,--,Unknown,--
US,United States,74,PubMatic,"all",any_status,external,appnexus,false,717724100,31367600,1408932400,73943500,--,Unknown,--
US,United States,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,419451300,16410100,1206552000,52265100,--,Unknown,--
US,United States,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,406883200,28628100,1866171500,134504500,--,Unknown,--
US,United States,2551,Sonobi - Premium,"all",any_status,platform,appnexus,false,358933800,13282700,430811700,17143500,--,Unknown,--
US,United States,1360,Sovrn,"all",any_status,platform,appnexus,false,292057900,16138100,400642400,23323000,--,Unknown,--
US,United States,2047,Inneractive LTD,"all",any_status,platform,appnexus,false,276483300,11684100,341724700,17293700,--,Unknown,--
US,United States,2850,MobFox,"all",any_status,platform,appnexus,false,189906500,7938800,617754000,33916100,--,Unknown,--
US,United States,3202,MyLikes Inc.,"all",any_status,platform,appnexus,false,189808900,2395100,286290200,3534600,--,Unknown,--
US,United States,1356,bRealTime (select),"all",any_status,platform,appnexus,false,177678700,13039100,327708200,26451300,--,Unknown,--
US,United States,1226,AOL Marketplace,"all",any_status,external,appnexus,false,171813000,12979300,239525900,16680800,--,Unknown,--
US,United States,2014,"Conversant, Inc","all",any_status,platform,appnexus,false,164686600,7625600,240771800,9943500,--,Unknown,--
US,United States,311,Collective Exchange,"all",any_status,platform,appnexus,false,112084100,6994000,119214800,7487900,--,Unknown,--
US,United States,3104,SpotXchange Inc.,"all",any_status,platform,appnexus,false,106459200,7978500,271311100,17933900,--,Unknown,--
US,United States,1410,Index Exchange Inc,"all",any_status,platform,appnexus,false,86279500,6721800,117625700,8331200,--,Unknown,--
US,United States,3366,AerServ LLC,"all",any_status,platform,appnexus,false,82023400,4057000,96664800,5504300,--,Unknown,--
US,United States,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,76372100,7204900,103106400,11015600,--,Unknown,--
US,United States,3020,Mojiva II,"all",any_status,platform,appnexus,false,64075500,8528000,130720700,11697300,--,Unknown,--
US,United States,1613,Defy Media,"all",any_status,platform,appnexus,false,56562800,3157900,73239200,4465300,--,Unknown,--
US,United States,3329,AdRaiden,"all",any_status,platform,appnexus,false,53328500,7357700,59013500,8240600,--,Unknown,--
US,United States,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,51823000,1227100,75439200,1675200,--,Unknown,--
US,United States,1548,Criteo,"all",any_status,external,appnexus,false,50081300,7869600,342165000,40879100,--,Unknown,--
US,United States,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,43972600,9210900,93859100,18219400,--,Unknown,--
US,United States,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,42163100,2048800,67112200,3425500,--,Unknown,--
US,United States,310,Technorati Media,"all",any_status,platform,appnexus,false,40346400,3391600,64536800,6342900,--,Unknown,--
US,United States,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,38122000,4387200,60998700,8550900,--,Unknown,--
US,United States,2721,Kiosked,"all",any_status,platform,appnexus,false,36198800,3465400,84569700,10245200,--,Unknown,--
US,United States,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,36060400,4827100,190575900,16112500,--,Unknown,--
US,United States,1475,Lifestreet,"all",any_status,platform,appnexus,false,35116100,725100,242585900,5057200,--,Unknown,--
US,United States,1882,TapTica LTD,"all",any_status,platform,appnexus,false,35032000,6567200,87218100,23348500,--,Unknown,--
US,United States,1908,District M,"all",any_status,platform,appnexus,false,34146700,4366200,85430500,9861500,--,Unknown,--
US,United States,1263,"PulsePoint, Inc.","all",any_status,platform,appnexus,false,32251200,2192900,51953900,4345700,--,Unknown,--
US,United States,1942,Floor6,"all",any_status,platform,appnexus,false,27940100,4196600,41027600,5864100,--,Unknown,--
US,United States,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,26179000,2787500,37441400,3708500,--,Unknown,--
US,United States,1558,Intermarkets Inc.,"all",any_status,platform,appnexus,false,25889200,1131600,26716100,1171300,--,Unknown,--
US,United States,718,TLV Media Online Ltd,"all",any_status,platform,appnexus,false,23925000,759600,30389900,1033700,--,Unknown,--
US,United States,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,23424400,1413500,166429900,7648600,--,Unknown,--
US,United States,3356,Livingly Media Inc,"all",any_status,platform,appnexus,false,21876300,671600,24284900,766700,--,Unknown,--
US,United States,1449,Adtegrity,"all",any_status,platform,appnexus,false,21653100,2590400,30828900,3626800,--,Unknown,--
US,United States,3282,EST Digital Ltd.,"all",any_status,platform,appnexus,false,21198800,270800,51037100,391400,--,Unknown,--
US,United States,3339,Petilmat S.A.,"all",any_status,platform,appnexus,false,20145800,175200,41510700,443300,--,Unknown,--
US,United States,3492,StudyBreak Media,"all",any_status,platform,appnexus,false,19202000,362600,22300800,414400,--,Unknown,--
US,United States,1081,Sonobi,"all",any_status,platform,appnexus,false,16547100,1606300,41318500,4009000,--,Unknown,--
US,United States,3204,Purch,"all",any_status,platform,appnexus,false,15339800,1918700,33563400,4355800,--,Unknown,--
US,United States,3470,Falk Technologies GmbH,"all",any_status,platform,appnexus,false,15029200,1434600,19222500,1853100,--,Unknown,--
US,United States,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,14640200,217500,76563700,1162600,--,Unknown,--
US,United States,3246,DailyMail,"all",any_status,platform,appnexus,false,13390800,1090400,57336600,3466300,--,Unknown,--
US,United States,1001,33Across Real Impact,"all",any_status,platform,appnexus,false,13180700,4578400,18452300,6512900,--,Unknown,--
US,United States,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,13037600,2972600,21596300,4597200,--,Unknown,--
US,United States,2568,Engage:BDR,"all",any_status,platform,appnexus,false,12672500,843100,13185900,896900,--,Unknown,--
US,United States,541,CPXInteractive,"all",any_status,platform,appnexus,false,12556200,1930000,38468600,5292100,--,Unknown,--
US,United States,2637,Matomy Content Network,"all",any_status,platform,appnexus,false,12189300,3122900,18055600,4241400,--,Unknown,--
US,United States,406,CPM Only,"all",any_status,platform,appnexus,false,11975300,924400,22587800,1241100,--,Unknown,--
US,United States,3295,Adrizer LLC,"all",any_status,platform,appnexus,false,11070800,211300,12150400,229100,--,Unknown,--
US,United States,1749,W M Web Media,"all",any_status,platform,appnexus,false,11025900,2320000,16480000,3492000,--,Unknown,--
US,United States,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,10926300,1799400,50860000,7782600,--,Unknown,--
US,United States,882,AN Talent,"all",any_status,platform,appnexus,false,10241800,3352400,50438600,13544900,--,Unknown,--
US,United States,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,9324500,2338600,27850600,5122800,--,Unknown,--
US,United States,1354,Improve Digital,"all",any_status,platform,appnexus,false,9007000,603800,617249300,18935700,--,Unknown,--
US,United States,2714,Xaxis - US Marketplace,"all",any_status,platform,appnexus,false,8866300,2708400,9531000,2986500,--,Unknown,--
US,United States,2234,Undertone Networks,"all",any_status,platform,appnexus,false,8411900,2046000,8413400,2046600,--,Unknown,--
US,United States,2760,Alveo,"all",any_status,platform,appnexus,false,8383000,394200,9973000,477400,--,Unknown,--
US,United States,2784,Rocoto Media,"all",any_status,platform,appnexus,false,8319000,143400,9851200,164600,--,Unknown,--
US,United States,2532,Batanga Media Exchange,"all",any_status,platform,appnexus,false,7933800,776900,66270000,5213700,--,Unknown,--
US,United States,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,7867700,453500,19737800,1365600,--,Unknown,--
US,United States,2804,Adshoard,"all",any_status,platform,appnexus,false,7650800,1060300,15208300,1517700,--,Unknown,--
US,United States,982,Altitude Digital Partners,"all",any_status,platform,appnexus,false,7348400,1925400,8062800,2204700,--,Unknown,--
US,United States,3355,CBT Sports LLC,"all",any_status,platform,appnexus,false,6772100,663500,7192100,699100,--,Unknown,--
US,United States,2854,The Blogger Network,"all",any_status,platform,appnexus,false,6447500,948300,8885000,1294800,--,Unknown,--
US,United States,3428,DeviantArt Inc,"all",any_status,platform,appnexus,false,6299300,271700,10120900,466800,--,Unknown,--
US,United States,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,5865000,934400,16374000,2597100,--,Unknown,--
US,United States,3449,"Curiosity Media, Inc.","all",any_status,platform,appnexus,false,5805600,168400,8293600,244900,--,Unknown,--
US,United States,2640,Vibrant Media Inc.,"all",any_status,platform,appnexus,false,5468600,1361200,9379600,2540100,--,Unknown,--
US,United States,2740,DataWrkz Premium,"all",any_status,platform,appnexus,false,5341400,454200,12509900,1152200,--,Unknown,--
US,United States,1357,bRealTime,"all",any_status,platform,appnexus,false,5160900,492200,12048300,1469800,--,Unknown,--
US,United States,86,Photobucket,"all",any_status,external,appnexus,false,5037600,225000,10687900,596400,--,Unknown,--
US,United States,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,5029300,1703800,15959100,5178000,--,Unknown,--
US,United States,3358,"7Hops.com, Inc","all",any_status,platform,appnexus,false,4849200,151800,6022900,193200,--,Unknown,--
US,United States,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,4812100,1656100,11679100,3946900,--,Unknown,--
US,United States,2732,Matchflow Media,"all",any_status,platform,appnexus,false,4806100,757300,7335600,1014400,--,Unknown,--
US,United States,1792,Gourmet Ads Pty Limited,"all",any_status,platform,appnexus,false,4749900,1131600,8224700,1803300,--,Unknown,--
US,United States,2084,"Ad.net, Inc.","all",any_status,platform,appnexus,false,4280300,252700,4470400,260900,--,Unknown,--
US,United States,1922,Pub Ventures Media Corp,"all",any_status,platform,appnexus,false,4189600,643900,5545300,875700,--,Unknown,--
US,United States,3287,"RTK.io (Phaedrus Media, LLC)","all",any_status,platform,appnexus,false,4002500,220600,4137900,236900,--,Unknown,--
US,United States,818,MediaShakers,"all",any_status,platform,appnexus,false,3979700,789300,9935200,1579700,--,Unknown,--
US,United States,2669,Brightcom Media,"all",any_status,platform,appnexus,false,3926400,1156100,6016600,1760400,--,Unknown,--
US,United States,3223,AGA Ad Media LLP,"all",any_status,platform,appnexus,false,3921600,362800,4446200,410600,--,Unknown,--
