geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
VN,Vietnam,181,Google AdExchange,"all",any_status,external,appnexus,false,486632200,17024400,28233867400,959451500,--,Unknown,--
VN,Vietnam,280,Microsoft Advertising Exchange,"all",any_status,platform,appnexus,false,32072500,3597700,1866171500,134504500,--,Unknown,--
VN,Vietnam,357,OpenX,"all",any_status,external,appnexus,false,18179600,593700,5480947400,127566900,--,Unknown,--
VN,Vietnam,1752,Smaato Inc.,"all",any_status,platform,appnexus,false,11372300,235200,2174215700,44278600,--,Unknown,--
VN,Vietnam,459,Rubicon,"all",any_status,external,appnexus,false,11305200,1392500,5398288100,219468400,--,Unknown,--
VN,Vietnam,1868,Nexage Inc.,"all",any_status,platform,appnexus,false,5054600,477700,1206552000,52265100,--,Unknown,--
VN,Vietnam,2850,MobFox,"all",any_status,platform,appnexus,false,3521900,215800,617754000,33916100,--,Unknown,--
VN,Vietnam,74,PubMatic,"all",any_status,external,appnexus,false,2410100,265100,1408932400,73943500,--,Unknown,--
VN,Vietnam,2578,"Geniee, Inc.","all",any_status,platform,appnexus,false,1781800,460400,35500900,5026100,--,Unknown,--
VN,Vietnam,1356,bRealTime (select),"all",any_status,platform,appnexus,false,1228800,115500,327708200,26451300,--,Unknown,--
VN,Vietnam,2884,Ambient Digital Pte Limited,"all",any_status,platform,appnexus,false,1194700,368700,1489800,468100,--,Unknown,--
VN,Vietnam,3427,Ziff Davis Inc.,"all",any_status,platform,appnexus,false,1138200,19100,76563700,1162600,--,Unknown,--
VN,Vietnam,1475,Lifestreet,"all",any_status,platform,appnexus,false,1060900,22900,242585900,5057200,--,Unknown,--
VN,Vietnam,3020,Mojiva II,"all",any_status,platform,appnexus,false,984000,43800,130720700,11697300,--,Unknown,--
VN,Vietnam,3058,Innity Corporation Berhad,"all",any_status,platform,appnexus,false,965800,175300,3433900,1945100,--,Unknown,--
VN,Vietnam,1360,Sovrn,"all",any_status,platform,appnexus,false,623900,50800,400642400,23323000,--,Unknown,--
VN,Vietnam,1939,152 Media LLC,"all",any_status,platform,appnexus,false,527200,122200,10516600,1985700,--,Unknown,--
VN,Vietnam,2718,"Vertoz, Inc","all",any_status,platform,appnexus,false,492100,101200,93859100,18219400,--,Unknown,--
VN,Vietnam,3053,Sticky Ads TV S.A.,"all",any_status,platform,appnexus,false,464300,29800,190575900,16112500,--,Unknown,--
VN,Vietnam,2305,ADGOG UK LIMITED,"all",any_status,platform,appnexus,false,347600,39200,16374000,2597100,--,Unknown,--
VN,Vietnam,1882,TapTica LTD,"all",any_status,platform,appnexus,false,329800,79800,87218100,23348500,--,Unknown,--
VN,Vietnam,3366,AerServ LLC,"all",any_status,platform,appnexus,false,329600,71100,96664800,5504300,--,Unknown,--
VN,Vietnam,2549,Uber AdMedia,"all",any_status,platform,appnexus,false,250500,30400,21596300,4597200,--,Unknown,--
VN,Vietnam,541,CPXInteractive,"all",any_status,platform,appnexus,false,245100,38700,38468600,5292100,--,Unknown,--
VN,Vietnam,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,235100,30900,166429900,7648600,--,Unknown,--
VN,Vietnam,1611,Headway Digital,"all",any_status,platform,appnexus,false,218000,14300,14236300,1268000,--,Unknown,--
VN,Vietnam,3204,Purch,"all",any_status,platform,appnexus,false,213900,21800,33563400,4355800,--,Unknown,--
VN,Vietnam,3294,7Seas Entertainment Limited,"all",any_status,platform,appnexus,false,207200,32300,15959100,5178000,--,Unknown,--
VN,Vietnam,86,Photobucket,"all",any_status,external,appnexus,false,203500,11200,10687900,596400,--,Unknown,--
VN,Vietnam,2358,Ureka Media Corporation,"all",any_status,platform,appnexus,false,200600,67300,249500,86400,--,Unknown,--
VN,Vietnam,1888,"Chitika, Inc.","all",any_status,platform,appnexus,false,200500,30800,3909100,819600,--,Unknown,--
VN,Vietnam,3265,BRATECH SA,"all",any_status,platform,appnexus,false,192700,61500,8702600,2447900,--,Unknown,--
VN,Vietnam,2219,Intag DW LLC,"all",any_status,platform,appnexus,false,192200,12600,739500,87800,--,Unknown,--
VN,Vietnam,95,X.M. Performing Media Ltd.,"all",any_status,platform,appnexus,false,191900,29900,27850600,5122800,--,Unknown,--
VN,Vietnam,1063,Cox Digital Solutions LLC,"all",any_status,platform,appnexus,false,151000,93700,2121409200,520131400,--,Unknown,--
VN,Vietnam,1613,Defy Media,"all",any_status,platform,appnexus,false,141500,17600,73239200,4465300,--,Unknown,--
VN,Vietnam,1908,District M,"all",any_status,platform,appnexus,false,139800,12900,85430500,9861500,--,Unknown,--
VN,Vietnam,1449,Adtegrity,"all",any_status,platform,appnexus,false,135200,53600,30828900,3626800,--,Unknown,--
VN,Vietnam,3192,RTB Media,"all",any_status,platform,appnexus,false,126200,36700,9047300,2346100,--,Unknown,--
VN,Vietnam,2877,"Amobee, Inc.","all",any_status,platform,appnexus,false,111000,6000,37441400,3708500,--,Unknown,--
VN,Vietnam,310,Technorati Media,"all",any_status,platform,appnexus,false,110700,15300,64536800,6342900,--,Unknown,--
VN,Vietnam,1530,AdPrudence,"all",any_status,platform,appnexus,false,91700,10700,7290300,3996400,--,Unknown,--
VN,Vietnam,2444,Social Reality Inc.,"all",any_status,platform,appnexus,false,86400,10600,67112200,3425500,--,Unknown,--
VN,Vietnam,406,CPM Only,"all",any_status,platform,appnexus,false,81800,3400,22587800,1241100,--,Unknown,--
VN,Vietnam,620,Mediafem LLC,"all",any_status,platform,appnexus,false,81200,9700,4461200,553100,--,Unknown,--
VN,Vietnam,1608,Audience Square,"all",any_status,platform,appnexus,false,80200,4200,105327200,8530300,--,Unknown,--
VN,Vietnam,3136,Medialysiz Solutions Private Limited,"all",any_status,platform,appnexus,false,75700,1400,75439200,1675200,--,Unknown,--
VN,Vietnam,1872,Media.Net Ltd,"all",any_status,platform,appnexus,false,71100,14200,60998700,8550900,--,Unknown,--
VN,Vietnam,2721,Kiosked,"all",any_status,platform,appnexus,false,70800,11800,84569700,10245200,--,Unknown,--
VN,Vietnam,2306,Shazam Entertainment Limited,"all",any_status,platform,appnexus,false,70400,9200,50860000,7782600,--,Unknown,--
VN,Vietnam,3339,Petilmat S.A.,"all",any_status,platform,appnexus,false,68400,600,41510700,443300,--,Unknown,--
VN,Vietnam,2804,Adshoard,"all",any_status,platform,appnexus,false,65900,8400,15208300,1517700,--,Unknown,--
VN,Vietnam,1756,Adversal.com,"all",any_status,platform,appnexus,false,64800,9400,14173900,1426500,--,Unknown,--
VN,Vietnam,2401,Wise Ad Media,"all",any_status,platform,appnexus,false,63100,6400,8000000,1228100,--,Unknown,--
VN,Vietnam,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,58200,10100,103106400,11015600,--,Unknown,--
VN,Vietnam,1612,5 Media Group PLC,"all",any_status,platform,appnexus,false,52600,17500,5027900,2395500,--,Unknown,--
VN,Vietnam,3264,Accvee Premium,"all",any_status,platform,appnexus,false,52200,22400,2386500,486600,--,Unknown,--
VN,Vietnam,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,52000,18800,11679100,3946900,--,Unknown,--
VN,Vietnam,1357,bRealTime,"all",any_status,platform,appnexus,false,51900,8500,12048300,1469800,--,Unknown,--
VN,Vietnam,1560,OxaMedia Corporation,"all",any_status,platform,appnexus,false,51300,6100,647800,93700,--,Unknown,--
VN,Vietnam,2556,CoAdvertise GmbH,"all",any_status,platform,appnexus,false,48500,6300,3860700,298100,--,Unknown,--
VN,Vietnam,2139,"Generation Premium, Inc.","all",any_status,platform,appnexus,false,42300,5900,19737800,1365600,--,Unknown,--
VN,Vietnam,3032,Youla Media LLP,"all",any_status,platform,appnexus,false,42000,11700,7319800,1991600,--,Unknown,--
VN,Vietnam,3500,ASQ Brand,"all",any_status,platform,appnexus,false,41800,1500,30855200,1884800,--,Unknown,--
VN,Vietnam,2740,DataWrkz Premium,"all",any_status,platform,appnexus,false,41000,12400,12509900,1152200,--,Unknown,--
VN,Vietnam,2741,DataWrkz Direct,"all",any_status,platform,appnexus,false,39400,11700,2787500,599200,--,Unknown,--
